id,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
1,109-99-9
2,109-99-9
3,71-43-2
4,108-88-3,109-99-9
5,108-88-3
6,108-88-3,7732-18-5
7,108-88-3
8,108-88-3
9,108-88-3,7732-18-5
10,108-88-3
11,108-88-3,7732-18-5
12,108-88-3
13,108-88-3,7732-18-5
14,108-88-3,7732-18-5
15,108-88-3,7732-18-5
16,108-88-3
17,108-88-3
18,108-88-3,7732-18-5
19,71-43-2
20,108-88-3
21,109-99-9
22,109-99-9,127-19-5,7732-18-5
23,109-99-9,127-19-5,7732-18-5
24,109-99-9,127-19-5,7732-18-5
25,127-19-5
26,109-99-9,68-12-2
27,127-19-5
28,872-50-4
29,109-99-9
30,109-99-9,127-19-5,7732-18-5
31,127-19-5
32,127-19-5
33,109-99-9,7226-23-5
34,109-99-9,7226-23-5
35,108-88-3
36,109-99-9
37,71-43-2
38,108-88-3
39,108-88-3
40,108-88-3
41,108-88-3
42,108-88-3
43,108-88-3
44,108-88-3,67-56-1
45,108-88-3
46,108-88-3,60-29-7,7732-18-5
47,108-88-3
48,108-88-3
49,108-88-3,110-80-5
50,109-99-9
51,71-43-2
52,108-88-3
53,108-88-3
54,108-87-2
55,108-87-2
56,108-87-2
57,2037-26-5
58,5614-37-9
59,5614-37-9
60,108-87-2
61,109-99-9
62,67-56-1
63,109-99-9
64,108-87-2
65,108-88-3
66,109-99-9
67,123-91-1
68,127-19-5
69,127-19-5
70,109-99-9,68-12-2
71,127-19-5
72,127-19-5
73,109-99-9,68-12-2
74,109-99-9,68-12-2
75,127-19-5
76,127-19-5
77,127-19-5
78,110-71-4,5614-37-9
79,109-99-9,7732-18-5
80,109-99-9
81,109-99-9
82,108-88-3
83,108-88-3
84,108-88-3
85,123-91-1
86,108-88-3,7732-18-5
87,100-66-3,7732-18-5
88,108-88-3,7732-18-5
89,108-88-3,7732-18-5
90,71-43-2
91,108-88-3
92,108-88-3
93,108-88-3,7732-18-5
94,109-99-9,68-12-2
95,123-91-1
96,109-99-9,68-12-2
97,127-19-5
98,67-56-1,108-88-3
99,141-78-6
100,141-78-6
101,108-88-3,7732-18-5
102,108-88-3
103,108-88-3
104,108-88-3
105,123-91-1
106,1076-43-3
107,108-87-2
108,5614-37-9
109,123-91-1
110,123-91-1
111,109-99-9,68-12-2
112,67-68-5
113,67-68-5
114,109-99-9,68-12-2
115,109-99-9,68-12-2
116,110-82-7,127-19-5
117,123-91-1
118,109-99-9,68-12-2
119,109-99-9,68-12-2
120,109-99-9,68-12-2
121,109-99-9,68-12-2
122,109-99-9,68-12-2
123,109-99-9,68-12-2
124,109-99-9,68-12-2
125,127-19-5
126,109-99-9,7732-18-5
127,109-99-9,127-19-5
128,127-19-5
129,108-88-3
130,108-20-3
131,68-12-2,7732-18-5
132,141-78-6
133,141-78-6
134,108-88-3
135,872-50-4
136,108-88-3
137,108-88-3
138,108-88-3
139,108-88-3,7732-18-5
140,108-88-3
141,108-88-3
142,109-99-9
143,75-09-2
144,108-88-3
145,109-99-9
146,109-99-9
147,109-99-9,68-12-2
148,109-99-9,68-12-2
149,123-91-1
150,123-91-1
151,109-99-9,68-12-2
152,123-91-1
153,108-88-3
154,64-17-5
155,64-17-5
156,64-17-5
157,64-17-5
158,64-17-5
159,75-05-8
160,108-88-3
161,60-29-7,108-88-3,110-80-5
162,108-88-3
163,141-78-6
164,123-91-1
165,108-88-3
166,108-88-3,67-56-1
167,108-88-3,7732-18-5
168,108-88-3,7732-18-5
169,108-88-3,7732-18-5
170,71-43-2
171,108-88-3,7732-18-5
172,108-88-3
173,108-88-3,7732-18-5
174,108-88-3
175,108-88-3,7732-18-5
176,123-91-1
177,109-99-9
178,109-99-9
179,109-99-9
180,108-88-3
181,109-99-9
182,123-91-1
183,123-91-1
184,123-91-1
185,109-99-9,7732-18-5
186,109-99-9,127-19-5
187,109-99-9,68-12-2
188,109-99-9,68-12-2
189,872-50-4
190,108-88-3
191,109-99-9,127-19-5
192,108-88-3
193,108-88-3
194,64-17-5
195,64-17-5
196,75-05-8
197,109-99-9
198,110-54-3,7732-18-5
199,141-78-6
200,141-78-6
201,60-29-7,108-88-3,110-80-5
202,67-56-1,108-88-3
203,108-88-3
204,67-56-1,108-88-3
205,109-99-9
206,109-99-9
207,123-91-1
208,123-91-1
209,109-99-9
210,123-91-1
211,109-99-9
212,108-88-3
213,109-99-9,68-12-2
214,109-99-9,68-12-2
215,109-99-9,68-12-2
216,123-91-1
217,127-19-5
218,109-99-9
219,109-99-9
220,5614-37-9
221,5614-37-9
222,108-88-3
223,108-88-3
224,64-17-5
225,108-88-3
226,109-99-9
227,123-91-1
228,1330-20-7
229,108-88-3
230,2037-26-5
231,60-29-7,108-88-3,110-80-5
232,108-88-3
233,67-56-1
234,67-56-1,108-88-3
235,108-88-3
236,108-20-3
237,109-99-9
238,71-43-2
239,108-88-3
240,123-91-1
241,127-19-5
242,123-91-1
243,127-19-5
244,123-91-1
245,109-99-9,68-12-2
246,109-99-9,68-12-2
247,109-99-9,68-12-2
248,127-19-5
249,108-88-3
250,108-88-3
251,108-88-3
252,109-99-9
253,109-99-9
254,60-29-7,109-99-9
255,60-29-7,109-99-9
256,108-88-3
257,64-17-5
258,141-78-6
259,67-56-1,108-88-3
260,60-29-7
261,60-29-7
262,108-88-3,67-56-1
263,141-78-6
