"","Var1","Freq"
"115","CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1",673
"80","CC1(C)COB(OC1)B1OCC(C)(C)CO1",177
"181","CC1(C)OBOC1(C)C",127
