"","Var1","Freq"
"24","C1CC=CCCC=C1.C1CC=CCCC=C1.[Ni]",719
"34","COCCOCCOC.[Ni](Br)Br",203
"18","C1=CC=C(C=C1)P(CCCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4.Cl[Ni]Cl",182
