"","Var1","Freq"
"374","CC1(C)COB(OC1)C1=CC2=C(C=CC=C2)C=C1",21
"1282","COC1=CC=C(C=C1)B1OCC(C)(C)CO1",17
"82","C[C@H](\C=C\C1=CC=CC=C1)B1OC(C)(C)C(C)(C)O1",13
