"","Var1","Freq"
"251","Cl[Pd]Cl.CCN(CC)CC",73
"15","[H-].C1C=CC=[C-]1.C1C=CC=[C-]1.[Cl-].[Zr+4]",61
"121","C1CCC(CC1)P(C2CCCCC2)C3CCCCC3",61
