,MeanDecreaseGini,Features
PRO_MaxPartialCharge,10.3767155192538,PRO_MaxPartialCharge
CAT_SMR_VSA5,5.32523443797746,CAT_SMR_VSA5
CAT_MinEStateIndex,4.91053669646409,CAT_MinEStateIndex
CAT_FractionCSP3,4.28611476900877,CAT_FractionCSP3
PRO_MaxAbsPartialCharge,3.76813816680312,PRO_MaxAbsPartialCharge
CAT_MaxAbsEStateIndex,3.6376061567899,CAT_MaxAbsEStateIndex
PRO_MinPartialCharge,3.15013083841994,PRO_MinPartialCharge
PRO_MinAbsPartialCharge,3.00517605557223,PRO_MinAbsPartialCharge
CAT_MaxEStateIndex,2.71723122409908,CAT_MaxEStateIndex
PRO_BCUT2D_CHGLO,2.55845154091884,PRO_BCUT2D_CHGLO
CAT_SlogP_VSA6,2.52790785086486,CAT_SlogP_VSA6
CAT_VSA_EState8,2.25339985700567,CAT_VSA_EState8
PRO_VSA_EState8,2.17459214185536,PRO_VSA_EState8
CAT_qed,2.03175128621929,CAT_qed
CAT_EState_VSA9,1.9681845556642,CAT_EState_VSA9
RCTB_MinPartialCharge,1.88542746277921,RCTB_MinPartialCharge
RCTB_MaxAbsPartialCharge,1.85924945921188,RCTB_MaxAbsPartialCharge
CAT_MolWt,1.84638127918177,CAT_MolWt
CAT_131,1.84069037358946,CAT_131
CAT_PEOE_VSA8,1.77338059864656,CAT_PEOE_VSA8
CAT_ExactMolWt,1.72084593906396,CAT_ExactMolWt
CAT_Chi4v,1.67591143380422,CAT_Chi4v
RCTB_HallKierAlpha,1.67193814724337,RCTB_HallKierAlpha
PRO_VSA_EState5,1.61608323287197,PRO_VSA_EState5
PRO_EState_VSA9,1.56544888826973,PRO_EState_VSA9
CAT_EState_VSA10,1.44876851311825,CAT_EState_VSA10
CAT_SMR_VSA1,1.42026602549294,CAT_SMR_VSA1
PRO_Kappa3,1.41642928306004,PRO_Kappa3
CAT_FpDensityMorgan2,1.41410677075577,CAT_FpDensityMorgan2
CAT_HeavyAtomMolWt,1.39448601128951,CAT_HeavyAtomMolWt
CAT_PEOE_VSA7,1.38565839998969,CAT_PEOE_VSA7
CAT_HallKierAlpha,1.30080556846657,CAT_HallKierAlpha
PRO_FpDensityMorgan3,1.28710053233511,PRO_FpDensityMorgan3
CAT_Chi2v,1.25927401875673,CAT_Chi2v
PRO_PEOE_VSA9,1.25610866948174,PRO_PEOE_VSA9
PRO_BCUT2D_CHGHI,1.25172738122133,PRO_BCUT2D_CHGHI
PRO_BalabanJ,1.23532427794106,PRO_BalabanJ
PRO_Kappa2,1.2207079251844,PRO_Kappa2
PRO_VSA_EState9,1.19355424559896,PRO_VSA_EState9
CAT_FpDensityMorgan3,1.15746795290832,CAT_FpDensityMorgan3
PRO_Kappa1,1.14449997370621,PRO_Kappa1
RCTB_PEOE_VSA8,1.11589774349744,RCTB_PEOE_VSA8
PRO_MinAbsEStateIndex,1.11293896549521,PRO_MinAbsEStateIndex
ADD..B...CC..CC.CC..Na...O.O,1.10452803243282,ADD..B...CC..CC.CC..Na...O.O
CAT_VSA_EState4,1.0951068742642,CAT_VSA_EState4
PRO_qed,1.09458458723697,PRO_qed
CAT_233,1.07735353890781,CAT_233
RCTB_PEOE_VSA7,1.05934660185104,RCTB_PEOE_VSA7
PRO_PEOE_VSA7,1.053471710477,PRO_PEOE_VSA7
CAT_Chi0v,1.04591666070278,CAT_Chi0v
PRO_VSA_EState4,1.03087073959586,PRO_VSA_EState4
PRO_PEOE_VSA8,1.00868294360976,PRO_PEOE_VSA8
CAT_Chi3v,1.00283154221705,CAT_Chi3v
PRO_MinEStateIndex,0.996088272912217,PRO_MinEStateIndex
RCTB_VSA_EState4,0.992257463141257,RCTB_VSA_EState4
RCTB_MinAbsEStateIndex,0.979661094316285,RCTB_MinAbsEStateIndex
RCTB_BCUT2D_CHGHI,0.954741981189229,RCTB_BCUT2D_CHGHI
PRO_BertzCT,0.940790285749246,PRO_BertzCT
