,MeanDecreaseGini,Features
PRO_MaxPartialCharge,9.67498165060013,PRO_MaxPartialCharge
CAT_FractionCSP3,4.99309963242452,CAT_FractionCSP3
PRO_VSA_EState8,4.42885164126618,PRO_VSA_EState8
PRO_BCUT2D_CHGLO,4.23423048593325,PRO_BCUT2D_CHGLO
CAT_SMR_VSA5,4.11992813121958,CAT_SMR_VSA5
PRO_MaxAbsPartialCharge,4.0571077151691,PRO_MaxAbsPartialCharge
ADD..B...CC..CC.CC..Na...O.O,4.03786966452407,ADD..B...CC..CC.CC..Na...O.O
CAT_MinEStateIndex,3.98278922182298,CAT_MinEStateIndex
RCTB_MinPartialCharge,3.97307844193768,RCTB_MinPartialCharge
RCTB_MaxAbsPartialCharge,3.96094532791416,RCTB_MaxAbsPartialCharge
PRO_MinAbsPartialCharge,3.88973566240327,PRO_MinAbsPartialCharge
PRO_BCUT2D_CHGHI,3.78739989349609,PRO_BCUT2D_CHGHI
PRO_VSA_EState4,3.67344326943098,PRO_VSA_EState4
PRO_MinPartialCharge,3.62033762247951,PRO_MinPartialCharge
PRO_VSA_EState9,3.57857479274503,PRO_VSA_EState9
PRO_VSA_EState1,3.52531517547213,PRO_VSA_EState1
PRO_FpDensityMorgan3,3.37606142267061,PRO_FpDensityMorgan3
PRO_qed,3.37161871910506,PRO_qed
CAT_HallKierAlpha,3.20781205465219,CAT_HallKierAlpha
PRO_VSA_EState5,3.18708153270846,PRO_VSA_EState5
PRO_Kappa3,3.17506388151134,PRO_Kappa3
RCTB_BCUT2D_CHGHI,3.13393601902002,RCTB_BCUT2D_CHGHI
PRO_PEOE_VSA8,3.12198078750213,PRO_PEOE_VSA8
PRO_PEOE_VSA7,3.10428818529302,PRO_PEOE_VSA7
RCTB_MaxPartialCharge,3.1023566365946,RCTB_MaxPartialCharge
PRO_EState_VSA9,3.05196539356805,PRO_EState_VSA9
RCTB_PEOE_VSA6,3.04880757992925,RCTB_PEOE_VSA6
