,MeanDecreaseGini,Features
PRO_MaxPartialCharge,7.51083704774943,PRO_MaxPartialCharge
PRO_VSA_EState8,5.38427821707379,PRO_VSA_EState8
PRO_MaxAbsPartialCharge,4.3884285883151,PRO_MaxAbsPartialCharge
RCTB_MaxAbsPartialCharge,3.85684546624947,RCTB_MaxAbsPartialCharge
CAT_MinEStateIndex,3.78346352300351,CAT_MinEStateIndex
CAT_HallKierAlpha,3.76911293362071,CAT_HallKierAlpha
RCTB_MinPartialCharge,3.74648602045817,RCTB_MinPartialCharge
PRO_PEOE_VSA7,3.65152428633634,PRO_PEOE_VSA7
PRO_MinPartialCharge,3.63387868705792,PRO_MinPartialCharge
PRO_BCUT2D_CHGHI,3.51201384253893,PRO_BCUT2D_CHGHI
PRO_BCUT2D_CHGLO,3.50762539373873,PRO_BCUT2D_CHGLO
PRO_MinAbsPartialCharge,3.48460193511004,PRO_MinAbsPartialCharge
PRO_FpDensityMorgan1,3.39421566496209,PRO_FpDensityMorgan1
PRO_VSA_EState4,3.32663985375353,PRO_VSA_EState4
PRO_Kappa3,3.31077186091739,PRO_Kappa3
PRO_FpDensityMorgan3,3.23247430805911,PRO_FpDensityMorgan3
PRO_MaxEStateIndex,3.21729826155202,PRO_MaxEStateIndex
PRO_qed,3.12312356174644,PRO_qed
RCTB_MaxPartialCharge,3.0937016620766,RCTB_MaxPartialCharge
PRO_VSA_EState1,3.06617757685643,PRO_VSA_EState1
PRO_VSA_EState5,3.06223830050086,PRO_VSA_EState5
PRO_MaxAbsEStateIndex,3.0052020368184,PRO_MaxAbsEStateIndex
PRO_FpDensityMorgan2,2.94534885658116,PRO_FpDensityMorgan2
CAT_FractionCSP3,2.88486037406268,CAT_FractionCSP3
RCTB_MinAbsPartialCharge,2.88375470504805,RCTB_MinAbsPartialCharge
PRO_BCUT2D_LOGPHI,2.76729263818089,PRO_BCUT2D_LOGPHI
RCTB_BCUT2D_CHGHI,2.76195149205258,RCTB_BCUT2D_CHGHI
RCTB_PEOE_VSA7,2.67933068507021,RCTB_PEOE_VSA7
PRO_BalabanJ,2.62983536340237,PRO_BalabanJ
PRO_EState_VSA9,2.58758433405777,PRO_EState_VSA9
RCTB_VSA_EState6,2.57485827503047,RCTB_VSA_EState6
RCTB_FpDensityMorgan2,2.57063933204472,RCTB_FpDensityMorgan2
PRO_PEOE_VSA8,2.55846618109603,PRO_PEOE_VSA8
CAT_SMR_VSA10,2.51915553416106,CAT_SMR_VSA10
PRO_MinAbsEStateIndex,2.51353831298503,PRO_MinAbsEStateIndex
PRO_VSA_EState6,2.50012094163041,PRO_VSA_EState6
RCTB_BCUT2D_MWLOW,2.48281408920941,RCTB_BCUT2D_MWLOW
PRO_MolLogP,2.46387321014799,PRO_MolLogP
PRO_SlogP_VSA5,2.45448209825621,PRO_SlogP_VSA5
RCTB_FpDensityMorgan1,2.44485066521653,RCTB_FpDensityMorgan1
RCTB_FpDensityMorgan3,2.43822196384749,RCTB_FpDensityMorgan3
RCTB_MinAbsEStateIndex,2.39897349203165,RCTB_MinAbsEStateIndex
RCTB_BCUT2D_LOGPLOW,2.3841350110411,RCTB_BCUT2D_LOGPLOW
RCTB_qed,2.37917290644349,RCTB_qed
RCTB_BCUT2D_CHGLO,2.3280120478817,RCTB_BCUT2D_CHGLO
RCTB_PEOE_VSA8,2.31090234671706,RCTB_PEOE_VSA8
PRO_VSA_EState9,2.30170431621729,PRO_VSA_EState9
PRO_Kappa2,2.29927245497132,PRO_Kappa2
PRO_PEOE_VSA9,2.28521316437985,PRO_PEOE_VSA9
RCTB_Kappa3,2.26974480931081,RCTB_Kappa3
ADD..B...CC..CC.CC..Na...O.O,2.26192551167658,ADD..B...CC..CC.CC..Na...O.O
CAT_Chi4v,2.26036542725233,CAT_Chi4v
RCTB_VSA_EState4,2.25240309602709,RCTB_VSA_EState4
RCTB_PEOE_VSA6,2.2355382697088,RCTB_PEOE_VSA6
CAT_SMR_VSA5,2.19586225093836,CAT_SMR_VSA5
PRO_MinEStateIndex,2.18584098880483,PRO_MinEStateIndex
RCTB_MolLogP,2.17217159044191,RCTB_MolLogP
PRO_Chi1,2.16535042763825,PRO_Chi1
RCTB_HallKierAlpha,2.15873600301034,RCTB_HallKierAlpha
PRO_Chi4v,2.09164033217827,PRO_Chi4v
PRO_Chi0,2.08972447571468,PRO_Chi0
RCTB_BalabanJ,2.08164649271861,RCTB_BalabanJ
PRO_Kappa1,2.07797736228592,PRO_Kappa1
PRO_PEOE_VSA6,2.04557243162248,PRO_PEOE_VSA6
CAT_MaxAbsEStateIndex,2.03634648349722,CAT_MaxAbsEStateIndex
PRO_BCUT2D_MRHI,2.03519756205296,PRO_BCUT2D_MRHI
PRO_Chi0n,2.02540071107549,PRO_Chi0n
RCTB_MaxAbsEStateIndex,2.02204406752029,RCTB_MaxAbsEStateIndex
PRO_Chi4n,2.01339980217262,PRO_Chi4n
PRO_BCUT2D_MWHI,2.00979422843808,PRO_BCUT2D_MWHI
PRO_MolWt,2.0087423117607,PRO_MolWt
PRO_Chi1n,2.00144259684605,PRO_Chi1n
PRO_VSA_EState7,1.9876434734174,PRO_VSA_EState7
RCTB_VSA_EState8,1.98452041636764,RCTB_VSA_EState8
RCTB_BCUT2D_LOGPHI,1.98204035174337,RCTB_BCUT2D_LOGPHI
RCTB_MaxEStateIndex,1.94938755338154,RCTB_MaxEStateIndex
PRO_TPSA,1.91972747058308,PRO_TPSA
RCTB_Kappa1,1.87382933252419,RCTB_Kappa1
PRO_ExactMolWt,1.8689966429837,PRO_ExactMolWt
RCTB_BCUT2D_MRLOW,1.84221677692762,RCTB_BCUT2D_MRLOW
PRO_EState_VSA1,1.83049149081121,PRO_EState_VSA1
PRO_Chi2v,1.82722102549293,PRO_Chi2v
PRO_MolMR,1.82544595799975,PRO_MolMR
RCTB_Kappa2,1.81984099258794,RCTB_Kappa2
RCTB_Chi3n,1.76732391477711,RCTB_Chi3n
PRO_LabuteASA,1.76530085717384,PRO_LabuteASA
RCTB_Chi3v,1.75701906608351,RCTB_Chi3v
CAT_MaxEStateIndex,1.74980136739834,CAT_MaxEStateIndex
PRO_Chi3n,1.72125241370651,PRO_Chi3n
PRO_Chi2n,1.70534764762861,PRO_Chi2n
PRO_BCUT2D_MWLOW,1.70507124759953,PRO_BCUT2D_MWLOW
PRO_HeavyAtomMolWt,1.70212504914262,PRO_HeavyAtomMolWt
RCTB_VSA_EState1,1.70152073233275,RCTB_VSA_EState1
PRO_Chi3v,1.70113527549616,PRO_Chi3v
CAT_VSA_EState1,1.6943943960695,CAT_VSA_EState1
CAT_SlogP_VSA6,1.67332696942839,CAT_SlogP_VSA6
CAT_Chi3v,1.632815535912,CAT_Chi3v
PRO_SMR_VSA1,1.62999136323208,PRO_SMR_VSA1
PRO_Chi0v,1.62852386586931,PRO_Chi0v
PRO_SMR_VSA10,1.60849891332587,PRO_SMR_VSA10
PRO_BertzCT,1.60732506490912,PRO_BertzCT
RCTB_MinEStateIndex,1.6027632320069,RCTB_MinEStateIndex
RCTB_BertzCT,1.59126191954044,RCTB_BertzCT
CAT_PEOE_VSA8,1.57271649219874,CAT_PEOE_VSA8
PRO_Chi1v,1.56589961841744,PRO_Chi1v
RCTB_BCUT2D_MRHI,1.56219976531818,RCTB_BCUT2D_MRHI
RCTB_Chi2v,1.5611808175123,RCTB_Chi2v
RCTB_Chi1v,1.56014687466301,RCTB_Chi1v
PRO_HallKierAlpha,1.54462865236754,PRO_HallKierAlpha
RCTB_BCUT2D_MWHI,1.54005941277988,RCTB_BCUT2D_MWHI
