,MeanDecreaseGini,Features
PRO_MaxAbsPartialCharge,4.08449191066241,PRO_MaxAbsPartialCharge
PRO_VSA_EState8,3.93807962339292,PRO_VSA_EState8
PRO_MaxPartialCharge,3.90084101617933,PRO_MaxPartialCharge
CAT_HallKierAlpha,3.26010258035085,CAT_HallKierAlpha
PRO_VSA_EState4,3.21173778460181,PRO_VSA_EState4
PRO_VSA_EState9,3.19440561962173,PRO_VSA_EState9
PRO_MinPartialCharge,3.06920359655745,PRO_MinPartialCharge
PRO_VSA_EState5,3.05415757928347,PRO_VSA_EState5
PRO_BCUT2D_CHGHI,3.04134084398326,PRO_BCUT2D_CHGHI
PRO_EState_VSA9,3.04067082159949,PRO_EState_VSA9
CAT_MinEStateIndex,3.02365487507738,CAT_MinEStateIndex
PRO_BCUT2D_CHGLO,2.91103899981221,PRO_BCUT2D_CHGLO
PRO_MinAbsPartialCharge,2.8807250612246,PRO_MinAbsPartialCharge
PRO_Kappa3,2.8474186276365,PRO_Kappa3
PRO_MaxAbsEStateIndex,2.84707325149093,PRO_MaxAbsEStateIndex
PRO_PEOE_VSA7,2.8349542356604,PRO_PEOE_VSA7
RCTB_BCUT2D_CHGHI,2.82195386842973,RCTB_BCUT2D_CHGHI
PRO_FpDensityMorgan3,2.77783143235065,PRO_FpDensityMorgan3
CAT_FractionCSP3,2.76701566596068,CAT_FractionCSP3
PRO_MaxEStateIndex,2.73675607700401,PRO_MaxEStateIndex
PRO_VSA_EState1,2.72997445944275,PRO_VSA_EState1
RCTB_MinPartialCharge,2.70674751457476,RCTB_MinPartialCharge
PRO_BCUT2D_LOGPHI,2.6910954813835,PRO_BCUT2D_LOGPHI
PRO_SMR_VSA1,2.66626890040231,PRO_SMR_VSA1
PRO_qed,2.63748643370289,PRO_qed
PRO_SlogP_VSA5,2.61090928819339,PRO_SlogP_VSA5
RCTB_MaxPartialCharge,2.58314196124259,RCTB_MaxPartialCharge
PRO_PEOE_VSA8,2.56860630162509,PRO_PEOE_VSA8
RCTB_PEOE_VSA8,2.56019350255413,RCTB_PEOE_VSA8
RCTB_MaxAbsPartialCharge,2.54000343216199,RCTB_MaxAbsPartialCharge
PRO_MolLogP,2.53690358334981,PRO_MolLogP
PRO_MinEStateIndex,2.49099857567635,PRO_MinEStateIndex
PRO_FpDensityMorgan2,2.48360886048315,PRO_FpDensityMorgan2
PRO_Chi0n,2.45247859074731,PRO_Chi0n
PRO_MolMR,2.43024642334605,PRO_MolMR
RCTB_MinAbsPartialCharge,2.39910617725439,RCTB_MinAbsPartialCharge
PRO_Chi1n,2.39258101093889,PRO_Chi1n
CAT_MaxAbsEStateIndex,2.38600078463298,CAT_MaxAbsEStateIndex
PRO_Chi4v,2.35608770887477,PRO_Chi4v
PRO_Chi0,2.32754520420979,PRO_Chi0
RCTB_PEOE_VSA7,2.29816444967309,RCTB_PEOE_VSA7
PRO_Kappa1,2.29490252609976,PRO_Kappa1
RCTB_qed,2.27432025059301,RCTB_qed
PRO_SMR_VSA5,2.26188051179454,PRO_SMR_VSA5
PRO_Chi3n,2.25891498502752,PRO_Chi3n
RCTB_BCUT2D_MWLOW,2.23086292795351,RCTB_BCUT2D_MWLOW
PRO_BalabanJ,2.2272045950155,PRO_BalabanJ
PRO_Chi1,2.2230446014606,PRO_Chi1
RCTB_VSA_EState4,2.22186351087763,RCTB_VSA_EState4
RCTB_EState_VSA1,2.20956903951268,RCTB_EState_VSA1
RCTB_FpDensityMorgan3,2.20805138080126,RCTB_FpDensityMorgan3
RCTB_BCUT2D_MRLOW,2.20734943670203,RCTB_BCUT2D_MRLOW
PRO_Chi3v,2.20108973468257,PRO_Chi3v
PRO_FpDensityMorgan1,2.17938465654865,PRO_FpDensityMorgan1
PRO_VSA_EState7,2.17637532355706,PRO_VSA_EState7
RCTB_VSA_EState6,2.17408775224157,RCTB_VSA_EState6
RCTB_VSA_EState1,2.15802800534475,RCTB_VSA_EState1
RCTB_BCUT2D_CHGLO,2.1493078025895,RCTB_BCUT2D_CHGLO
PRO_BCUT2D_MRHI,2.13245093459197,PRO_BCUT2D_MRHI
PRO_VSA_EState6,2.13063145313986,PRO_VSA_EState6
PRO_Chi1v,2.13044846094011,PRO_Chi1v
PRO_Kappa2,2.12153224341567,PRO_Kappa2
PRO_MinAbsEStateIndex,2.12145182370077,PRO_MinAbsEStateIndex
PRO_Chi4n,2.11350172449841,PRO_Chi4n
RCTB_BCUT2D_LOGPHI,2.09748346763276,RCTB_BCUT2D_LOGPHI
PRO_LabuteASA,2.082878003666,PRO_LabuteASA
PRO_BCUT2D_MWHI,2.07523767404698,PRO_BCUT2D_MWHI
RCTB_VSA_EState8,2.07323189710349,RCTB_VSA_EState8
PRO_EState_VSA1,2.07053024869047,PRO_EState_VSA1
PRO_PEOE_VSA9,2.06928397210273,PRO_PEOE_VSA9
RCTB_BCUT2D_LOGPLOW,2.05603869843274,RCTB_BCUT2D_LOGPLOW
RCTB_MinAbsEStateIndex,2.05087811007749,RCTB_MinAbsEStateIndex
RCTB_FpDensityMorgan2,1.99454975110095,RCTB_FpDensityMorgan2
PRO_HallKierAlpha,1.99316493372083,PRO_HallKierAlpha
RCTB_Kappa3,1.95586407597221,RCTB_Kappa3
PRO_NumValenceElectrons,1.94845037196711,PRO_NumValenceElectrons
PRO_BertzCT,1.93547690312789,PRO_BertzCT
PRO_PEOE_VSA6,1.93271724821117,PRO_PEOE_VSA6
RCTB_PEOE_VSA6,1.93100064703523,RCTB_PEOE_VSA6
RCTB_MaxAbsEStateIndex,1.92040428484892,RCTB_MaxAbsEStateIndex
RCTB_SlogP_VSA5,1.91047710669922,RCTB_SlogP_VSA5
RCTB_FpDensityMorgan1,1.90007539354756,RCTB_FpDensityMorgan1
RCTB_MinEStateIndex,1.87849143012646,RCTB_MinEStateIndex
RCTB_Chi0,1.86448986479488,RCTB_Chi0
CAT_PEOE_VSA8,1.83466331216381,CAT_PEOE_VSA8
PRO_Chi2n,1.83356075422963,PRO_Chi2n
PRO_Chi0v,1.83276603359992,PRO_Chi0v
PRO_Chi2v,1.82328511749637,PRO_Chi2v
PRO_HeavyAtomMolWt,1.82267756304565,PRO_HeavyAtomMolWt
PRO_SlogP_VSA3,1.81561138066827,PRO_SlogP_VSA3
RCTB_BCUT2D_MWHI,1.81399610849157,RCTB_BCUT2D_MWHI
PRO_ExactMolWt,1.80212094287565,PRO_ExactMolWt
RCTB_MaxEStateIndex,1.80029402691916,RCTB_MaxEStateIndex
RCTB_MolLogP,1.79937258655706,RCTB_MolLogP
RCTB_BalabanJ,1.7989883480702,RCTB_BalabanJ
RCTB_MolWt,1.7893292866632,RCTB_MolWt
RCTB_MolMR,1.78001298990389,RCTB_MolMR
RCTB_Kappa1,1.75891611564702,RCTB_Kappa1
PRO_SlogP_VSA2,1.75171200381153,PRO_SlogP_VSA2
RCTB_Chi4n,1.75059490801095,RCTB_Chi4n
RCTB_BCUT2D_MRHI,1.73964667036508,RCTB_BCUT2D_MRHI
CAT_SMR_VSA10,1.73578171851729,CAT_SMR_VSA10
CAT_qed,1.72942786137846,CAT_qed
CAT_SMR_VSA5,1.70801006869035,CAT_SMR_VSA5
PRO_MolWt,1.69454812189824,PRO_MolWt
CAT_EState_VSA9,1.69289919502474,CAT_EState_VSA9
RCTB_SMR_VSA7,1.67848013024054,RCTB_SMR_VSA7
RCTB_Chi0n,1.6715121637863,RCTB_Chi0n
RCTB_Chi4v,1.67128890600308,RCTB_Chi4v
RCTB_PEOE_VSA9,1.66966836833143,RCTB_PEOE_VSA9
RCTB_LabuteASA,1.66774911006062,RCTB_LabuteASA
RCTB_HallKierAlpha,1.66070639690462,RCTB_HallKierAlpha
RCTB_Chi1,1.65388870795127,RCTB_Chi1
RCTB_SMR_VSA1,1.65256955804246,RCTB_SMR_VSA1
PRO_NumRotatableBonds,1.63045373357374,PRO_NumRotatableBonds
RCTB_Chi3v,1.63032665993683,RCTB_Chi3v
RCTB_Chi1n,1.62465904067653,RCTB_Chi1n
RCTB_BertzCT,1.61944805356228,RCTB_BertzCT
RCTB_Chi2n,1.59600014436297,RCTB_Chi2n
RCTB_EState_VSA9,1.59089661511469,RCTB_EState_VSA9
CAT_VSA_EState8,1.58541930628049,CAT_VSA_EState8
CAT_193,1.57977739824676,CAT_193
PRO_FractionCSP3,1.55795405220634,PRO_FractionCSP3
RCTB_Kappa2,1.55055569195575,RCTB_Kappa2
RCTB_ExactMolWt,1.54579191837245,RCTB_ExactMolWt
CAT_VSA_EState4,1.52752027124955,CAT_VSA_EState4
RCTB_Chi3n,1.46813179506211,RCTB_Chi3n
RCTB_FractionCSP3,1.46545622568572,RCTB_FractionCSP3
RCTB_Chi1v,1.45281073851743,RCTB_Chi1v
RCTB_Chi0v,1.38742332261747,RCTB_Chi0v
