"CAS_n","Check?","ChemNames","SMILES"
"100-76-5","NO","Quinuclidine","C1CN2CCC1CC2"
"12078-25-0","NO","Cyclopentadienylcobalt dicarbonyl, min. 95%","[C-]#[O+].[C-]#[O+].C1=C[CH]C=C1.[Co]"
"13462-90-3","NO","Nickel iodide","[Ni](I)I"
"34775-49-0","YES",NA,NA
"14167-18-1","NO","N,N'-Bis(salicylidene)ethylenediaminocobalt(II) hydrate","C1=CC=C(C(=C1)C=NCCN=CC2=CC=CC=C2O)O.[Co]"
"18346-57-1","YES","Cobalt(II) dibromo(1,2-dimethoxyethane)","COCCOC.[Co](Br)Br"
"1578190-64-3","YES",NA,NA
"46932-17-6","YES",NA,NA
"23638-66-6","YES","cobalt(3+);(NE)-N-[(3E)-3-hydroxyiminobutan-2-ylidene]hydroxylamine;(NE)-N-[(3E)-3-oxidoiminobutan-2-ylidene]hydroxylamine;dichloride","CC(=NO)C(=NO)C.CC(=NO)C(=N[O-])C.[Cl-].[Cl-].[Co+3]"
"7778-53-2","NO","Potassium phosphate","[O-]P(=O)([O-])[O-].[K+].[K+].[K+]"
"21679-46-9","YES","Cobalt triacetoacetate","CC(=O)CC(=O)C.CC(=O)CC(=O)C.CC(=O)CC(=O)C.[Co]"
"3317-67-7","NO","Cobalt(II) phthalocyanine","C1=CC=C2C(=C1)C3=NC4=NC(=NC5=C6C=CC=CC6=C([N-]5)N=C7C8=CC=CC=C8C(=N7)N=C2[N-]3)C9=CC=CC=C94.[Co+2]"
"1150097-00-9","YES",NA,NA
"14854-50-3","YES",NA,NA
"673452-64-7","YES",NA,NA
"1814291-67-2","YES",NA,NA
"483979-48-2","YES","cobalt(3+);N,N-dimethylpyridin-4-amine;(NE)-N-[(3E)-3-oxidoiminobutan-2-ylidene]hydroxylamine;chloride","CC(=NO)C(=N[O-])C.CC(=NO)C(=N[O-])C.CN(C)C1=CC=NC=C1.[Cl-].[Co+3]"
"1792972-58-7","YES",NA,NA
"181422-81-1","YES","1,3-Dicyclohexyl-1,3-dihydro-2H-imidazol-2-ylidene","C1CCC(CC1)N2C=C[N+](=[C-]2)C3CCCCC3"
"736928-75-9","YES",NA,NA
"210155-45-6","YES",NA,NA
"1600527-14-7","YES",NA,NA
"1943726-11-1","YES",NA,NA
"27721-02-4","NO","1,5-Bis(diphenylphosphino)pentane","C1=CC=C(C=C1)P(CCCCCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4"
"1087216-52-1","YES",NA,NA
"2094503-97-4","YES",NA,NA
"1847470-87-4","YES",NA,NA
"2378121-38-9","YES",NA,NA
"2564747-02-8","YES",NA,NA
