"CAS_n","Check?","ChemNames","SMILES"
"2185014-88-2","YES","(4S,4'S)-2,2'-Cyclohexylidenebis[4,5-dihydro-4-phenyloxazole]","C1CCC(CC1)(C2=NC(CO2)C3=CC=CC=C3)C4=NC(CO4)C5=CC=CC=C5"
"286014-37-7","YES","1,3-dicyclohexyl-1H-imidazol-3-ium","C1CCC(CC1)N2C=C[N+](=C2)C3CCCCC3"
"14221-01-3","NO","Tetrakis(triphenylphosphine)palladium","C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.[Pd]"
"665004-47-7","YES","4-Methyl-2-(2-pyridyl)-2-oxazoline","CC1COC(=N1)C2=CC=CC=N2"
"31785-68-9","YES","9-Azabicyclo[3.3.1]nonane N-oxyl radical","C1CC2CCCC(C1)N2[O]"
"40759-64-6","YES","carbanide;(1Z,5Z)-cycloocta-1,5-diene;nickel;2,3,5,6-tetramethylcyclohexa-2,5-diene-1,4-dione","[CH3-].[CH3-].[CH3-].[CH3-].CC1=C(C(=O)C(=C(C1=O)C)C)C.C1CC=CCCC=C1.[Ni]"
"258278-25-0","NO","1,3-Bis(2,6-diisopropylphenyl)-imidazolidinium-chloride","CC(C)C1=C(C(=CC=C1)C(C)C)N2CCN(C2)C3=C(C=CC=C3C(C)C)C(C)C.Cl"
"123640-38-0","NO","2,6-Di(1-pyrazolyl)pyridine","C1=CC(=NC(=C1)N2C=CC=N2)N3C=CC=N3"
"2094476-37-4","YES","(4S,4'S)-4,4'-Di(heptan-4-yl)-4,4',5,5'-tetrahydro-2,2'-bioxazole","CCCC(CCC)C1COC(=N1)C2=NC(CO2)C(CCC)CCC"
"2378751-17-6","YES","(4R,4'R)-4,4'-Dicyclohexyl-4,4',5,5'-tetrahydro-2,2'-bioxazole","C1CCC(CC1)C2COC(=N2)C3=NC(CO3)C4CCCCC4"
"6147-53-1","NO","Cobalt(II) acetate tetrahydrate","CC(=O)[O-].CC(=O)[O-].O.O.O.O.[Co+2]"
"128249-70-7","NO","2,6-Bis[(4R)-4-phenyl-2-oxazolinyl]pyridine","C1C(N=C(O1)C2=NC(=CC=C2)C3=NC(CO3)C4=CC=CC=C4)C5=CC=CC=C5"
"1428328-51-1","NO","(4S,4'S)-2,2'-(1,3-bis(4-(tert-butyl)phenyl)propane-2,2-diyl)bis(4-phenyl-4,5-dihydrooxazole)","CC(C)(C)C1=CC=C(C=C1)CC(CC2=CC=C(C=C2)C(C)(C)C)(C3=NC(CO3)C4=CC=CC=C4)C5=NC(CO5)C6=CC=CC=C6"
"2054779-48-3","YES","[2-Oxo-8-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,9-dioxatricyclo[5.3.1.04,11]undeca-1(10),5-dien-6-yl]methyl methylsulfanylformate","CSC(=O)OCC1=CC2C3C1C(OC=C3C(=O)O2)OC4C(C(C(C(O4)CO)O)O)O"
"2094987-84-3","YES","(4R,4'R)-4,4'-Di(heptan-4-yl)-4,4',5,5'-tetrahydro-2,2'-bioxazole","CCCC(CCC)C1COC(=N1)C2=NC(CO2)C(CCC)CCC"
"229184-98-9","YES","2,2'-(Cyclopropane-1,1-diyl)bis(8,8a-dihydro-3aH-indeno[1,2-d]oxazole)","C1CC1(C2=NC3C(O2)CC4=CC=CC=C34)C5=NC6C(O5)CC7=CC=CC=C67"
"10026-11-6","YES","Metronidazole","CC1=NC=C(N1CCO)[N+](=O)[O-]"
"59831-02-6","NO","[1,3-Bis(diphenylphosphino)propane]palladium(II) Dichloride","C1=CC=C(C=C1)P(CCCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4.Cl[Pd]Cl"
"131457-46-0","NO","Oxazole, 2,2'-(1-methylethylidene)bis[4,5-dihydro-4-phenyl-, (4S,4'S)-","CC(C)(C1=NC(CO1)C2=CC=CC=C2)C3=NC(CO3)C4=CC=CC=C4"
"23582-02-7","NO","Bis(2-diphenylphosphinoethyl)phenylphosphine","C1=CC=C(C=C1)P(CCP(C2=CC=CC=C2)C3=CC=CC=C3)CCP(C4=CC=CC=C4)C5=CC=CC=C5"
"2662585-14-8","YES","(S)-4-(tert-Butyl)-5,5-diphenyl-2-(pyridin-2-yl)-4,5-dihydrooxazole","CC(C)(C)C1C(OC(=N1)C2=CC=CC=N2)(C3=CC=CC=C3)C4=CC=CC=C4"
"71071-46-0","NO","Dimethyl [2,2'-bipyridine]-4,4'-dicarboxylate","COC(=O)C1=CC(=NC=C1)C2=NC=CC(=C2)C(=O)OC"
"141362-76-7","YES","2,2'-Bis[(4R)-4-Benzyl-2-Oxazoline]","C1C(N=C(O1)C2=NC(CO2)CC3=CC=CC=C3)CC4=CC=CC=C4"
"131042-77-8","NO","1,3-Diadamantylimidazol-2-ylidene","C1C2CC3CC1CC(C2)(C3)N4C=C[N+](=[C-]4)C56CC7CC(C5)CC(C7)C6"
"7681-65-4","NO","Copper(l)iodide","[Cu+].[I-]"
"137349-65-6","NO","Bis(dicyclohexylphosphino)methane","C1CCC(CC1)P(CP(C2CCCCC2)C3CCCCC3)C4CCCCC4"
"2303959-54-6","YES","4-(tert-Butyl)-2-(5,6,7,8-tetrahydroquinolin-2-yl)-4,5-dihydrooxazole","CC(C)(C)C1COC(=N1)C2=NC3=C(CCCC3)C=C2"
"14324-99-3","NO","Tris(2,2,6,6-tetramethyl-3,5-heptanedionato)manganese(III)","CC(C)(C)C(=CC(=O)C(C)(C)C)O.CC(C)(C)C(=CC(=O)C(C)(C)C)O.CC(C)(C)C(=CC(=O)C(C)(C)C)O.[Mn]"
"60804-74-2","NO","Tris(2,2'-bipyridine)ruthenium bis(hexafluorophosphate)","C1=CC=NC(=C1)C2=CC=CC=N2.C1=CC=NC(=C1)C2=CC=CC=N2.C1=CC=NC(=C1)C2=CC=CC=N2.F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.[Ru+2]"
"7789-19-7","YES","Copper;difluoride","[F-].[F-].[Cu+2]"
"6185-76-8","YES","4-Methoxy-4'-trifluoromethylbenzophenone","COC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)C(F)(F)F"
"7440-02-0","NO","Nickel","[Ni]"
"50525-27-4","NO","Tris(2,2'-bipyridyl)ruthenium(II) chloride hexahydrate","C1=CC=NC(=C1)C2=CC=CC=N2.C1=CC=NC(=C1)C2=CC=CC=N2.C1=CC=NC(=C1)C2=CC=CC=N2.O.O.O.O.O.O.[Cl-].[Cl-].[Ru+2]"
"143334-20-7","YES","Hydrogen cyanide","C#N"
"6476-36-4","NO","Triisopropylphosphine","CC(C)P(C(C)C)C(C)C"
"15522-59-5","NO","Tetrabutylammonium tetraphenylborate","[B-](C1=CC=CC=C1)(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.CCCC[N+](CCCC)(CCCC)CCCC"
"138429-17-1","YES","(4S,4'S)-4,4'-Diisobutyl-4,4',5,5'-tetrahydro-2,2'-bioxazole","CC(C)CC1COC(=N1)C2=NC(CO2)CC(C)C"
"133463-89-5","YES","(4S,4'S)-4,4'-Di((S)-sec-butyl)-4,4',5,5'-tetrahydro-2,2'-bioxazole","CCC(C)C1COC(=N1)C2=NC(CO2)C(C)CC"
"100-99-2","YES","1H-Benzimidazole-2-methanol","C1=CC=C2C(=C1)NC(=N2)CO"
"1639791-77-7","YES","2,2'-Cyclopentylidenebis[(4S)-4-phenyl-2-oxazoline]","C1CCC(C1)(C2=NC(CO2)C3=CC=CC=C3)C4=NC(CO4)C5=CC=CC=C5"
"173035-10-4","NO","1,3-Dimesitylimidazolidine hydrochloride","CC1=CC(=C(C(=C1)C)N2CCN(C2)C3=C(C=C(C=C3C)C)C)C.Cl"
