id,smilesRXN,c1,c2,c3,c4,r1,r2,r3,r4,s1,s2,s3,s4,y1
33,CC(=O)CCC=C.CC1(C)OBOC1(C)C>>CC(=O)CCCCB1OC(C)(C)C(C)(C)O1,1863906-70-0,,,,,,,,71-43-2,,,,99
34,C=CN1C2=CC=CC=C2C2=CC=CC=C12.CC1(C)OBOC1(C)C>>CC1(C)OB(CCN2C3=CC=CC=C3C3=CC=CC=C23)OC1(C)C,1863906-70-0,,,,,,,,1076-43-3,,,,99
35,C=CN1C2=CC=CC=C2C2=CC=CC=C12.CC1(C)OBOC1(C)C>>CC1(C)OB(CCN2C3=CC=CC=C3C3=CC=CC=C23)OC1(C)C,17979-81-6,1600527-17-0,,,7782-44-7,,,,108-88-3,109-99-9,,,92
36,C=CN1C2=CC=CC=C2C2=CC=CC=C12.CC1(C)OBOC1(C)C>>CC1(C)OB(CCN2C3=CC=CC=C3C3=CC=CC=C23)OC1(C)C,1600527-17-0,,,,17979-81-6,7782-44-7,,,109-99-9,,,,92
37,C=CN1C2=CC=CC=C2C2=CC=CC=C12.CC1(C)OBOC1(C)C>>CC1(C)OB(CCN2C3=CC=CC=C3C3=CC=CC=C23)OC1(C)C,17979-81-6,1600527-17-0,,,,,,,109-99-9,,,,92
38,COC1=CC=C(C=C)C=C1.CC1(C)OBOC1(C)C>>COC1=CC=C(C=C1)[C@@H](C)B1OC(C)(C)C(C)(C)O1,2374233-34-6,,,,17979-81-6,,,,108-88-3,,,,99
42,CC1(C)OBOC1(C)C.C=CCOC1(CCC1)C#CC1=CC=CC=C1>>CC1(C)OB(CC2COC3(CCC3)\C2=C/C2=CC=CC=C2)OC1(C)C,14024-48-7,27721-02-4,,,,,,,109-99-9,,,,98
43,BrCCC1=CC=CC=C1.CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1>>CC1(C)OB(CCC2=CC=CC=C2)OC1(C)C,26305-75-9,181422-81-1,,,141-52-6,7782-44-7,,,1634-04-4,,,,98
44,CC(=C)C(C)=C.CC1(C)OB(CC=C)OC1(C)C>>CC(C)=C(C)CC(=C)CB1OC(C)(C)C(C)(C)O1,10139-47-6,34775-49-0,,,33725-74-5,,,,75-09-2,,,,98
45,CC1=CC=CO1.CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1>>CC1=CC=C(O1)B1OC(C)(C)C(C)(C)O1,17979-81-6,1087216-52-1,,,,,,,108-88-3,109-99-9,,,98
46,CC1=CC=CO1.CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1>>CC1=CC=C(O1)B1OC(C)(C)C(C)(C)O1,2026610-73-9,,,,865-34-9,7782-44-7,,,,,,,98
47,CC1=CC=CO1.CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1>>CC1=CC=C(O1)B1OC(C)(C)C(C)(C)O1,17979-81-6,2094503-97-4,,,,,,,109-99-9,,,,87
48,CCCCCCCC=O.CC1(C)OBOC1(C)C>>CCCCCCCCB1OC(C)(C)C(C)(C)O1,865-47-4,736928-75-9,,,,,,,109-99-9,,,,98
49,CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1.CC(C)(C)[Si](C)(C)OC1=CC(C=C)=CC=C1>>CC(C)(C)[Si](C)(C)OC1=CC=CC(CC(B2OC(C)(C)C(C)(C)O2)(B2OC(C)(C)C(C)(C)O2)B2OC(C)(C)C(C)(C)O2)=C1,17979-81-6,1600527-14-7,,,7782-44-7,,,,109-66-0,109-99-9,,,98
50,CN1C=CC2=CC=CC=C12.CC1(C)OBOC1(C)C>>CN1C(=CC2=CC=CC=C12)B1OC(C)(C)C(C)(C)O1,1234351-63-3,,,,,,,,,,,,98
51,CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1.CC1=CC=CC(=C1)B1OC(C)(C)C(C)(C)O1>>CC1(C)OB(CC2=CC=CC(=C2)B2OC(C)(C)C(C)(C)O2)OC1(C)C,25015-63-8,1847470-87-4,,,7782-44-7,121-44-8,7631-86-9,,5614-37-9,,,,98
52,CC(C)(C)C=C.CC1(C)OBOC1(C)C>>CC(C)(C)CCB1OC(C)(C)C(C)(C)O1,1459797-98-8,,,,,,,,,,,,98
53,CC(C)(C)C=C.CC1(C)OBOC1(C)C>>CC(C)(C)CCB1OC(C)(C)C(C)(C)O1,1459797-98-8,,,,7782-44-7,,,,,,,,98
54,CC(C)CC=C.CC1(C)OBOC1(C)C>>CC(C)CCCB1OC(C)(C)C(C)(C)O1,1459797-98-8,,,,,,,,,,,,98
55,CC(C)CC=C.CC1(C)OBOC1(C)C>>CC(C)CCCB1OC(C)(C)C(C)(C)O1,1459797-98-8,,,,7782-44-7,,,,,,,,98
