"id","smilesRXN","c1","c2","c3","c4","c5","r1","r2","r3","r4","r5","r6","r7","s1","s2","s3","s4","s5","y1"
708,"O=CC1CC2CC1C=C2.C[SiH](C)[C]1234[BH]567[BH]89%10[BH]%11%12%13[BH]585[BH]%118%11[BH]%12%12%14[BH]9%139[BH]16%10[BH]2%129[C]38%14([SiH](C)C)[BH]475%11>>C[Si]1(C)OC(C2CC3CC2C=C3)[Si](C)(C)[C]2345[BH]678[BH]9%10%11[BH]%12%13%14[BH]696[BH]%129%12[BH]%13%13%15[BH]%10%14%10[BH]27%11[BH]3%13%10[C]149%15[BH]586%12","CC[P](CC)(CC)[Ni]([P](CC)(CC)CC)([P](CC)(CC)CC)[P](CC)(CC)CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CC1=CC=CC=C1",NA,NA,NA,NA,83
709,"CC1(C)OB(OC1(C)C)C(Cl)CCC1=CC=CC=C1.CC(C)(C)[Si](C)(C)[O]1CC[CH2-][Zn++]1[Br-]>>CC(C)(C)[Si](C)(C)OCCC[C@H](CCC1=CC=CC=C1)B1OC(C)(C)C(C)(C)O1","COCCOCCOC.[Ni](Br)Br","C=1C=CC(=C(C1)C)C(NC)C(NC)C=2C=CC=CC2C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C1CCOC1","CC(=O)N(C)C",NA,NA,NA,83
711,"CC(C)C(I)B1OC(C)(C)C(C)(C)O1.[Br-][Zn++]1[CH2-]CC[O]1C1=CC=CC=C1>>CC(C)[C@@H](CCCOC1=CC=CC=C1)B1OC(C)(C)C(C)(C)O1","COCCOCCOC.[Ni](Br)Br","C=1C=CC(=C(C1)C)C(NC)C(NC)C=2C=CC=CC2C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C1CCOC1","CC(=O)N(C)C",NA,NA,NA,83
712,"CC1(C)OB(OC1(C)C)C(I)C1CCCC1.[Br-][Zn++]1[CH2-]CC[O]1C1=CC=CC=C1>>CC1(C)OB(OC1(C)C)[C@H](CCCOC1=CC=CC=C1)C1CCCC1","COCCOCCOC.[Ni](Br)Br","C=1C=CC(=C(C1)C)C(NC)C(NC)C=2C=CC=CC2C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C1CCOC1","CC(=O)N(C)C",NA,NA,NA,83
713,"CC1(C)OB(OC1(C)C)C(I)C1CCCCC1.[Br-][Zn++]1[CH2-]CC[O]1C1=CC=CC=C1>>CC1(C)OB(OC1(C)C)[C@H](CCCOC1=CC=CC=C1)C1CCCCC1","COCCOCCOC.[Ni](Br)Br","C=1C=CC(=C(C1)C)C(NC)C(NC)C=2C=CC=CC2C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C1CCOC1","CC(=O)N(C)C",NA,NA,NA,83
714,"CC1(C)OB(OC1(C)C)C(I)C1CCCCCC1.[Br-][Zn++]1[CH2-]CC[O]1C1=CC=CC=C1>>CC1(C)OB(OC1(C)C)[C@@H](CCCOC1=CC=CC=C1)C1CCCCCC1","COCCOCCOC.[Ni](Br)Br","C=1C=CC(=C(C1)C)C(NC)C(NC)C=2C=CC=CC2C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C1CCOC1","CC(=O)N(C)C",NA,NA,NA,83
715,"CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1.CC(C)(C)[Si](C)(C)OC1=CC=CC(=C1)N1CCOCC1>>CC1(C)OB(OC1(C)C)C1=CC(=CC=C1)N1CCOCC1","CC(=CC(=O)C)O.CC(=CC(=O)C)O.[Ni]","[Cl-].C=1C=C(C(=C(C1)C(C)C)N2C=[N+](C=3C(=CC=CC3C(C)C)C(C)C)C(=C2C)C)C(C)C",NA,NA,NA,"[Li+].CC(C)(C)[O-]",NA,NA,NA,NA,NA,NA,"COC1CCCC1",NA,NA,NA,NA,83
716,"CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1.CC(C)(C)[Si](C)(C)OC1=CC=CC(=C1)N1CCOCC1>>CC1(C)OB(OC1(C)C)C1=CC(=CC=C1)N1CCOCC1","CC(=CC(=O)C)O.CC(=CC(=O)C)O.[Ni]","[Cl-].C=1C=C(C(=C(C1)C(C)C)N2C=[N+](C=3C(=CC=CC3C(C)C)C(C)C)C(=C2C)C)C(C)C",NA,NA,NA,"[Li+].CC(C)(C)[O-]",NA,NA,NA,NA,NA,NA,"COC1CCCC1",NA,NA,NA,NA,83
717,"CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1.CC(C)(C)C1=CC=C(O[Si](C)(C)C(C)(C)C)C=C1>>CC(C)(C)C1=CC=C(C=C1)B1OC(C)(C)C(C)(C)O1","CC(=CC(=O)C)O.CC(=CC(=O)C)O.[Ni]","[Cl-].C=1C=C(C(=C(C1)C(C)C)N2C=[N+](C=3C(=CC=CC3C(C)C)C(C)C)C(=C2C)C)C(C)C",NA,NA,NA,"[Li+].CC(C)(C)[O-]",NA,NA,NA,NA,NA,NA,"COC1CCCC1",NA,NA,NA,NA,83
718,"CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1.CC(C)(C)C1=CC=C(O[Si](C)(C)C(C)(C)C)C=C1>>CC(C)(C)C1=CC=C(C=C1)B1OC(C)(C)C(C)(C)O1","CC(=CC(=O)C)O.CC(=CC(=O)C)O.[Ni]","[Cl-].C=1C=C(C(=C(C1)C(C)C)N2C=[N+](C=3C(=CC=CC3C(C)C)C(C)C)C(=C2C)C)C(C)C",NA,NA,NA,"[Li+].CC(C)(C)[O-]",NA,NA,NA,NA,NA,NA,"COC1CCCC1",NA,NA,NA,NA,83
