"id","smilesRXN","c1","c2","c3","c4","r1","r2","r3","r4","s1","s2","s3","s4","y1"
16,"C=CC1=CC=CC=C1.CC1(C)OBOC1(C)C>>CC1(C)OB(CCC2=CC=CC=C2)OC1(C)C","[Cl-][Co+2]12([Cl-])[N]=3C=CC=CC3C4=CC=CC(=[N]41)C[P]2(C(C)C)C(C)C",NA,NA,"","[B-](CC)(CC)CC.[Na+]","O=O",NA,NA,NA,NA,NA,NA,99
17,"C=CC1=CC=CC=C1.CC1(C)OBOC1(C)C>>CC1(C)OB(CCC2=CC=CC=C2)OC1(C)C","[B-](CC)(CC)CC.[Na+]","[Cl-][Co+2]12([Cl-])[N]=3C=CC=CC3C4=CC=CC(=[N]41)C[P]2(C(C)C)C(C)C",NA,"","O=O",NA,NA,NA,NA,NA,NA,NA,99
18,"C=CC1=CC=CC=C1.CC1(C)OBOC1(C)C>>CC1(C)OB(CCC2=CC=CC=C2)OC1(C)C","N#[N][Co+5]=1=2[C-]=3C(=CC=CC3N4C=5C=CC=CC5N(C=6C(=CC=CC6C(C)C)C(C)C)[C-2]41)N7C=8C=CC=CC8N(C=9C(=CC=CC9C(C)C)C(C)C)[C-2]72",NA,NA,"",NA,NA,NA,NA,"C1=CC=CC=C1",NA,NA,NA,99
19,"C=CC1=CC=CC=C1.CC1(C)OBOC1(C)C>>CC1(C)OB(CCC2=CC=CC=C2)OC1(C)C","Cl[P]12N3C=4C=CC=CC4[P](C=5C=CC=CC5)(C=6C=CC=CC6)[Co+2]1([Cl-])([Cl-])[P](C=7C=CC=CC7)(C=8C=CC=CC8)C=9C=CC=CC9N2CC3","[B-](CC)(CC)CC.[K+]",NA,"",NA,NA,NA,NA,"C1CCOC1",NA,NA,NA,98
20,"C=CC1=CC=CC=C1.CC1(C)OBOC1(C)C>>CC1(C)OB(CCC2=CC=CC=C2)OC1(C)C","[B-](CC)(CC)CC.[Na+]","[Cl-][Co+2]12([Cl-])[N]=3C=CC=CC3C4=CC=CC(=[N]41)C[P]2(C(C)C)C(C)C",NA,"",NA,NA,NA,NA,"C1CCOC1",NA,NA,NA,91
21,"C=CC1=CC=CC=C1.CC1(C)OBOC1(C)C>>CC1(C)OB(CCC2=CC=CC=C2)OC1(C)C","CC(C)(C)[O-].[Na+]","[Cl-][Co+2]12([Cl-])[N]=3C(=CC=CC3C(=[N]1C4=C(C=C(C=C4C)C)C)C)C(=[N]2C5=C(C=C(C=C5C)C)C)C",NA,"",NA,NA,NA,NA,"C1CCOC1",NA,NA,NA,88
22,"O1C=CC2=CC=CC=C12.CC1(C)OBOC1(C)C>>CC1(C)OB(OC1(C)C)C1=CC2=CC=CC=C2O1","C=1C=C2[N]3=C(C1)C[P](C(C)C)(C(C)C)[Co+]3([CH2-][Si](C)(C)C)[P](C2)(C(C)C)C(C)C",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,99
23,"O1C=CC2=CC=CC=C12.CC1(C)OBOC1(C)C>>CC1(C)OB(OC1(C)C)C1=CC2=CC=CC=C2O1","C=1C=C2[N]3=C(C1)C[P](C(C)C)(C(C)C)[Co+]3([CH2-][Si](C)(C)C)[P](C2)(C(C)C)C(C)C",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,99
24,"CC1=CC=C(C=C)C=C1.CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1>>CC1=CC=C(\C=C\B2OC(C)(C)C(C)(C)O2)C=C1","[B-](CC)(CC)CC.[Na+]","[Cl-][Co+2]12([Cl-])[N]=3C=CC=CC3C4=CC=CC(=[N]41)C[P]2(C(C)(C)C)C(C)(C)C",NA,"","[F-].[Cs+]","O=O",NA,NA,"CN(C)C=O","C1CCOC1",NA,NA,99
25,"CCCCCCC=C.CC1(C)OBOC1(C)C>>CCCCCCCCB1OC(C)(C)C(C)(C)O1","N#[N][Co+5]=1=2[C-]=3C(=CC=CC3N4C=5C=CC=CC5N(C=6C(=CC=CC6C(C)C)C(C)C)[C-2]41)N7C=8C=CC=CC8N(C=9C(=CC=CC9C(C)C)C(C)C)[C-2]72",NA,NA,"",NA,NA,NA,NA,"C1=CC=CC=C1",NA,NA,NA,99
26,"CCCCCCC=C.CC1(C)OBOC1(C)C>>CCCCCCCCB1OC(C)(C)C(C)(C)O1","[B-](CC)(CC)CC.[Na+]","[Cl-][Co+2]12([Cl-])[N]=3C=CC=CC3C(C=4C=CC=CC4)=[N]2C=5C=CC=CC5[P]1(C=6C=CC=CC6)C=7C=CC=CC7",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,99
