id,smilesRXN,c1,c2,c3,c4,c5,r1,r2,r3,r4,r5,r6,r7,s1,s2,s3,s4,s5,y1
2448,CC1(C)OBOC1(C)C.CC#CCN(C(C)C=C)[S](=O)(=O)C1=CC=C(C)C=C1>>C[C@H]1[C@H](C)\C(CN1[S](=O)(=O)C1=CC=C(C)C=C1)=C(\C)B1OC(C)(C)C(C)(C)O1,3264-82-2,161265-03-8,,,,7782-44-7,,,,,,,108-88-3,,,,,54
2451,[BH]1234[BH]567[BH]118[BH]229[BH]33%10[BH]454[BH]656[BH]711[BH]822[CH]933[BH]%1045[CH]6123.CCCCC#CCCCC>>CCCCC1=C(CCCC)[C]2345[BH]678[BH]9%10%11[BH]%12%13%14[BH]696[BH]%129%12[BH]%13%13%15[BH]%10%14%10[BH]27%11[BH]3%13%10[C]49%15(C(CCCC)=C1CCCC)[BH]586%12,14264-16-5,,,,,109-72-8,7553-56-2,,,,,,108-88-3,,,,,54
2453,CC(C)=CCC\C(C)=C\COC(C)=O.CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1>>CC(C)=CCC\C(C)=C\CB1OC(C)(C)C(C)(C)O1,1295-35-8,2622-14-2,,,,,,,,,,,141-78-6,,,,,54
2454,O=CC1=CC=C2OCOC2=C1.CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1>>CC1(C)OB(OC1(C)C)C1=CC=C2OCOC2=C1,1295-35-8,4731-53-7,,,,655-32-3,,,,,,,108-88-3,,,,,54
2455,FC(F)(F)[S](=O)(=O)OC1=C(C=O)C=CC=C1.CC1(C)OB(OC1(C)C)C1=CC=C(C=O)C=C1>>CC1(C)OB(OC1(C)C)C1=CC=C(C=C1)C1OC(=O)C2=CC=CC=C12,1295-35-8,23582-02-7,,,,626-67-5,,,,,,,108-88-3,,,,,54
2456,CCCCCCC(Br)B1OC(C)(C)C(C)(C)O1.FC(F)(F)C1=CC(Br)=C(CC#N)C=C1>>CCCCCCC(B1OC(C)(C)C(C)(C)O1)C1=C(CC#N)C=CC(=C1)C(F)(F)F,1295-35-8,17217-57-1,,,,7440-66-6,,,,,,,109-99-9,7226-23-5,,,,54
2457,COC1=CC=C(I)C=C1.CCCCCCC(Br)B1OC(C)(C)C(C)(C)O1>>CCCCCCC(B1OC(C)(C)C(C)(C)O1)C1=CC=C(OC)C=C1,1295-35-8,17217-57-1,,,,7440-66-6,,,,,,,109-99-9,7226-23-5,,,,54
2458,CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1.CC1=CC=C(C=C1)[S](=O)(=O)N(CC=C)CC#CC1=CC=C(Cl)C=C1>>CC1=CC=C(C=C1)[S](=O)(=O)N1CC(CB2OC(C)(C)C(C)(C)O2)\C(C1)=C(/B1OC(C)(C)C(C)(C)O1)C1=CC=C(Cl)C=C1,1295-35-8,158589-14-1,,,,,,,,,,,108-20-3,,,,,54
2459,O=C1CC(=C1)C1=CC=CC=C1.CCCCC#CB1OC(C)(C)C(C)(C)O1>>CCCCC1=C(C=C(C=C1O)C1=CC=CC=C1)B1OC(C)(C)C(C)(C)O1,1295-35-8,,,,,,,,,,,,60-29-7,,,,,54
2460,COC1=C(C=CC=C1)C(=O)OC(C)(C)C.CC1(C)COB(OC1)B1OCC(C)(C)CO1>>CC(C)(C)OC(=O)C1=C(C=CC=C1)B1OCC(C)(C)CO1,1295-35-8,2622-14-2,,,,141-53-7,,,,,,,108-88-3,,,,,54
2461,CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1.COC1=CC=C(C=C1)C(=O)N1C(=O)CCCC1=O>>COC1=CC=C(C=C1)B1OC(C)(C)C(C)(C)O1,998-40-3,1295-35-8,,,,554-13-2,,,,,,,123-91-1,,,,,54
2462,FC(=O)C1=CC=CC=C1.CC1CC(C)(C)OB(O1)B1OC(C)CC(C)(C)O1>>CC1CC(C)(C)OB(O1)C1=CC=CC=C1,603-35-0,1295-35-8,,,,7647-14-5,7789-23-3,,,,,,108-88-3,111-65-9,,,,54
2463,O=C(OC1=CC=CC=C1)C1=CC=C(C=C1)C(=O)C1=CC=CC=C1.CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1>>CC1(C)OB(OC1(C)C)C1=CC=C(C=C1)C(=O)C1=CC=CC=C1,998-40-3,1295-35-8,,,,554-13-2,,,,,,,123-91-1,,,,,54
2464,CCBr.CC1(C)OB(OC1(C)C)B1OC(C)(C)C(C)(C)O1>>CC1(C)OB(CCB2OC(C)(C)C(C)(C)O2)OC1(C)C,1295-35-8,940934-47-4,,,,67-56-1,96-47-9,121-44-8,,,,,96-47-9,108-88-3,,,,54
