,MeanDecreaseGini,Features
PRO_BCUT2D_CHGLO,2.26980235478116,PRO_BCUT2D_CHGLO
PRO_MinEStateIndex,2.14023789706742,PRO_MinEStateIndex
PRO_BCUT2D_LOGPHI,2.09852270878462,PRO_BCUT2D_LOGPHI
PRO_VSA_EState1,2.09143413573103,PRO_VSA_EState1
PRO_VSA_EState9,2.06469421738546,PRO_VSA_EState9
PRO_Chi2v,2.04667250475513,PRO_Chi2v
RCTB_Chi4v,2.0375162172924,RCTB_Chi4v
PRO_Kappa3,2.03728150793829,PRO_Kappa3
RCTB_Chi3v,2.03393844220532,RCTB_Chi3v
PRO_SMR_VSA1,2.03306849948196,PRO_SMR_VSA1
RCTB_BCUT2D_LOGPLOW,2.0320418875126,RCTB_BCUT2D_LOGPLOW
PRO_SlogP_VSA5,2.01024538876383,PRO_SlogP_VSA5
PRO_FpDensityMorgan1,2.00592753939379,PRO_FpDensityMorgan1
RCTB_LabuteASA,2.00287592734455,RCTB_LabuteASA
PRO_Chi2n,2.00268457262903,PRO_Chi2n
PRO_NumValenceElectrons,1.98864582408208,PRO_NumValenceElectrons
PRO_MaxPartialCharge,1.985524916082,PRO_MaxPartialCharge
PRO_VSA_EState4,1.98460553520037,PRO_VSA_EState4
PRO_MaxEStateIndex,1.98134823579132,PRO_MaxEStateIndex
PRO_LabuteASA,1.97858369851038,PRO_LabuteASA
PRO_ExactMolWt,1.9751336522259,PRO_ExactMolWt
PRO_BalabanJ,1.96968502802642,PRO_BalabanJ
RCTB_BCUT2D_LOGPHI,1.96089742579554,RCTB_BCUT2D_LOGPHI
RCTB_NumValenceElectrons,1.9578059501918,RCTB_NumValenceElectrons
RCTB_Chi2v,1.95567117174804,RCTB_Chi2v
PRO_Chi0,1.94948934140926,PRO_Chi0
PRO_MaxAbsPartialCharge,1.94424405917489,PRO_MaxAbsPartialCharge
PRO_MinAbsPartialCharge,1.93524618009141,PRO_MinAbsPartialCharge
RCTB_BCUT2D_MRLOW,1.92512331845961,RCTB_BCUT2D_MRLOW
