,MeanDecreaseGini,Features
PRO_MaxPartialCharge,4.60488190322632,PRO_MaxPartialCharge
PRO_VSA_EState8,4.4221898345563,PRO_VSA_EState8
PRO_BCUT2D_CHGLO,4.33980324469988,PRO_BCUT2D_CHGLO
PRO_MaxAbsPartialCharge,4.11032568774767,PRO_MaxAbsPartialCharge
PRO_MinAbsPartialCharge,4.02812579580533,PRO_MinAbsPartialCharge
RCTB_MinAbsEStateIndex,3.92463711375433,RCTB_MinAbsEStateIndex
RCTB_BCUT2D_LOGPLOW,3.89931822012242,RCTB_BCUT2D_LOGPLOW
PRO_VSA_EState6,3.88824373606685,PRO_VSA_EState6
RCTB_Kappa2,3.87158076662499,RCTB_Kappa2
PRO_Kappa3,3.8665074365503,PRO_Kappa3
RCTB_BCUT2D_MRLOW,3.84252095232042,RCTB_BCUT2D_MRLOW
RCTB_VSA_EState6,3.83288927834317,RCTB_VSA_EState6
RCTB_Kappa3,3.81676925900933,RCTB_Kappa3
PRO_VSA_EState9,3.80232407051024,PRO_VSA_EState9
RCTB_VSA_EState1,3.79694590969437,RCTB_VSA_EState1
RCTB_MolWt,3.7938927218425,RCTB_MolWt
PRO_MinEStateIndex,3.78561169587523,PRO_MinEStateIndex
RCTB_Chi4v,3.78261378936692,RCTB_Chi4v
PRO_BalabanJ,3.7604533569938,PRO_BalabanJ
PRO_PEOE_VSA7,3.75971157051907,PRO_PEOE_VSA7
RCTB_MinEStateIndex,3.7471589466026,RCTB_MinEStateIndex
PRO_VSA_EState1,3.74536747519536,PRO_VSA_EState1
PRO_MinAbsEStateIndex,3.73744854326341,PRO_MinAbsEStateIndex
PRO_SlogP_VSA5,3.72396358758561,PRO_SlogP_VSA5
PRO_MaxAbsEStateIndex,3.71362680961008,PRO_MaxAbsEStateIndex
RCTB_MolLogP,3.71091748389556,RCTB_MolLogP
RCTB_BCUT2D_CHGLO,3.7005194047272,RCTB_BCUT2D_CHGLO
PRO_FpDensityMorgan1,3.69218998388403,PRO_FpDensityMorgan1
PRO_MinPartialCharge,3.67754684438853,PRO_MinPartialCharge
PRO_FpDensityMorgan3,3.67362299608571,PRO_FpDensityMorgan3
PRO_VSA_EState4,3.63931486562794,PRO_VSA_EState4
PRO_BCUT2D_CHGHI,3.63535046894922,PRO_BCUT2D_CHGHI
RCTB_EState_VSA1,3.61445501087109,RCTB_EState_VSA1
RCTB_BCUT2D_LOGPHI,3.58424266484232,RCTB_BCUT2D_LOGPHI
PRO_FpDensityMorgan2,3.57717247300525,PRO_FpDensityMorgan2
RCTB_BCUT2D_MWLOW,3.56722449216147,RCTB_BCUT2D_MWLOW
RCTB_MaxAbsPartialCharge,3.55630174082676,RCTB_MaxAbsPartialCharge
RCTB_PEOE_VSA7,3.5489131639724,RCTB_PEOE_VSA7
RCTB_HeavyAtomMolWt,3.52051323187799,RCTB_HeavyAtomMolWt
RCTB_FpDensityMorgan3,3.52019271515403,RCTB_FpDensityMorgan3
PRO_Chi1n,3.50783576704417,PRO_Chi1n
PRO_FractionCSP3,3.5006492354929,PRO_FractionCSP3
PRO_SMR_VSA1,3.48029039137224,PRO_SMR_VSA1
PRO_MaxEStateIndex,3.47361831404406,PRO_MaxEStateIndex
PRO_EState_VSA9,3.46346949954622,PRO_EState_VSA9
PRO_Chi3n,3.43486742787087,PRO_Chi3n
PRO_Chi1v,3.43213946011814,PRO_Chi1v
PRO_BertzCT,3.42531808309466,PRO_BertzCT
RCTB_LabuteASA,3.42203798006978,RCTB_LabuteASA
RCTB_Chi0,3.40753151947201,RCTB_Chi0
RCTB_ExactMolWt,3.40583915091463,RCTB_ExactMolWt
PRO_Chi0n,3.40132189112356,PRO_Chi0n
RCTB_BCUT2D_CHGHI,3.38953769722087,RCTB_BCUT2D_CHGHI
