,MeanDecreaseGini,Features
RCTB_PEOE_VSA7,7.1127332489734,RCTB_PEOE_VSA7
RCTB_Kappa3,6.89266214985891,RCTB_Kappa3
PRO_VSA_EState8,6.83865355622673,PRO_VSA_EState8
RCTB_BCUT2D_LOGPLOW,6.81964107276622,RCTB_BCUT2D_LOGPLOW
PRO_FpDensityMorgan3,6.73708165853136,PRO_FpDensityMorgan3
PRO_MinAbsPartialCharge,6.73322003079176,PRO_MinAbsPartialCharge
RCTB_FpDensityMorgan3,6.62250651952775,RCTB_FpDensityMorgan3
RCTB_BCUT2D_CHGLO,6.57127817637024,RCTB_BCUT2D_CHGLO
PRO_BCUT2D_CHGLO,6.5434312843825,PRO_BCUT2D_CHGLO
RCTB_MinAbsEStateIndex,6.44961664234126,RCTB_MinAbsEStateIndex
RCTB_MaxAbsPartialCharge,6.35061440315378,RCTB_MaxAbsPartialCharge
PRO_MaxAbsPartialCharge,6.30672848363897,PRO_MaxAbsPartialCharge
PRO_MinPartialCharge,6.12440032199378,PRO_MinPartialCharge
PRO_MaxPartialCharge,6.08723336180574,PRO_MaxPartialCharge
RCTB_BalabanJ,6.07714550415305,RCTB_BalabanJ
PRO_MinAbsEStateIndex,6.04559295324878,PRO_MinAbsEStateIndex
PRO_VSA_EState9,5.93470061715852,PRO_VSA_EState9
PRO_VSA_EState6,5.84435734706602,PRO_VSA_EState6
RCTB_MinEStateIndex,5.79484417751656,RCTB_MinEStateIndex
PRO_Kappa3,5.75266394348229,PRO_Kappa3
RCTB_BCUT2D_MWLOW,5.73077942852054,RCTB_BCUT2D_MWLOW
PRO_FpDensityMorgan2,5.7128937116299,PRO_FpDensityMorgan2
RCTB_FpDensityMorgan2,5.6964682609534,RCTB_FpDensityMorgan2
RCTB_MinPartialCharge,5.60595569246187,RCTB_MinPartialCharge
PRO_BalabanJ,5.56488667188978,PRO_BalabanJ
RCTB_BCUT2D_MRLOW,5.55822924321559,RCTB_BCUT2D_MRLOW
PRO_BCUT2D_CHGHI,5.51352012983832,PRO_BCUT2D_CHGHI
RCTB_qed,5.48232977538685,RCTB_qed
PRO_VSA_EState4,5.4808348653542,PRO_VSA_EState4
RCTB_BCUT2D_CHGHI,5.39799922728835,RCTB_BCUT2D_CHGHI
RCTB_MolLogP,5.36766040857369,RCTB_MolLogP
RCTB_MaxAbsEStateIndex,5.35116787449718,RCTB_MaxAbsEStateIndex
RCTB_MaxPartialCharge,5.34991653350201,RCTB_MaxPartialCharge
PRO_MinEStateIndex,5.34028312222951,PRO_MinEStateIndex
PRO_BCUT2D_LOGPHI,5.33801498786723,PRO_BCUT2D_LOGPHI
RCTB_Kappa2,5.29186687034024,RCTB_Kappa2
PRO_FpDensityMorgan1,5.14229469053645,PRO_FpDensityMorgan1
PRO_MaxAbsEStateIndex,5.01393247439392,PRO_MaxAbsEStateIndex
RCTB_MaxEStateIndex,4.96691533650931,RCTB_MaxEStateIndex
RCTB_BCUT2D_LOGPHI,4.95180886441821,RCTB_BCUT2D_LOGPHI
RCTB_FpDensityMorgan1,4.89601535690747,RCTB_FpDensityMorgan1
RCTB_SlogP_VSA5,4.89349850042672,RCTB_SlogP_VSA5
PRO_qed,4.86255808925019,PRO_qed
RCTB_MinAbsPartialCharge,4.78813154940483,RCTB_MinAbsPartialCharge
PRO_PEOE_VSA7,4.74689486911209,PRO_PEOE_VSA7
CAT_MinEStateIndex,4.71247307698948,CAT_MinEStateIndex
RCTB_VSA_EState5,4.70050343801573,RCTB_VSA_EState5
RCTB_VSA_EState6,4.67452913787033,RCTB_VSA_EState6
RCTB_PEOE_VSA6,4.59031913714734,RCTB_PEOE_VSA6
PRO_PEOE_VSA6,4.53358778360443,PRO_PEOE_VSA6
RCTB_VSA_EState1,4.52090556329063,RCTB_VSA_EState1
PRO_BCUT2D_MWLOW,4.49774759007189,PRO_BCUT2D_MWLOW
RCTB_Kappa1,4.48365480804217,RCTB_Kappa1
RCTB_Chi4v,4.45641007137143,RCTB_Chi4v
RCTB_HeavyAtomMolWt,4.42379647134646,RCTB_HeavyAtomMolWt
PRO_MaxEStateIndex,4.42133053157652,PRO_MaxEStateIndex
RCTB_EState_VSA9,4.41176819711413,RCTB_EState_VSA9
RCTB_ExactMolWt,4.4097822687369,RCTB_ExactMolWt
RCTB_PEOE_VSA8,4.36265035330134,RCTB_PEOE_VSA8
RCTB_PEOE_VSA9,4.3587947910765,RCTB_PEOE_VSA9
RCTB_MolWt,4.35503239250119,RCTB_MolWt
RCTB_Chi3v,4.3150766995949,RCTB_Chi3v
PRO_VSA_EState1,4.28891179500236,PRO_VSA_EState1
PRO_PEOE_VSA8,4.25069891271433,PRO_PEOE_VSA8
RCTB_HallKierAlpha,4.24050230883068,RCTB_HallKierAlpha
PRO_MolLogP,4.22710253702105,PRO_MolLogP
RCTB_VSA_EState4,4.19242843285539,RCTB_VSA_EState4
RCTB_BCUT2D_MRHI,4.19145216997249,RCTB_BCUT2D_MRHI
RCTB_SMR_VSA1,4.18594156014662,RCTB_SMR_VSA1
RCTB_Chi2v,4.18097789095337,RCTB_Chi2v
PRO_SlogP_VSA5,4.07970592799555,PRO_SlogP_VSA5
PRO_Kappa1,4.06966340266561,PRO_Kappa1
PRO_VSA_EState5,4.06669855969375,PRO_VSA_EState5
PRO_EState_VSA9,4.03789613748401,PRO_EState_VSA9
PRO_Chi4v,4.02576351208166,PRO_Chi4v
RCTB_Chi4n,4.00923004214302,RCTB_Chi4n
RCTA_MolLogP,3.97321659274208,RCTA_MolLogP
PRO_SlogP_VSA2,3.96913324105052,PRO_SlogP_VSA2
RCTB_EState_VSA1,3.88897986495463,RCTB_EState_VSA1
RCTB_Chi3n,3.85855494522639,RCTB_Chi3n
RCTB_VSA_EState7,3.84266107677595,RCTB_VSA_EState7
PRO_Chi4n,3.82601327767408,PRO_Chi4n
RCTA_VSA_EState9,3.8148542223488,RCTA_VSA_EState9
RCTB_SMR_VSA10,3.80660885444892,RCTB_SMR_VSA10
PRO_Chi3v,3.79489618976502,PRO_Chi3v
RCTB_SlogP_VSA2,3.75195308587215,RCTB_SlogP_VSA2
PRO_VSA_EState7,3.74891213749711,PRO_VSA_EState7
PRO_PEOE_VSA9,3.71561010488291,PRO_PEOE_VSA9
RCTB_Chi1v,3.70595387442112,RCTB_Chi1v
