,MeanDecreaseGini,Features
PRO_VSA_EState8,9.02965161855971,PRO_VSA_EState8
RCTB_MinAbsEStateIndex,6.98131497035274,RCTB_MinAbsEStateIndex
PRO_VSA_EState4,6.84758643711548,PRO_VSA_EState4
PRO_FpDensityMorgan3,6.83390754513776,PRO_FpDensityMorgan3
RCTB_qed,6.80477129840791,RCTB_qed
PRO_MinAbsPartialCharge,6.65343564201846,PRO_MinAbsPartialCharge
RCTB_BCUT2D_LOGPLOW,6.6024907161654,RCTB_BCUT2D_LOGPLOW
PRO_MinAbsEStateIndex,6.41024300895079,PRO_MinAbsEStateIndex
RCTB_FpDensityMorgan3,6.36550388399565,RCTB_FpDensityMorgan3
RCTB_MinPartialCharge,6.30824152374081,RCTB_MinPartialCharge
RCTB_MaxAbsPartialCharge,6.3074335335078,RCTB_MaxAbsPartialCharge
PRO_MaxAbsPartialCharge,6.21993509731435,PRO_MaxAbsPartialCharge
RCTB_PEOE_VSA7,6.20477699856089,RCTB_PEOE_VSA7
RCTB_BCUT2D_CHGLO,6.16637975217987,RCTB_BCUT2D_CHGLO
RCTB_Kappa3,6.15340009511125,RCTB_Kappa3
PRO_BalabanJ,6.13700546151757,PRO_BalabanJ
PRO_BCUT2D_CHGLO,6.12751634360514,PRO_BCUT2D_CHGLO
PRO_BCUT2D_LOGPHI,6.118193474657,PRO_BCUT2D_LOGPHI
PRO_Kappa3,5.94726886451876,PRO_Kappa3
PRO_BCUT2D_CHGHI,5.91989634431503,PRO_BCUT2D_CHGHI
PRO_MaxPartialCharge,5.82993383738523,PRO_MaxPartialCharge
PRO_VSA_EState9,5.79111438013428,PRO_VSA_EState9
PRO_FpDensityMorgan1,5.73740764523955,PRO_FpDensityMorgan1
PRO_FpDensityMorgan2,5.72142544389224,PRO_FpDensityMorgan2
PRO_VSA_EState6,5.6449841460995,PRO_VSA_EState6
PRO_MinPartialCharge,5.6286586151812,PRO_MinPartialCharge
PRO_qed,5.57932393803311,PRO_qed
RCTB_FpDensityMorgan1,5.55275022949795,RCTB_FpDensityMorgan1
RCTB_MaxEStateIndex,5.49201062288289,RCTB_MaxEStateIndex
RCTB_FpDensityMorgan2,5.43403282584596,RCTB_FpDensityMorgan2
RCTB_BalabanJ,5.3840819551872,RCTB_BalabanJ
RCTB_MaxAbsEStateIndex,5.36001881803123,RCTB_MaxAbsEStateIndex
RCTB_MinEStateIndex,5.35749836118826,RCTB_MinEStateIndex
PRO_MinEStateIndex,5.34355465126623,PRO_MinEStateIndex
PRO_PEOE_VSA7,5.33619995534635,PRO_PEOE_VSA7
RCTB_BCUT2D_MRLOW,5.31107459576423,RCTB_BCUT2D_MRLOW
RCTB_BCUT2D_MWLOW,5.22883876660576,RCTB_BCUT2D_MWLOW
PRO_VSA_EState1,5.19963341377268,PRO_VSA_EState1
RCTB_BCUT2D_CHGHI,5.15285231542325,RCTB_BCUT2D_CHGHI
RCTB_PEOE_VSA8,5.13048349124266,RCTB_PEOE_VSA8
PRO_MaxEStateIndex,5.12937989613637,PRO_MaxEStateIndex
PRO_BCUT2D_MWLOW,5.08404709951158,PRO_BCUT2D_MWLOW
RCTB_MolLogP,5.0436659433484,RCTB_MolLogP
RCTB_MinAbsPartialCharge,4.99265571204704,RCTB_MinAbsPartialCharge
RCTB_MaxPartialCharge,4.95736313312102,RCTB_MaxPartialCharge
RCTB_BCUT2D_LOGPHI,4.88390673797374,RCTB_BCUT2D_LOGPHI
RCTB_VSA_EState6,4.83699366845518,RCTB_VSA_EState6
PRO_MaxAbsEStateIndex,4.81766134684695,PRO_MaxAbsEStateIndex
RCTB_VSA_EState4,4.817384152157,RCTB_VSA_EState4
RCTB_PEOE_VSA6,4.78684260412465,RCTB_PEOE_VSA6
RCTB_PEOE_VSA9,4.78544684540968,RCTB_PEOE_VSA9
RCTB_Kappa2,4.67439125183596,RCTB_Kappa2
RCTB_SlogP_VSA5,4.67387727789298,RCTB_SlogP_VSA5
RCTB_VSA_EState5,4.60776729397113,RCTB_VSA_EState5
PRO_PEOE_VSA8,4.60148801811471,PRO_PEOE_VSA8
PRO_PEOE_VSA6,4.53538045699185,PRO_PEOE_VSA6
PRO_Chi4v,4.48752624189035,PRO_Chi4v
RCTB_Chi4v,4.42474679992612,RCTB_Chi4v
PRO_VSA_EState5,4.39848929085939,PRO_VSA_EState5
RCTB_Chi3v,4.394859272469,RCTB_Chi3v
PRO_MolLogP,4.33048768201862,PRO_MolLogP
RCTB_ExactMolWt,4.31456698340407,RCTB_ExactMolWt
RCTB_HeavyAtomMolWt,4.27354510761467,RCTB_HeavyAtomMolWt
RCTA_MolLogP,4.26307695478533,RCTA_MolLogP
RCTB_HallKierAlpha,4.24108742681807,RCTB_HallKierAlpha
RCTB_BCUT2D_MRHI,4.23593716427696,RCTB_BCUT2D_MRHI
RCTB_MolWt,4.22638428864699,RCTB_MolWt
RCTB_Chi2v,4.10924780656804,RCTB_Chi2v
PRO_VSA_EState7,4.09327382315782,PRO_VSA_EState7
RCTB_VSA_EState1,4.04293099174803,RCTB_VSA_EState1
PRO_SlogP_VSA5,4.02092989554633,PRO_SlogP_VSA5
PRO_Chi1n,3.98348129964896,PRO_Chi1n
PRO_Chi4n,3.96815790063998,PRO_Chi4n
RCTB_BCUT2D_MWHI,3.90698328479643,RCTB_BCUT2D_MWHI
PRO_Kappa2,3.90402429680496,PRO_Kappa2
PRO_Chi2v,3.85791329013107,PRO_Chi2v
PRO_PEOE_VSA9,3.84193772536399,PRO_PEOE_VSA9
PRO_BCUT2D_MRHI,3.84064612748923,PRO_BCUT2D_MRHI
RCTB_EState_VSA9,3.83254853792069,RCTB_EState_VSA9
PRO_EState_VSA9,3.76666478533262,PRO_EState_VSA9
CAT_MinEStateIndex,3.76101810071566,CAT_MinEStateIndex
PRO_BCUT2D_MWHI,3.75323767770072,PRO_BCUT2D_MWHI
PRO_SMR_VSA1,3.74488862473106,PRO_SMR_VSA1
RCTB_VSA_EState10,3.7126776316858,RCTB_VSA_EState10
RCTB_Chi4n,3.66817003676717,RCTB_Chi4n
PRO_BertzCT,3.63066377299014,PRO_BertzCT
RCTA_VSA_EState1,3.61024862352809,RCTA_VSA_EState1
RCTB_Kappa1,3.59341739164629,RCTB_Kappa1
RCTB_Chi3n,3.58546572196924,RCTB_Chi3n
PRO_FractionCSP3,3.54607565543222,PRO_FractionCSP3
PRO_SMR_VSA5,3.49915691514619,PRO_SMR_VSA5
PRO_BCUT2D_MRLOW,3.4772123682183,PRO_BCUT2D_MRLOW
RCTB_VSA_EState2,3.46978608012277,RCTB_VSA_EState2
PRO_Chi3v,3.42816509560668,PRO_Chi3v
PRO_Chi3n,3.41529680444101,PRO_Chi3n
PRO_HallKierAlpha,3.41467854011872,PRO_HallKierAlpha
RCTA_MinAbsPartialCharge,3.40546595733453,RCTA_MinAbsPartialCharge
RCTB_SMR_VSA7,3.37533930745282,RCTB_SMR_VSA7
PRO_Kappa1,3.37365574901637,PRO_Kappa1
PRO_Chi0n,3.36370436086815,PRO_Chi0n
PRO_SlogP_VSA2,3.35998053991921,PRO_SlogP_VSA2
RCTA_VSA_EState4,3.35346344887793,RCTA_VSA_EState4
RCTB_SMR_VSA1,3.33956812323412,RCTB_SMR_VSA1
RCTB_VSA_EState7,3.33350578216329,RCTB_VSA_EState7
RCTB_BertzCT,3.29460394796738,RCTB_BertzCT
RCTA_SMR_VSA5,3.26209016764992,RCTA_SMR_VSA5
PRO_MolMR,3.22821119489278,PRO_MolMR
RCTB_SlogP_VSA2,3.22359455009395,RCTB_SlogP_VSA2
RCTB_VSA_EState8,3.20820657571441,RCTB_VSA_EState8
PRO_EState_VSA1,3.18937657808744,PRO_EState_VSA1
RCTB_SMR_VSA10,3.17556307326162,RCTB_SMR_VSA10
RCTB_EState_VSA1,3.13671198559321,RCTB_EState_VSA1
RCTB_Chi2n,3.08535312032822,RCTB_Chi2n
RCTA_BCUT2D_MWLOW,3.07827961123159,RCTA_BCUT2D_MWLOW
RCTA_Chi1n,3.0559459344666,RCTA_Chi1n
PRO_ExactMolWt,3.04903429530808,PRO_ExactMolWt
RCTA_SlogP_VSA5,3.04898686464107,RCTA_SlogP_VSA5
RCTB_LabuteASA,3.03550364250778,RCTB_LabuteASA
RCTB_Chi1v,3.01837564224638,RCTB_Chi1v
PRO_Chi1v,2.99644784705591,PRO_Chi1v
RCTB_MolMR,2.98234435152498,RCTB_MolMR
PRO_Chi1,2.97233810276698,PRO_Chi1
RCTA_Chi0n,2.95788866266283,RCTA_Chi0n
RCTB_Chi1n,2.93808439781564,RCTB_Chi1n
PRO_SMR_VSA10,2.92505353374443,PRO_SMR_VSA10
RCTB_Chi0n,2.90826098946506,RCTB_Chi0n
RCTB_Chi1,2.88727431348166,RCTB_Chi1
PRO_SMR_VSA7,2.8798515110192,PRO_SMR_VSA7
RCTB_Chi0v,2.87260739066024,RCTB_Chi0v
PRO_Chi2n,2.85047830314231,PRO_Chi2n
PRO_Chi0,2.83530270223996,PRO_Chi0
PRO_BCUT2D_LOGPLOW,2.81134386311692,PRO_BCUT2D_LOGPLOW
RCTA_qed,2.7994912776291,RCTA_qed
PRO_MolWt,2.7602675064441,PRO_MolWt
PRO_VSA_EState3,2.72956960046941,PRO_VSA_EState3
RCTB_SMR_VSA5,2.64123438011702,RCTB_SMR_VSA5
RCTA_Chi0,2.61503954574974,RCTA_Chi0
PRO_LabuteASA,2.58564076633023,PRO_LabuteASA
RCTB_Chi0,2.5807172711232,RCTB_Chi0
RCTB_FractionCSP3,2.54598495364296,RCTB_FractionCSP3
PRO_PEOE_VSA10,2.52110074365776,PRO_PEOE_VSA10
PRO_PEOE_VSA14,2.46528354266921,PRO_PEOE_VSA14
RCTB_SlogP_VSA4,2.36273379301094,RCTB_SlogP_VSA4
PRO_HeavyAtomMolWt,2.3615700422979,PRO_HeavyAtomMolWt
RCTA_MinPartialCharge,2.34917319842971,RCTA_MinPartialCharge
RCTB_VSA_EState3,2.3394015767427,RCTB_VSA_EState3
RCTA_EState_VSA9,2.30904527509517,RCTA_EState_VSA9
PRO_SlogP_VSA7,2.28717998068287,PRO_SlogP_VSA7
RCTB_SlogP_VSA6,2.28466398300708,RCTB_SlogP_VSA6
PRO_Chi0v,2.27014085193215,PRO_Chi0v
RCTA_VSA_EState8,2.20830306904691,RCTA_VSA_EState8
RCTA_HallKierAlpha,2.20384785730647,RCTA_HallKierAlpha
RCTB_PEOE_VSA10,2.18883872513745,RCTB_PEOE_VSA10
PRO_NumRotatableBonds,2.17071926252474,PRO_NumRotatableBonds
PRO_SlogP_VSA3,2.13356952869504,PRO_SlogP_VSA3
RCTB_SMR_VSA6,2.12107129081215,RCTB_SMR_VSA6
PRO_SlogP_VSA6,2.09802653096017,PRO_SlogP_VSA6
RCTB_SlogP_VSA3,2.09377513819033,RCTB_SlogP_VSA3
RCTA_PEOE_VSA9,2.07987316985046,RCTA_PEOE_VSA9
RCTB_PEOE_VSA1,2.07298251936709,RCTB_PEOE_VSA1
RCTB_TPSA,2.05122396676032,RCTB_TPSA
RCTA_Kappa3,2.0438807760477,RCTA_Kappa3
PRO_VSA_EState2,2.02914079006142,PRO_VSA_EState2
RCTB_VSA_EState9,2.01976539719143,RCTB_VSA_EState9
RCTB_NumValenceElectrons,1.98063712450892,RCTB_NumValenceElectrons
RCTB_EState_VSA8,1.96650063500719,RCTB_EState_VSA8
PRO_NumValenceElectrons,1.96444415207119,PRO_NumValenceElectrons
PRO_SMR_VSA6,1.94990198293512,PRO_SMR_VSA6
RCTA_MinEStateIndex,1.93795047311435,RCTA_MinEStateIndex
PRO_TPSA,1.93166895347665,PRO_TPSA
RCTA_BCUT2D_CHGHI,1.91692372000057,RCTA_BCUT2D_CHGHI
PRO_SlogP_VSA1,1.824052696271,PRO_SlogP_VSA1
RCTA_Kappa2,1.78839953343606,RCTA_Kappa2
RCTB_NumRotatableBonds,1.77926529391949,RCTB_NumRotatableBonds
RCTA_Chi2n,1.77534367815098,RCTA_Chi2n
RCTA_VSA_EState9,1.75398544247118,RCTA_VSA_EState9
RCTA_MaxPartialCharge,1.75302530186121,RCTA_MaxPartialCharge
SOL.C1CCOC1,1.73577704983789,SOL.C1CCOC1
RCTB_EState_VSA10,1.69695311194477,RCTB_EState_VSA10
RCTA_BCUT2D_LOGPHI,1.68449144599348,RCTA_BCUT2D_LOGPHI
RCTB_HeavyAtomCount,1.67843101439453,RCTB_HeavyAtomCount
RCTA_FpDensityMorgan2,1.64249780111575,RCTA_FpDensityMorgan2
