,IncNodePurity,Features
PRO_MaxPartialCharge,2890.05774771072,PRO_MaxPartialCharge
PRO_VSA_EState4,2391.97144832144,PRO_VSA_EState4
PRO_VSA_EState8,2329.53646479381,PRO_VSA_EState8
PRO_PEOE_VSA8,2007.51558996643,PRO_PEOE_VSA8
PRO_PEOE_VSA7,1950.55518111166,PRO_PEOE_VSA7
RCTB_MinPartialCharge,1893.70666821308,RCTB_MinPartialCharge
CAT_HallKierAlpha,1890.98467028158,CAT_HallKierAlpha
RCTB_MaxAbsPartialCharge,1844.71085509804,RCTB_MaxAbsPartialCharge
PRO_MaxAbsPartialCharge,1754.73964780173,PRO_MaxAbsPartialCharge
PRO_VSA_EState1,1706.75569899026,PRO_VSA_EState1
PRO_SlogP_VSA5,1660.68807615302,PRO_SlogP_VSA5
PRO_BCUT2D_CHGLO,1654.89353799701,PRO_BCUT2D_CHGLO
PRO_EState_VSA9,1594.53227691036,PRO_EState_VSA9
PRO_SMR_VSA1,1565.22410319599,PRO_SMR_VSA1
PRO_Chi0n,1555.66470329223,PRO_Chi0n
PRO_ExactMolWt,1538.645359492,PRO_ExactMolWt
CAT_MinEStateIndex,1513.56685983958,CAT_MinEStateIndex
PRO_VSA_EState9,1511.02696101434,PRO_VSA_EState9
PRO_SlogP_VSA3,1428.02553110012,PRO_SlogP_VSA3
CAT_Chi3v,1356.89834483432,CAT_Chi3v
PRO_Chi1n,1348.32604877477,PRO_Chi1n
CAT_FractionCSP3,1337.89236722625,CAT_FractionCSP3
PRO_Chi1,1294.85399422437,PRO_Chi1
PRO_MinAbsPartialCharge,1240.03776506526,PRO_MinAbsPartialCharge
PRO_Chi0,1233.36804298113,PRO_Chi0
PRO_TPSA,1177.28493070017,PRO_TPSA
PRO_FpDensityMorgan3,1167.80745565571,PRO_FpDensityMorgan3
PRO_SMR_VSA5,1165.92379160167,PRO_SMR_VSA5
PRO_Kappa3,1144.70234531849,PRO_Kappa3
PRO_LabuteASA,1144.64661467211,PRO_LabuteASA
RCTB_MinAbsPartialCharge,1121.1696115355,RCTB_MinAbsPartialCharge
PRO_MinPartialCharge,1115.21055129327,PRO_MinPartialCharge
PRO_MolWt,1107.03455718209,PRO_MolWt
PRO_VSA_EState5,1105.8803356068,PRO_VSA_EState5
PRO_MinEStateIndex,1090.74785057451,PRO_MinEStateIndex
PRO_FpDensityMorgan2,1069.45436188032,PRO_FpDensityMorgan2
CAT_SMR_VSA10,1068.43955055495,CAT_SMR_VSA10
PRO_MaxEStateIndex,1065.63574286625,PRO_MaxEStateIndex
RCTB_PEOE_VSA7,1051.64545577482,RCTB_PEOE_VSA7
RCTB_MaxPartialCharge,1045.26846985079,RCTB_MaxPartialCharge
PRO_FpDensityMorgan1,1043.30621683682,PRO_FpDensityMorgan1
PRO_MaxAbsEStateIndex,1037.16245942198,PRO_MaxAbsEStateIndex
PRO_Kappa2,1020.25514335171,PRO_Kappa2
PRO_Kappa1,1018.24914091922,PRO_Kappa1
CAT_MaxAbsEStateIndex,998.243902980742,CAT_MaxAbsEStateIndex
CAT_Chi4v,972.999248040941,CAT_Chi4v
RCTB_BCUT2D_CHGHI,952.241247029115,RCTB_BCUT2D_CHGHI
PRO_NumValenceElectrons,945.900621596161,PRO_NumValenceElectrons
PRO_Chi3v,940.492142217409,PRO_Chi3v
PRO_EState_VSA1,934.397191970934,PRO_EState_VSA1
PRO_MinAbsEStateIndex,932.895823296292,PRO_MinAbsEStateIndex
PRO_Chi0v,932.280994014794,PRO_Chi0v
