,IncNodePurity,Features
CAT_SlogP_VSA6,749.628048785668,CAT_SlogP_VSA6
RCTB_BCUT2D_MWHI,746.801728954066,RCTB_BCUT2D_MWHI
RCTB_HeavyAtomMolWt,746.458061455801,RCTB_HeavyAtomMolWt
RCTB_VSA_EState1,743.165122867406,RCTB_VSA_EState1
PRO_VSA_EState6,741.017518443641,PRO_VSA_EState6
CAT_VSA_EState8,732.476739239448,CAT_VSA_EState8
RCTB_PEOE_VSA9,730.078912263297,RCTB_PEOE_VSA9
CAT_Chi1v,726.691468743942,CAT_Chi1v
RCTB_VSA_EState6,721.96260432699,RCTB_VSA_EState6
RCTB_PEOE_VSA6,715.31463191933,RCTB_PEOE_VSA6
CAT_BertzCT,714.041450636011,CAT_BertzCT
PRO_SMR_VSA7,700.95285137377,PRO_SMR_VSA7
RCTB_BCUT2D_MRHI,699.826887909747,RCTB_BCUT2D_MRHI
RCTB_FpDensityMorgan2,697.465575292058,RCTB_FpDensityMorgan2
PRO_SMR_VSA10,693.271545509322,PRO_SMR_VSA10
RCTB_Chi0v,692.550501000048,RCTB_Chi0v
RCTB_PEOE_VSA8,692.344346730867,RCTB_PEOE_VSA8
PRO_SlogP_VSA7,685.708996107126,PRO_SlogP_VSA7
RCTB_EState_VSA1,684.623427152143,RCTB_EState_VSA1
PRO_PEOE_VSA1,683.61683078463,PRO_PEOE_VSA1
PRO_NumHeteroatoms,679.092738322963,PRO_NumHeteroatoms
PRO_PEOE_VSA6,678.269407771029,PRO_PEOE_VSA6
RCTB_Chi1,676.760130963857,RCTB_Chi1
RCTB_SMR_VSA7,668.54126109986,RCTB_SMR_VSA7
PRO_PEOE_VSA9,668.193566995637,PRO_PEOE_VSA9
PRO_BCUT2D_MRHI,666.87106680029,PRO_BCUT2D_MRHI
CAT_SlogP_VSA5,659.742662824338,CAT_SlogP_VSA5
RCTB_SMR_VSA1,646.829770837742,RCTB_SMR_VSA1
CAT_VSA_EState1,638.528299935116,CAT_VSA_EState1
RCTB_Chi1v,633.991705363508,RCTB_Chi1v
RCTB_EState_VSA9,633.772822822118,RCTB_EState_VSA9
PRO_NumValenceElectrons,627.72088154515,PRO_NumValenceElectrons
RCTB_MolMR,623.197897102531,RCTB_MolMR
CAT_Chi2v,617.941772605326,CAT_Chi2v
RCTB_Chi3v,607.271454525387,RCTB_Chi3v
RCTB_Chi0,605.694798960278,RCTB_Chi0
PRO_EState_VSA8,601.64413621733,PRO_EState_VSA8
RCTB_qed,601.574230268215,RCTB_qed
CAT_VSA_EState4,599.69155964075,CAT_VSA_EState4
RCTB_SMR_VSA10,592.934251035287,RCTB_SMR_VSA10
RCTB_FpDensityMorgan1,589.357828936983,RCTB_FpDensityMorgan1
CAT_SMR_VSA1,587.469731697271,CAT_SMR_VSA1
CAT_Kappa3,583.198418797493,CAT_Kappa3
PRO_BalabanJ,582.332787645021,PRO_BalabanJ
RCTB_FpDensityMorgan3,582.249251042466,RCTB_FpDensityMorgan3
RCTB_Chi2v,580.862099898453,RCTB_Chi2v
CAT_EState_VSA1,578.001271581803,CAT_EState_VSA1
CAT_MaxAbsEStateIndex,576.948901230275,CAT_MaxAbsEStateIndex
RCTB_Chi2n,576.905556043353,RCTB_Chi2n
RCTB_Chi3n,573.220311364797,RCTB_Chi3n
RCTB_Chi4v,571.715956583819,RCTB_Chi4v
RCTB_SlogP_VSA6,571.508399475514,RCTB_SlogP_VSA6
CAT_SMR_VSA5,570.190840792784,CAT_SMR_VSA5
CAT_Chi0v,569.915170741922,CAT_Chi0v
CAT_MolMR,565.630436460211,CAT_MolMR
CAT_Chi2n,565.497722934542,CAT_Chi2n
PRO_FractionCSP3,564.90514107907,PRO_FractionCSP3
CAT_LabuteASA,563.610879532537,CAT_LabuteASA
RCTB_EState_VSA8,559.228788670505,RCTB_EState_VSA8
RCTB_VSA_EState8,557.493435962734,RCTB_VSA_EState8
RCTB_FractionCSP3,553.33676624182,RCTB_FractionCSP3
PRO_HeavyAtomCount,551.862329099148,PRO_HeavyAtomCount
RCTB_Chi0n,550.028117506658,RCTB_Chi0n
CAT_Kappa1,549.451485100555,CAT_Kappa1
CAT_PEOE_VSA7,546.757149437128,CAT_PEOE_VSA7
CAT_ExactMolWt,543.292016024702,CAT_ExactMolWt
PRO_157,540.568749637544,PRO_157
CAT_64,535.385622204171,CAT_64
RCTB_Chi4n,533.087844545703,RCTB_Chi4n
CAT_HeavyAtomMolWt,530.582590651703,CAT_HeavyAtomMolWt
CAT_MolLogP,530.501961986387,CAT_MolLogP
RCTB_Chi1n,530.459688745497,RCTB_Chi1n
CAT_Chi3n,529.670247946252,CAT_Chi3n
RCTB_TPSA,526.868367152343,RCTB_TPSA
CAT_MolWt,526.189108007155,CAT_MolWt
RCTB_174,523.066256592278,RCTB_174
RCTB_VSA_EState7,519.634068516806,RCTB_VSA_EState7
CAT_131,514.22256747995,CAT_131
RCTB_VSA_EState5,512.731675729919,RCTB_VSA_EState5
CAT_Chi0,512.190444380395,CAT_Chi0
CAT_FpDensityMorgan2,508.131384003542,CAT_FpDensityMorgan2
CAT_Kappa2,506.14773430578,CAT_Kappa2
CAT_VSA_EState2,504.146679299734,CAT_VSA_EState2
CAT_Chi1,503.048769861637,CAT_Chi1
PRO_BCUT2D_MWHI,501.005140393701,PRO_BCUT2D_MWHI
CAT_193,499.885159729517,CAT_193
CAT_VSA_EState7,498.043201539888,CAT_VSA_EState7
CAT_TPSA,493.949695998947,CAT_TPSA
RCTB_LabuteASA,493.700668108609,RCTB_LabuteASA
RCTB_NumValenceElectrons,492.810814623262,RCTB_NumValenceElectrons
CAT_EState_VSA10,492.323339834214,CAT_EState_VSA10
CAT_114,483.056510217311,CAT_114
RCTB_SlogP_VSA4,481.295389629089,RCTB_SlogP_VSA4
PRO_SlogP_VSA6,480.789377820739,PRO_SlogP_VSA6
RCTB_SlogP_VSA3,468.019903296914,RCTB_SlogP_VSA3
CAT_233,467.961798142812,CAT_233
