,IncNodePurity,Features
PRO_MaxPartialCharge,3974.55524574105,PRO_MaxPartialCharge
PRO_VSA_EState4,3356.96515267256,PRO_VSA_EState4
CAT_MinEStateIndex,2863.56978824836,CAT_MinEStateIndex
PRO_PEOE_VSA7,2732.89747833481,PRO_PEOE_VSA7
CAT_HallKierAlpha,2443.57141230139,CAT_HallKierAlpha
PRO_VSA_EState1,2262.78790741065,PRO_VSA_EState1
RCTB_MinPartialCharge,2235.89853938772,RCTB_MinPartialCharge
CAT_Chi4v,2077.19323150734,CAT_Chi4v
PRO_VSA_EState8,2069.68042241635,PRO_VSA_EState8
PRO_VSA_EState9,2016.49636837016,PRO_VSA_EState9
PRO_EState_VSA9,1956.99690764968,PRO_EState_VSA9
CAT_Chi3v,1875.40912775298,CAT_Chi3v
PRO_MaxAbsPartialCharge,1873.90874731003,PRO_MaxAbsPartialCharge
PRO_Chi1n,1824.64024499354,PRO_Chi1n
RCTB_MaxAbsPartialCharge,1784.66850393071,RCTB_MaxAbsPartialCharge
PRO_VSA_EState5,1760.62353369303,PRO_VSA_EState5
CAT_SMR_VSA10,1716.84735592879,CAT_SMR_VSA10
PRO_MinEStateIndex,1691.44278599831,PRO_MinEStateIndex
PRO_Chi0n,1664.87227078683,PRO_Chi0n
SOL.CCCCCC,1624.73640846106,SOL.CCCCCC
PRO_SMR_VSA5,1587.45226454371,PRO_SMR_VSA5
PRO_MinAbsPartialCharge,1529.36502428968,PRO_MinAbsPartialCharge
PRO_BCUT2D_CHGLO,1519.34290651656,PRO_BCUT2D_CHGLO
PRO_FpDensityMorgan3,1457.16649372547,PRO_FpDensityMorgan3
PRO_MaxEStateIndex,1431.50051835529,PRO_MaxEStateIndex
PRO_SlogP_VSA5,1388.89475368818,PRO_SlogP_VSA5
PRO_MaxAbsEStateIndex,1387.3686322154,PRO_MaxAbsEStateIndex
RCTB_Kappa3,1305.66173755812,RCTB_Kappa3
CAT_FractionCSP3,1305.01504021233,CAT_FractionCSP3
CAT_VSA_EState3,1279.71276676032,CAT_VSA_EState3
PRO_SMR_VSA1,1256.1729663986,PRO_SMR_VSA1
PRO_Chi1,1252.19171745147,PRO_Chi1
RCTB_MaxPartialCharge,1232.84090660054,RCTB_MaxPartialCharge
PRO_Chi0,1223.05944656805,PRO_Chi0
PRO_MinPartialCharge,1221.13280418006,PRO_MinPartialCharge
RCTB_MinAbsPartialCharge,1203.02646447701,RCTB_MinAbsPartialCharge
PRO_MolLogP,1186.47692564913,PRO_MolLogP
PRO_PEOE_VSA8,1185.40460500408,PRO_PEOE_VSA8
RCTB_Kappa2,1141.108105906,RCTB_Kappa2
RCTB_PEOE_VSA7,1136.78339529849,RCTB_PEOE_VSA7
RCTB_BCUT2D_LOGPLOW,1133.66668635456,RCTB_BCUT2D_LOGPLOW
PRO_FpDensityMorgan1,1099.46525426383,PRO_FpDensityMorgan1
CAT_MolWt,1094.02932020382,CAT_MolWt
PRO_ExactMolWt,1086.72800796929,PRO_ExactMolWt
CAT_ExactMolWt,1079.06273047027,CAT_ExactMolWt
CAT_SMR_VSA7,1078.62931389658,CAT_SMR_VSA7
PRO_Kappa3,1067.42930051458,PRO_Kappa3
PRO_FpDensityMorgan2,1061.05757646576,PRO_FpDensityMorgan2
RCTB_BCUT2D_CHGLO,1036.91615090086,RCTB_BCUT2D_CHGLO
CAT_Chi1v,1026.62616098351,CAT_Chi1v
RCTB_VSA_EState1,1025.21630514245,RCTB_VSA_EState1
RCTB_MinAbsEStateIndex,1014.73975239446,RCTB_MinAbsEStateIndex
CAT_Chi2v,1004.08553915681,CAT_Chi2v
RCTB_VSA_EState6,998.239871735031,RCTB_VSA_EState6
PRO_HeavyAtomMolWt,978.374118462413,PRO_HeavyAtomMolWt
RCTB_SlogP_VSA5,970.983078356368,RCTB_SlogP_VSA5
PRO_NumRotatableBonds,964.225085243942,PRO_NumRotatableBonds
CAT_SlogP_VSA6,948.998583420556,CAT_SlogP_VSA6
RCTB_BCUT2D_MRLOW,946.751564745352,RCTB_BCUT2D_MRLOW
CAT_qed,941.443951374674,CAT_qed
RCTB_MaxEStateIndex,940.552058630069,RCTB_MaxEStateIndex
RCTB_MinEStateIndex,935.293556879249,RCTB_MinEStateIndex
PRO_MinAbsEStateIndex,924.396744224105,PRO_MinAbsEStateIndex
PRO_LabuteASA,920.05294362405,PRO_LabuteASA
CAT_BertzCT,910.684595349943,CAT_BertzCT
PRO_Chi3v,908.900136237323,PRO_Chi3v
PRO_101,908.572843717254,PRO_101
RCTB_BCUT2D_MWLOW,907.501148430698,RCTB_BCUT2D_MWLOW
CAT_233,903.121098229134,CAT_233
RCTB_BCUT2D_CHGHI,882.140666667599,RCTB_BCUT2D_CHGHI
PRO_Chi3n,873.405708817119,PRO_Chi3n
PRO_EState_VSA1,873.040214452567,PRO_EState_VSA1
RCTB_SMR_VSA7,872.28189613019,RCTB_SMR_VSA7
PRO_VSA_EState7,868.138339874159,PRO_VSA_EState7
CAT_138,860.661693314791,CAT_138
PRO_Chi2v,858.525806020475,PRO_Chi2v
RCTB_PEOE_VSA6,857.530405277013,RCTB_PEOE_VSA6
PRO_Kappa2,856.624893069986,PRO_Kappa2
RCTB_EState_VSA1,854.335422696261,RCTB_EState_VSA1
PRO_204,850.271624003247,PRO_204
PRO_BCUT2D_CHGHI,847.53993594227,PRO_BCUT2D_CHGHI
RCTB_PEOE_VSA8,846.763499917696,RCTB_PEOE_VSA8
PRO_qed,845.68946485523,PRO_qed
PRO_BertzCT,841.995889944411,PRO_BertzCT
RCTB_VSA_EState4,826.684601066346,RCTB_VSA_EState4
PRO_Kappa1,826.622885124972,PRO_Kappa1
CAT_VSA_EState1,825.075972647743,CAT_VSA_EState1
RCTB_ExactMolWt,820.79828396775,RCTB_ExactMolWt
RCTB_HallKierAlpha,815.352874545166,RCTB_HallKierAlpha
PRO_BCUT2D_LOGPHI,813.79450540571,PRO_BCUT2D_LOGPHI
RCTB_BCUT2D_LOGPHI,809.657308084418,RCTB_BCUT2D_LOGPHI
RCTB_MaxAbsEStateIndex,798.725260800938,RCTB_MaxAbsEStateIndex
RCTB_FpDensityMorgan2,793.769696846639,RCTB_FpDensityMorgan2
CAT_NumAromaticRings,792.22516213666,CAT_NumAromaticRings
CAT_PEOE_VSA9,789.541879139642,CAT_PEOE_VSA9
PRO_SlogP_VSA7,788.831971877278,PRO_SlogP_VSA7
RCTB_Kappa1,777.220285261364,RCTB_Kappa1
PRO_HallKierAlpha,775.268561092649,PRO_HallKierAlpha
RCTB_FpDensityMorgan3,773.979554018249,RCTB_FpDensityMorgan3
RCTB_BCUT2D_MWHI,771.349307062068,RCTB_BCUT2D_MWHI
RCTB_PEOE_VSA9,768.131497874612,RCTB_PEOE_VSA9
PRO_MolWt,765.814046944258,PRO_MolWt
PRO_Chi4v,764.989161779438,PRO_Chi4v
PRO_Chi4n,762.365124604031,PRO_Chi4n
PRO_BalabanJ,753.923669273208,PRO_BalabanJ
RCTB_qed,750.519026815262,RCTB_qed
PRO_VSA_EState6,749.833668550335,PRO_VSA_EState6
PRO_248,746.521425406861,PRO_248
PRO_EState_VSA8,742.556477760548,PRO_EState_VSA8
CAT_Kappa1,737.720786526299,CAT_Kappa1
PRO_Chi2n,736.459561225926,PRO_Chi2n
RCTB_SMR_VSA10,729.943559214438,RCTB_SMR_VSA10
RCTB_MolMR,727.154573448211,RCTB_MolMR
RCTB_PEOE_VSA10,721.063061703269,RCTB_PEOE_VSA10
