,IncNodePurity,Features
PRO_MaxPartialCharge,5277.29585619876,PRO_MaxPartialCharge
PRO_VSA_EState8,2742.06879231913,PRO_VSA_EState8
CAT_Chi4v,2531.17992994493,CAT_Chi4v
PRO_PEOE_VSA7,2525.21237248218,PRO_PEOE_VSA7
RCTB_MinPartialCharge,2388.03733753736,RCTB_MinPartialCharge
PRO_EState_VSA9,2323.89222992745,PRO_EState_VSA9
PRO_MaxAbsPartialCharge,2316.20305365421,PRO_MaxAbsPartialCharge
PRO_BCUT2D_CHGLO,2287.20067514064,PRO_BCUT2D_CHGLO
CAT_MinEStateIndex,2168.95917319931,CAT_MinEStateIndex
CAT_FractionCSP3,2028.67537198337,CAT_FractionCSP3
RCTB_MaxAbsPartialCharge,2004.30674166441,RCTB_MaxAbsPartialCharge
PRO_VSA_EState1,2000.81884909595,PRO_VSA_EState1
PRO_VSA_EState4,1910.7619671919,PRO_VSA_EState4
PRO_Chi0n,1777.06161695432,PRO_Chi0n
PRO_MinAbsPartialCharge,1740.11939972636,PRO_MinAbsPartialCharge
PRO_MinPartialCharge,1736.72794581917,PRO_MinPartialCharge
CAT_233,1680.30008833366,CAT_233
PRO_FpDensityMorgan3,1679.92171590409,PRO_FpDensityMorgan3
CAT_Chi3v,1647.63360853692,CAT_Chi3v
PRO_Chi1n,1628.56398845386,PRO_Chi1n
PRO_FpDensityMorgan2,1612.86624956998,PRO_FpDensityMorgan2
PRO_VSA_EState9,1578.10062494262,PRO_VSA_EState9
PRO_Chi0,1534.74359609127,PRO_Chi0
PRO_Kappa3,1529.73448455761,PRO_Kappa3
PRO_MaxAbsEStateIndex,1439.29066307115,PRO_MaxAbsEStateIndex
PRO_MaxEStateIndex,1436.66638184694,PRO_MaxEStateIndex
PRO_PEOE_VSA8,1411.34510343199,PRO_PEOE_VSA8
PRO_FpDensityMorgan1,1389.7950754314,PRO_FpDensityMorgan1
PRO_VSA_EState5,1319.00961074049,PRO_VSA_EState5
CAT_SlogP_VSA6,1311.46751096639,CAT_SlogP_VSA6
PRO_Chi2n,1256.64810660369,PRO_Chi2n
PRO_LabuteASA,1252.11837826295,PRO_LabuteASA
PRO_MolLogP,1244.54077804412,PRO_MolLogP
RCTB_MinAbsPartialCharge,1235.37573638265,RCTB_MinAbsPartialCharge
PRO_Kappa2,1228.199528776,PRO_Kappa2
CAT_SMR_VSA7,1225.86725439719,CAT_SMR_VSA7
PRO_qed,1209.62441795907,PRO_qed
PRO_TPSA,1204.76241202867,PRO_TPSA
PRO_MinEStateIndex,1180.66350955507,PRO_MinEStateIndex
PRO_Chi1,1176.70394840393,PRO_Chi1
PRO_SlogP_VSA3,1165.03195121038,PRO_SlogP_VSA3
PRO_SMR_VSA5,1164.01137107204,PRO_SMR_VSA5
PRO_SlogP_VSA5,1148.38236757828,PRO_SlogP_VSA5
CAT_HallKierAlpha,1142.30665195608,CAT_HallKierAlpha
RCTB_PEOE_VSA9,1132.82637963533,RCTB_PEOE_VSA9
RCTB_MinAbsEStateIndex,1120.67300898252,RCTB_MinAbsEStateIndex
PRO_BCUT2D_LOGPHI,1084.33886328181,PRO_BCUT2D_LOGPHI
RCTB_MaxPartialCharge,1020.33746772028,RCTB_MaxPartialCharge
CAT_PEOE_VSA8,1005.2989040652,CAT_PEOE_VSA8
RCTB_PEOE_VSA7,1005.01495486647,RCTB_PEOE_VSA7
RCTB_VSA_EState6,1000.53807047777,RCTB_VSA_EState6
RCTB_BCUT2D_CHGHI,998.780278999719,RCTB_BCUT2D_CHGHI
RCTB_SMR_VSA7,994.254276194216,RCTB_SMR_VSA7
RCTB_Kappa2,983.104587221451,RCTB_Kappa2
CAT_FpDensityMorgan3,979.220111313155,CAT_FpDensityMorgan3
PRO_MinAbsEStateIndex,970.148423545065,PRO_MinAbsEStateIndex
RCTB_BCUT2D_LOGPHI,966.58431642517,RCTB_BCUT2D_LOGPHI
PRO_VSA_EState6,953.948679517689,PRO_VSA_EState6
RCTB_VSA_EState4,949.162306731539,RCTB_VSA_EState4
RCTB_BCUT2D_LOGPLOW,940.538401683105,RCTB_BCUT2D_LOGPLOW
CAT_VSA_EState7,934.564833207347,CAT_VSA_EState7
RCTB_PEOE_VSA6,933.000097099101,RCTB_PEOE_VSA6
CAT_Chi2v,902.706049734551,CAT_Chi2v
PRO_BCUT2D_CHGHI,899.208876589486,PRO_BCUT2D_CHGHI
RCTB_BCUT2D_CHGLO,896.97027517793,RCTB_BCUT2D_CHGLO
PRO_ExactMolWt,890.881938402186,PRO_ExactMolWt
RCTB_VSA_EState1,889.234974198503,RCTB_VSA_EState1
RCTB_Kappa3,886.415629367183,RCTB_Kappa3
RCTB_PEOE_VSA8,885.353120811227,RCTB_PEOE_VSA8
CAT_SMR_VSA5,868.491361251527,CAT_SMR_VSA5
RCTB_BCUT2D_MRLOW,860.294535522626,RCTB_BCUT2D_MRLOW
CAT_TPSA,859.358876235365,CAT_TPSA
CAT_VSA_EState4,858.00055611402,CAT_VSA_EState4
