,MeanDecreaseGini,Features
RCTB_BCUT2D_CHGLO,2.988904710286,RCTB_BCUT2D_CHGLO
RCTA_SMR_VSA5,2.93309175764345,RCTA_SMR_VSA5
RCTA_MolLogP,2.90558838485651,RCTA_MolLogP
RCTA_SlogP_VSA5,2.90205793501537,RCTA_SlogP_VSA5
CAT_MinEStateIndex,2.8360700956152,CAT_MinEStateIndex
PRO_MaxPartialCharge,2.82917926727832,PRO_MaxPartialCharge
RCTA_BCUT2D_MWLOW,2.64867591766445,RCTA_BCUT2D_MWLOW
PRO_VSA_EState8,2.62971552206215,PRO_VSA_EState8
PRO_MinAbsPartialCharge,2.6263361941548,PRO_MinAbsPartialCharge
PRO_MaxAbsPartialCharge,2.5313386166462,PRO_MaxAbsPartialCharge
PRO_MinPartialCharge,2.50478279290606,PRO_MinPartialCharge
RCTA_MinAbsPartialCharge,2.43358227648075,RCTA_MinAbsPartialCharge
RCTA_VSA_EState4,2.41558510922348,RCTA_VSA_EState4
PRO_BCUT2D_CHGLO,2.30979159985098,PRO_BCUT2D_CHGLO
RCTB_BalabanJ,2.26730574730031,RCTB_BalabanJ
RCTB_BCUT2D_CHGHI,2.17314134380836,RCTB_BCUT2D_CHGHI
PRO_MolLogP,2.11270985021962,PRO_MolLogP
RCTB_MaxAbsPartialCharge,2.03851363304544,RCTB_MaxAbsPartialCharge
RCTB_BCUT2D_LOGPLOW,2.03120702092924,RCTB_BCUT2D_LOGPLOW
PRO_FpDensityMorgan3,2.0200269341263,PRO_FpDensityMorgan3
CAT_qed,2.00836613395324,CAT_qed
RCTA_Chi0n,1.97364732700494,RCTA_Chi0n
RCTB_Kappa3,1.96130140564144,RCTB_Kappa3
RCTA_MinPartialCharge,1.95733163242854,RCTA_MinPartialCharge
RCTB_BCUT2D_MWLOW,1.9391310427827,RCTB_BCUT2D_MWLOW
RCTB_MinEStateIndex,1.89767997440689,RCTB_MinEStateIndex
RCTA_VSA_EState1,1.88498429442309,RCTA_VSA_EState1
RCTA_Chi0,1.85691088062652,RCTA_Chi0
PRO_BCUT2D_CHGHI,1.83785434624237,PRO_BCUT2D_CHGHI
PRO_VSA_EState6,1.83140401342763,PRO_VSA_EState6
PRO_MinEStateIndex,1.79403670153863,PRO_MinEStateIndex
RCTB_EState_VSA9,1.772592907026,RCTB_EState_VSA9
RCTB_SlogP_VSA5,1.77250272350377,RCTB_SlogP_VSA5
RCTA_Chi1n,1.76780533283285,RCTA_Chi1n
PRO_FractionCSP3,1.76271239649619,PRO_FractionCSP3
PRO_FpDensityMorgan2,1.75292412067813,PRO_FpDensityMorgan2
PRO_BCUT2D_MWHI,1.74414805604256,PRO_BCUT2D_MWHI
PRO_qed,1.73505412221534,PRO_qed
PRO_PEOE_VSA7,1.73351120349374,PRO_PEOE_VSA7
PRO_VSA_EState9,1.72135774787151,PRO_VSA_EState9
PRO_SlogP_VSA2,1.720477913752,PRO_SlogP_VSA2
RCTA_VSA_EState9,1.69234836477211,RCTA_VSA_EState9
RCTB_qed,1.68937147698719,RCTB_qed
RCTB_VSA_EState6,1.67440995075119,RCTB_VSA_EState6
PRO_BCUT2D_LOGPHI,1.65710822895604,PRO_BCUT2D_LOGPHI
RCTB_PEOE_VSA6,1.64428701079774,RCTB_PEOE_VSA6
PRO_SlogP_VSA1,1.64352610864324,PRO_SlogP_VSA1
PRO_PEOE_VSA6,1.62377466927111,PRO_PEOE_VSA6
RCTA_Chi3n,1.61516573089183,RCTA_Chi3n
PRO_SlogP_VSA5,1.60423743475556,PRO_SlogP_VSA5
RCTB_MinAbsEStateIndex,1.60214435489443,RCTB_MinAbsEStateIndex
RCTB_FpDensityMorgan3,1.57921117606148,RCTB_FpDensityMorgan3
RCTB_BCUT2D_LOGPHI,1.57824773586367,RCTB_BCUT2D_LOGPHI
RCTB_PEOE_VSA8,1.54460352535059,RCTB_PEOE_VSA8
RCTB_VSA_EState1,1.53500993756497,RCTB_VSA_EState1
RCTB_Kappa1,1.53107714662981,RCTB_Kappa1
PRO_FpDensityMorgan1,1.50450097168387,PRO_FpDensityMorgan1
PRO_EState_VSA9,1.50186587972997,PRO_EState_VSA9
RCTB_BCUT2D_MRHI,1.50011455007201,RCTB_BCUT2D_MRHI
RCTA_MinEStateIndex,1.49939968454791,RCTA_MinEStateIndex
RCTB_MinPartialCharge,1.49544933991101,RCTB_MinPartialCharge
RCTB_BCUT2D_MRLOW,1.49028176564462,RCTB_BCUT2D_MRLOW
PRO_Chi4v,1.48378035060828,PRO_Chi4v
RCTB_BCUT2D_MWHI,1.47913838932012,RCTB_BCUT2D_MWHI
PRO_Chi3v,1.46219720392437,PRO_Chi3v
PRO_Kappa3,1.45205526461514,PRO_Kappa3
RCTB_ExactMolWt,1.44019348627234,RCTB_ExactMolWt
PRO_Kappa2,1.43695006953124,PRO_Kappa2
RCTB_MaxEStateIndex,1.43566541489587,RCTB_MaxEStateIndex
RCTB_MaxPartialCharge,1.43383306968878,RCTB_MaxPartialCharge
RCTB_FpDensityMorgan2,1.43319268466645,RCTB_FpDensityMorgan2
PRO_BCUT2D_MRHI,1.41897883821688,PRO_BCUT2D_MRHI
RCTA_NumRotatableBonds,1.40233379857335,RCTA_NumRotatableBonds
RCTB_HallKierAlpha,1.39670490316463,RCTB_HallKierAlpha
RCTB_Chi3n,1.3956583802927,RCTB_Chi3n
RCTB_MinAbsPartialCharge,1.39378912124446,RCTB_MinAbsPartialCharge
PRO_MolWt,1.37631959947593,PRO_MolWt
CAT_MaxAbsEStateIndex,1.36765379269234,CAT_MaxAbsEStateIndex
RCTB_VSA_EState7,1.36468919103163,RCTB_VSA_EState7
PRO_Chi2v,1.35912748395997,PRO_Chi2v
PRO_VSA_EState4,1.34777949729808,PRO_VSA_EState4
RCTB_Chi4v,1.34625357124418,RCTB_Chi4v
RCTB_VSA_EState4,1.34380607242368,RCTB_VSA_EState4
RCTB_FpDensityMorgan1,1.33744230772965,RCTB_FpDensityMorgan1
PRO_VSA_EState1,1.33486774935611,PRO_VSA_EState1
RCTB_Chi3v,1.33397631260833,RCTB_Chi3v
RCTB_Chi2v,1.3325087780032,RCTB_Chi2v
PRO_MaxAbsEStateIndex,1.32792433014915,PRO_MaxAbsEStateIndex
RCTB_LabuteASA,1.32153276070305,RCTB_LabuteASA
PRO_MaxEStateIndex,1.31425727380128,PRO_MaxEStateIndex
PRO_VSA_EState7,1.30141368500257,PRO_VSA_EState7
RCTA_PEOE_VSA9,1.29360983954514,RCTA_PEOE_VSA9
RCTB_Chi2n,1.28231751553636,RCTB_Chi2n
RCTB_PEOE_VSA7,1.27514716426257,RCTB_PEOE_VSA7
RCTB_Chi0v,1.26814766852017,RCTB_Chi0v
CAT_HallKierAlpha,1.26798521781225,CAT_HallKierAlpha
RCTB_SlogP_VSA2,1.26657163361175,RCTB_SlogP_VSA2
RCTB_VSA_EState2,1.26610828482833,RCTB_VSA_EState2
RCTB_BertzCT,1.26350301050587,RCTB_BertzCT
PRO_PEOE_VSA8,1.26048027483407,PRO_PEOE_VSA8
PRO_Chi4n,1.25968296132751,PRO_Chi4n
PRO_MinAbsEStateIndex,1.25896005285572,PRO_MinAbsEStateIndex
CAT_Kappa3,1.2584267202179,CAT_Kappa3
RCTB_MaxAbsEStateIndex,1.25695605604626,RCTB_MaxAbsEStateIndex
PRO_PEOE_VSA14,1.24473781993044,PRO_PEOE_VSA14
PRO_BalabanJ,1.23204717432415,PRO_BalabanJ
RCTB_MolLogP,1.21360807109099,RCTB_MolLogP
RCTB_MolWt,1.20056444541504,RCTB_MolWt
PRO_SMR_VSA1,1.19809379732858,PRO_SMR_VSA1
RCTB_SMR_VSA1,1.18999114227486,RCTB_SMR_VSA1
RCTB_PEOE_VSA9,1.18191248061475,RCTB_PEOE_VSA9
RCTA_SMR_VSA1,1.16399017966057,RCTA_SMR_VSA1
PRO_PEOE_VSA9,1.15792341324827,PRO_PEOE_VSA9
CAT_Chi3v,1.15468252132285,CAT_Chi3v
RCTB_Chi0n,1.14916363672421,RCTB_Chi0n
PRO_HeavyAtomMolWt,1.1415512306214,PRO_HeavyAtomMolWt
PRO_VSA_EState5,1.13688322866409,PRO_VSA_EState5
RCTB_Chi1v,1.13200224642109,RCTB_Chi1v
CAT_SMR_VSA10,1.13038775122715,CAT_SMR_VSA10
PRO_SMR_VSA5,1.10024207418043,PRO_SMR_VSA5
PRO_LabuteASA,1.09541046728871,PRO_LabuteASA
RCTB_VSA_EState5,1.0924768194769,RCTB_VSA_EState5
PRO_Chi1n,1.08795449628882,PRO_Chi1n
CAT_PEOE_VSA8,1.08203145931525,CAT_PEOE_VSA8
RCTB_HeavyAtomMolWt,1.0538636670105,RCTB_HeavyAtomMolWt
RCTA_VSA_EState8,1.05295847749921,RCTA_VSA_EState8
PRO_Chi0,1.05052181602625,PRO_Chi0
CAT_MaxEStateIndex,1.05004220693451,CAT_MaxEStateIndex
CAT_Chi4n,1.04639316558666,CAT_Chi4n
RCTB_EState_VSA1,1.04291674071002,RCTB_EState_VSA1
RCTA_FpDensityMorgan3,1.04090060316022,RCTA_FpDensityMorgan3
RCTB_Chi1n,1.03997462493026,RCTB_Chi1n
RCTB_Chi4n,1.03599439396019,RCTB_Chi4n
RCTA_HallKierAlpha,1.03101975547289,RCTA_HallKierAlpha
RCTB_Kappa2,1.02901533728053,RCTB_Kappa2
PRO_ExactMolWt,1.01843488942078,PRO_ExactMolWt
PRO_Kappa1,1.01630544647252,PRO_Kappa1
PRO_MolMR,0.991292823613805,PRO_MolMR
PRO_NumHeteroatoms,0.984689028338915,PRO_NumHeteroatoms
RCTA_Chi4n,0.984165980578409,RCTA_Chi4n
RCTA_Chi2n,0.982877791903745,RCTA_Chi2n
PRO_SMR_VSA10,0.979906956145837,PRO_SMR_VSA10
RCTB_VSA_EState10,0.974426591194588,RCTB_VSA_EState10
PRO_SMR_VSA7,0.971164998966665,PRO_SMR_VSA7
PRO_BCUT2D_LOGPLOW,0.965006132849982,PRO_BCUT2D_LOGPLOW
PRO_BertzCT,0.964338733091651,PRO_BertzCT
PRO_NumValenceElectrons,0.963180058445962,PRO_NumValenceElectrons
RCTA_Chi2v,0.958031942080039,RCTA_Chi2v
PRO_TPSA,0.956399172610207,PRO_TPSA
RCTB_SMR_VSA6,0.954926332655631,RCTB_SMR_VSA6
CAT_Chi4v,0.952835640102171,CAT_Chi4v
PRO_Chi1,0.951144375496429,PRO_Chi1
PRO_Chi2n,0.947694042530045,PRO_Chi2n
RCTB_MolMR,0.936217453790714,RCTB_MolMR
RCTB_VSA_EState3,0.935605728033655,RCTB_VSA_EState3
PRO_SlogP_VSA3,0.932381315697531,PRO_SlogP_VSA3
RCTB_Chi0,0.913239227199541,RCTB_Chi0
RCTB_NumValenceElectrons,0.910574011659843,RCTB_NumValenceElectrons
PRO_SlogP_VSA6,0.910335857909655,PRO_SlogP_VSA6
CAT_Chi3n,0.90958285316549,CAT_Chi3n
PRO_BCUT2D_MWLOW,0.887785090276986,PRO_BCUT2D_MWLOW
PRO_Chi3n,0.882769985295569,PRO_Chi3n
RCTB_Chi1,0.878481972123404,RCTB_Chi1
RCTA_Chi3v,0.875643073487036,RCTA_Chi3v
PRO_PEOE_VSA1,0.873268451933942,PRO_PEOE_VSA1
PRO_HallKierAlpha,0.866964187028197,PRO_HallKierAlpha
PRO_Chi1v,0.865602896930707,PRO_Chi1v
CAT_Chi1v,0.862086946594354,CAT_Chi1v
PRO_EState_VSA1,0.835212622932808,PRO_EState_VSA1
RCTA_FpDensityMorgan1,0.830499796093141,RCTA_FpDensityMorgan1
RCTB_SlogP_VSA6,0.817177827952062,RCTB_SlogP_VSA6
RCTB_SMR_VSA7,0.814209179860229,RCTB_SMR_VSA7
RCTB_VSA_EState8,0.80796571822462,RCTB_VSA_EState8
PRO_Chi0n,0.797747856734462,PRO_Chi0n
RCTB_FractionCSP3,0.784466037900516,RCTB_FractionCSP3
RCTB_SMR_VSA10,0.773966247322253,RCTB_SMR_VSA10
RCTA_Chi4v,0.772776869363231,RCTA_Chi4v
RCTB_SlogP_VSA1,0.766156246166535,RCTB_SlogP_VSA1
RCTA_BalabanJ,0.765208428397657,RCTA_BalabanJ
SOL.C1CCOC1,0.749570688596457,SOL.C1CCOC1
RCTB_HeavyAtomCount,0.748434748884801,RCTB_HeavyAtomCount
