,MeanDecreaseGini,Features
RCTA_VSA_EState4,4.02445497863273,RCTA_VSA_EState4
PRO_VSA_EState8,3.41185587976196,PRO_VSA_EState8
RCTA_MolLogP,3.39420590751606,RCTA_MolLogP
RCTB_BCUT2D_CHGLO,3.38610687512444,RCTB_BCUT2D_CHGLO
RCTA_VSA_EState1,3.371110369425,RCTA_VSA_EState1
RCTA_Chi0n,3.25276559237602,RCTA_Chi0n
PRO_MaxPartialCharge,3.21906026261775,PRO_MaxPartialCharge
RCTA_SlogP_VSA5,3.21819266200623,RCTA_SlogP_VSA5
RCTA_Chi1n,2.93882350455386,RCTA_Chi1n
RCTB_BCUT2D_LOGPLOW,2.63685443144223,RCTB_BCUT2D_LOGPLOW
RCTA_SMR_VSA5,2.57173826432599,RCTA_SMR_VSA5
PRO_MaxAbsPartialCharge,2.56726851089912,PRO_MaxAbsPartialCharge
RCTB_MinEStateIndex,2.54886040497036,RCTB_MinEStateIndex
CAT_MinEStateIndex,2.54180582865766,CAT_MinEStateIndex
RCTA_BCUT2D_MWLOW,2.46921377694195,RCTA_BCUT2D_MWLOW
PRO_BCUT2D_CHGLO,2.4324435531213,PRO_BCUT2D_CHGLO
RCTB_MinPartialCharge,2.2971510941419,RCTB_MinPartialCharge
RCTB_Kappa3,2.29137736453035,RCTB_Kappa3
PRO_MinAbsPartialCharge,2.25976345166177,PRO_MinAbsPartialCharge
PRO_EState_VSA9,2.23088865669756,PRO_EState_VSA9
PRO_VSA_EState6,2.19395654615443,PRO_VSA_EState6
RCTA_MinAbsPartialCharge,2.15883394512878,RCTA_MinAbsPartialCharge
PRO_MinPartialCharge,2.14889468240497,PRO_MinPartialCharge
RCTB_MaxAbsPartialCharge,2.12936793250603,RCTB_MaxAbsPartialCharge
RCTA_Chi0,2.10267729229569,RCTA_Chi0
RCTA_MinEStateIndex,1.98098713123111,RCTA_MinEStateIndex
RCTB_VSA_EState7,1.95996327871741,RCTB_VSA_EState7
RCTB_VSA_EState6,1.95004640698742,RCTB_VSA_EState6
RCTA_MinPartialCharge,1.91640846524676,RCTA_MinPartialCharge
RCTB_qed,1.91495770591882,RCTB_qed
PRO_BalabanJ,1.88541600399746,PRO_BalabanJ
PRO_MinEStateIndex,1.86819650397103,PRO_MinEStateIndex
RCTB_BalabanJ,1.86151235748547,RCTB_BalabanJ
PRO_FpDensityMorgan3,1.81012646363953,PRO_FpDensityMorgan3
RCTB_MinAbsEStateIndex,1.77798846317631,RCTB_MinAbsEStateIndex
RCTB_BCUT2D_MRLOW,1.77445338792438,RCTB_BCUT2D_MRLOW
PRO_BCUT2D_LOGPHI,1.75813948530085,PRO_BCUT2D_LOGPHI
RCTB_BCUT2D_CHGHI,1.75374262369581,RCTB_BCUT2D_CHGHI
PRO_VSA_EState9,1.74268392431616,PRO_VSA_EState9
RCTB_BCUT2D_MWLOW,1.72040905610984,RCTB_BCUT2D_MWLOW
RCTB_FpDensityMorgan3,1.67602938621283,RCTB_FpDensityMorgan3
RCTB_VSA_EState2,1.6524922956125,RCTB_VSA_EState2
PRO_BCUT2D_CHGHI,1.62743944645092,PRO_BCUT2D_CHGHI
RCTB_NumValenceElectrons,1.61998274837768,RCTB_NumValenceElectrons
PRO_FpDensityMorgan1,1.60199453350239,PRO_FpDensityMorgan1
RCTA_SMR_VSA1,1.59273755586056,RCTA_SMR_VSA1
PRO_qed,1.5725801152535,PRO_qed
RCTA_qed,1.53610321119873,RCTA_qed
RCTB_MinAbsPartialCharge,1.5250638578624,RCTB_MinAbsPartialCharge
RCTB_VSA_EState1,1.51987460747561,RCTB_VSA_EState1
RCTB_FpDensityMorgan2,1.51702170414759,RCTB_FpDensityMorgan2
