,MeanDecreaseGini,Features
CAT_MinEStateIndex,5.50880679310076,CAT_MinEStateIndex
RCTA_MinPartialCharge,3.5047140881254,RCTA_MinPartialCharge
RCTA_SlogP_VSA5,3.08255746683546,RCTA_SlogP_VSA5
RCTB_BCUT2D_LOGPLOW,2.9952119574384,RCTB_BCUT2D_LOGPLOW
RCTB_BCUT2D_CHGLO,2.96070716306837,RCTB_BCUT2D_CHGLO
PRO_BCUT2D_CHGLO,2.69866012573384,PRO_BCUT2D_CHGLO
PRO_VSA_EState8,2.59929190466922,PRO_VSA_EState8
RCTA_VSA_EState4,2.54461070993699,RCTA_VSA_EState4
RCTA_MinAbsPartialCharge,2.46264354714524,RCTA_MinAbsPartialCharge
RCTA_MolLogP,2.40622536269387,RCTA_MolLogP
RCTA_SMR_VSA5,2.29336815686668,RCTA_SMR_VSA5
RCTA_BCUT2D_MWLOW,2.24176749703978,RCTA_BCUT2D_MWLOW
PRO_MaxPartialCharge,2.23441520498324,PRO_MaxPartialCharge
PRO_MaxAbsPartialCharge,2.21351825061588,PRO_MaxAbsPartialCharge
RCTB_BCUT2D_CHGHI,2.08926358429333,RCTB_BCUT2D_CHGHI
PRO_VSA_EState6,2.03777829891879,PRO_VSA_EState6
CAT_qed,1.98891648272347,CAT_qed
RCTB_BCUT2D_MWLOW,1.96423831463835,RCTB_BCUT2D_MWLOW
RCTB_MinEStateIndex,1.94877610882524,RCTB_MinEStateIndex
RCTA_VSA_EState9,1.88758318599566,RCTA_VSA_EState9
RCTB_MinPartialCharge,1.88550696119307,RCTB_MinPartialCharge
RCTB_BCUT2D_MRLOW,1.87790860053794,RCTB_BCUT2D_MRLOW
RCTB_FpDensityMorgan3,1.87420543112665,RCTB_FpDensityMorgan3
RCTA_PEOE_VSA9,1.85720434524222,RCTA_PEOE_VSA9
CAT_SMR_VSA10,1.85066993818553,CAT_SMR_VSA10
RCTB_BCUT2D_LOGPHI,1.84528781015471,RCTB_BCUT2D_LOGPHI
RCTB_MaxAbsPartialCharge,1.81898297004922,RCTB_MaxAbsPartialCharge
PRO_MinPartialCharge,1.81432628071542,PRO_MinPartialCharge
RCTA_Chi1n,1.80980493925889,RCTA_Chi1n
PRO_FpDensityMorgan3,1.77186998797939,PRO_FpDensityMorgan3
RCTA_Chi0,1.7607028599649,RCTA_Chi0
PRO_PEOE_VSA7,1.74767596055226,PRO_PEOE_VSA7
PRO_VSA_EState4,1.73246186884473,PRO_VSA_EState4
PRO_MinAbsPartialCharge,1.72131908132777,PRO_MinAbsPartialCharge
RCTB_BalabanJ,1.69985777100999,RCTB_BalabanJ
RCTB_VSA_EState1,1.69891654304265,RCTB_VSA_EState1
RCTB_VSA_EState6,1.66626244062402,RCTB_VSA_EState6
RCTB_MinAbsPartialCharge,1.65821751672582,RCTB_MinAbsPartialCharge
RCTB_MinAbsEStateIndex,1.6381928642343,RCTB_MinAbsEStateIndex
PRO_MinAbsEStateIndex,1.63185818766274,PRO_MinAbsEStateIndex
RCTB_MaxEStateIndex,1.61516641755418,RCTB_MaxEStateIndex
RCTB_MaxPartialCharge,1.6037589507361,RCTB_MaxPartialCharge
RCTB_qed,1.58732135729388,RCTB_qed
PRO_MinEStateIndex,1.57814507744684,PRO_MinEStateIndex
RCTB_Kappa3,1.57311268134197,RCTB_Kappa3
PRO_FractionCSP3,1.57298917774551,PRO_FractionCSP3
RCTB_FpDensityMorgan2,1.56754209174283,RCTB_FpDensityMorgan2
RCTA_VSA_EState1,1.56611992028421,RCTA_VSA_EState1
RCTA_MinEStateIndex,1.55932593803773,RCTA_MinEStateIndex
PRO_BCUT2D_CHGHI,1.55613791005176,PRO_BCUT2D_CHGHI
PRO_VSA_EState9,1.54628338028758,PRO_VSA_EState9
RCTB_MolLogP,1.53541069730426,RCTB_MolLogP
RCTB_PEOE_VSA6,1.53039890051666,RCTB_PEOE_VSA6
RCTB_HallKierAlpha,1.51916008087887,RCTB_HallKierAlpha
RCTB_FpDensityMorgan1,1.50445215226208,RCTB_FpDensityMorgan1
RCTB_BertzCT,1.50216006649804,RCTB_BertzCT
PRO_SlogP_VSA2,1.50113976738727,PRO_SlogP_VSA2
RCTB_SlogP_VSA2,1.499337493506,RCTB_SlogP_VSA2
PRO_qed,1.4874443790573,PRO_qed
RCTB_Chi2n,1.47098664832577,RCTB_Chi2n
PRO_FpDensityMorgan2,1.46892315627299,PRO_FpDensityMorgan2
PRO_BCUT2D_LOGPHI,1.46112859345916,PRO_BCUT2D_LOGPHI
PRO_FpDensityMorgan1,1.45829807081027,PRO_FpDensityMorgan1
PRO_BalabanJ,1.45421547224861,PRO_BalabanJ
RCTB_EState_VSA9,1.44899848558099,RCTB_EState_VSA9
RCTB_Chi4v,1.43725605792947,RCTB_Chi4v
RCTB_Kappa2,1.4352030311722,RCTB_Kappa2
PRO_SlogP_VSA5,1.424148903146,PRO_SlogP_VSA5
RCTB_Kappa1,1.41546585760136,RCTB_Kappa1
CAT_Chi4v,1.414889122427,CAT_Chi4v
RCTB_BCUT2D_MRHI,1.40409685403549,RCTB_BCUT2D_MRHI
RCTB_Chi3n,1.38981075669191,RCTB_Chi3n
RCTB_Chi2v,1.38821585200521,RCTB_Chi2v
RCTB_PEOE_VSA8,1.38120415913684,RCTB_PEOE_VSA8
RCTB_SlogP_VSA5,1.38101504585854,RCTB_SlogP_VSA5
RCTB_Chi3v,1.37017320405572,RCTB_Chi3v
PRO_PEOE_VSA6,1.35683290947806,PRO_PEOE_VSA6
RCTB_EState_VSA1,1.34255011109753,RCTB_EState_VSA1
RCTB_MolWt,1.34181998051865,RCTB_MolWt
RCTB_BCUT2D_MWHI,1.32612241137837,RCTB_BCUT2D_MWHI
CAT_MaxAbsEStateIndex,1.31404627585105,CAT_MaxAbsEStateIndex
RCTB_VSA_EState7,1.29712514028425,RCTB_VSA_EState7
CAT_MaxEStateIndex,1.28975774713061,CAT_MaxEStateIndex
PRO_Chi3v,1.28168325559544,PRO_Chi3v
RCTB_PEOE_VSA7,1.27073151452195,RCTB_PEOE_VSA7
PRO_MaxEStateIndex,1.2671938502239,PRO_MaxEStateIndex
CAT_Chi3v,1.26523537869918,CAT_Chi3v
RCTB_ExactMolWt,1.24800607978112,RCTB_ExactMolWt
PRO_Kappa3,1.24379417393807,PRO_Kappa3
RCTB_MaxAbsEStateIndex,1.24121176769779,RCTB_MaxAbsEStateIndex
RCTA_FpDensityMorgan3,1.22329869699475,RCTA_FpDensityMorgan3
RCTA_VSA_EState8,1.2209688093335,RCTA_VSA_EState8
RCTA_SMR_VSA1,1.22027091118283,RCTA_SMR_VSA1
RCTB_Chi1v,1.2110013109026,RCTB_Chi1v
PRO_Chi4n,1.20994245371821,PRO_Chi4n
RCTB_Chi0v,1.20439383141383,RCTB_Chi0v
CAT_Kappa3,1.19211477335129,CAT_Kappa3
RCTA_Chi0n,1.18427113082236,RCTA_Chi0n
PRO_EState_VSA9,1.18421934381707,PRO_EState_VSA9
PRO_PEOE_VSA8,1.17474738222749,PRO_PEOE_VSA8
RCTB_Chi4n,1.1746256255331,RCTB_Chi4n
RCTB_Chi0,1.17224884208988,RCTB_Chi0
RCTB_SMR_VSA1,1.1622816845382,RCTB_SMR_VSA1
PRO_HallKierAlpha,1.16148480941719,PRO_HallKierAlpha
CAT_Kappa1,1.15148844374884,CAT_Kappa1
RCTB_HeavyAtomMolWt,1.14383258945547,RCTB_HeavyAtomMolWt
PRO_VSA_EState7,1.14024519967582,PRO_VSA_EState7
RCTB_VSA_EState2,1.13801017466162,RCTB_VSA_EState2
RCTA_qed,1.13756480072024,RCTA_qed
RCTB_SMR_VSA7,1.13560543336064,RCTB_SMR_VSA7
PRO_Kappa2,1.12827294589624,PRO_Kappa2
PRO_SMR_VSA7,1.12681341617055,PRO_SMR_VSA7
RCTB_PEOE_VSA9,1.1258566102693,RCTB_PEOE_VSA9
RCTB_Chi1,1.1243278656702,RCTB_Chi1
RCTB_MolMR,1.12425450396297,RCTB_MolMR
RCTB_TPSA,1.1135541786563,RCTB_TPSA
PRO_Kappa1,1.11153315958746,PRO_Kappa1
PRO_BCUT2D_MWLOW,1.11121833495442,PRO_BCUT2D_MWLOW
RCTB_VSA_EState4,1.11057739401882,RCTB_VSA_EState4
PRO_SMR_VSA10,1.10864053682599,PRO_SMR_VSA10
RCTB_VSA_EState5,1.10420004660335,RCTB_VSA_EState5
PRO_VSA_EState5,1.08951836764387,PRO_VSA_EState5
PRO_BCUT2D_MWHI,1.08858684176964,PRO_BCUT2D_MWHI
RCTB_NumValenceElectrons,1.08852622463839,RCTB_NumValenceElectrons
PRO_Chi4v,1.08122967840714,PRO_Chi4v
PRO_VSA_EState1,1.07923384744619,PRO_VSA_EState1
CAT_Chi4n,1.07287743938779,CAT_Chi4n
RCTB_VSA_EState8,1.0703295738453,RCTB_VSA_EState8
RCTB_VSA_EState10,1.06490824370581,RCTB_VSA_EState10
RCTA_BalabanJ,1.05017990542775,RCTA_BalabanJ
PRO_MaxAbsEStateIndex,1.04046515724882,PRO_MaxAbsEStateIndex
CAT_Chi3n,1.03576165600204,CAT_Chi3n
PRO_Chi0n,1.03228403401714,PRO_Chi0n
PRO_Chi3n,1.02803761247723,PRO_Chi3n
PRO_SMR_VSA4,1.02554825027775,PRO_SMR_VSA4
PRO_BCUT2D_MRHI,0.990205788280268,PRO_BCUT2D_MRHI
PRO_TPSA,0.988613274694096,PRO_TPSA
PRO_HeavyAtomMolWt,0.980601563698751,PRO_HeavyAtomMolWt
RCTB_Chi1n,0.980303798883063,RCTB_Chi1n
RCTB_LabuteASA,0.974965360988169,RCTB_LabuteASA
PRO_SMR_VSA6,0.971425603723537,PRO_SMR_VSA6
PRO_PEOE_VSA9,0.965989208040569,PRO_PEOE_VSA9
PRO_MolMR,0.961007534727401,PRO_MolMR
PRO_NumHAcceptors,0.947823269274121,PRO_NumHAcceptors
RCTB_PEOE_VSA10,0.944954773933385,RCTB_PEOE_VSA10
CAT_Chi2v,0.944365488165867,CAT_Chi2v
RCTB_FractionCSP3,0.939146287996022,RCTB_FractionCSP3
RCTA_Chi2v,0.928343380219182,RCTA_Chi2v
PRO_Chi2v,0.925856559187044,PRO_Chi2v
PRO_SMR_VSA5,0.925687942739703,PRO_SMR_VSA5
PRO_MolLogP,0.916196308089976,PRO_MolLogP
RCTA_FpDensityMorgan1,0.90905502910106,RCTA_FpDensityMorgan1
PRO_SlogP_VSA6,0.907281682108503,PRO_SlogP_VSA6
RCTB_235,0.906586639329804,RCTB_235
PRO_Chi2n,0.904919349033678,PRO_Chi2n
PRO_SlogP_VSA1,0.902362082621835,PRO_SlogP_VSA1
PRO_SMR_VSA1,0.901161527252954,PRO_SMR_VSA1
RCTB_PEOE_VSA14,0.900949925925876,RCTB_PEOE_VSA14
PRO_PEOE_VSA1,0.900377883619081,PRO_PEOE_VSA1
RCTA_HallKierAlpha,0.898397265841898,RCTA_HallKierAlpha
