id,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
1,7782-44-7
2
3
4
5
6
7,1333-74-0
8,141-52-6,7782-44-7
9,141-52-6,7782-44-7
10,141-52-6,7782-44-7
11,141-52-6,7782-44-7
12,75-09-2
13,75-09-2
14,75-09-2
15
16,17979-81-6,7782-44-7
17,7782-44-7
18
19
20
21
22
23
24,13400-13-0,7782-44-7
25
26
27
28,110-86-1
29
30,7782-44-7
31,17979-81-6,7782-44-7
32
33
34
35,7782-44-7
36,17979-81-6,7782-44-7
37
38,17979-81-6
39,1333-74-0,17979-81-6
40,1333-74-0,17979-81-6,25015-63-8
41,17979-81-6,25015-63-8
42
43,141-52-6,7782-44-7
44,33725-74-5
45
46,865-34-9,7782-44-7
47
48
49,7782-44-7
50
51,7782-44-7,121-44-8,7631-86-9
52
53,7782-44-7
54
55,7782-44-7
56,17979-81-6,7782-44-7
57,7782-44-7
58
59
60
61,7782-44-7
62,17979-81-6,7782-44-7
63
64
65
66,7782-44-7
67
68
69,7440-66-6,60-29-7
70,1333-74-0
71,1333-74-0
72,1333-74-0
73,1333-74-0
74
75,7782-44-7
76,7782-44-7
77,17979-81-6
78
79
80
81
82
83
84
85,7782-44-7
86,7782-44-7
87,17979-81-6,7782-44-7
88,7782-44-7
89
90
91,17979-81-6,7782-44-7
92,7782-44-7
93
94,17979-81-6,7782-44-7
95
96,7782-44-7
97
98,7782-44-7
99,7782-44-7
100
101
102,7782-44-7
103,17979-81-6,7782-44-7
104
105
106
107,17979-81-6,7782-44-7
108,7782-44-7
109,7782-44-7
110
111,1333-74-0,17979-81-6
112
113
114
115,7782-44-7
116,7782-44-7
117,7758-89-6
118,75-09-2
119
120,7782-44-7
121,17979-81-6,7782-44-7
122
123,7782-44-7
124,17979-81-6,7782-44-7
125
126
127,7782-44-7
128,17979-81-6,7782-44-7
129
130,7782-44-7
131
132,75-09-2
133,7782-44-7
134,7782-44-7
135,7782-44-7
136
137,292-64-8,17979-81-6
138,7782-44-7
139
140,7440-66-6,7699-45-8
141
142
143
144,110-83-8
145,7782-44-7
146,17979-81-6
147,17979-81-6
148,7782-44-7
149,7782-44-7
150,17979-81-6
151,7782-44-7
152,7782-44-7
153
154,17979-81-6,7782-44-7
155
156,141-52-6,7782-44-7
157
158
159
160,7782-44-7
161,7782-44-7
162,75-09-2
163,17979-81-6,7782-44-7
164
165
166
167,7782-44-7
168
169
170,7782-44-7
171
172
173,7440-66-6,60-29-7
174
175
176
177,17979-81-6
178,7782-44-7
179,7782-44-7
180,7782-44-7
181
182,7782-44-7
183,17979-81-6,7782-44-7
184,865-33-8
185,7782-44-7
186,917-54-4
187,917-54-4
188,141-78-6
189,17979-81-6,60-29-7
190
191
192
193
194,1333-74-0,109-66-0
195,7782-44-7
196,17979-81-6,7782-44-7
197,7782-44-7
198,17979-81-6,7782-44-7
199
200,7782-44-7
201,7782-44-7
202,7782-44-7
203,7782-44-7
204,7782-44-7
205,7782-44-7
206
207,141-78-6
208,7782-44-7,121-44-8,7631-86-9
209
210,17979-81-6,7782-44-7
211,7782-44-7
212
213,7782-44-7
214
215
216,110-83-8
217,1333-74-0,1907-33-1
218,7782-44-7
219,13774-81-7
220
221
222
223,7782-44-7
224,17979-81-6,7782-44-7
225,17979-81-6,7782-44-7
226
227,7782-44-7
228,17979-81-6,7782-44-7
229,7782-44-7
230,13400-13-0,7782-44-7
231,7782-44-7
232
233
234
235
236,1333-74-0
237
238
239
240,7782-44-7
241,7782-44-7
242,7782-44-7
243,7782-44-7
244,17979-81-6
245,7782-44-7
