id,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
1,108-88-3
2
3
4
5
6
7,110-54-3
8,1634-04-4
9,1634-04-4
10,1634-04-4
11,1634-04-4
12,109-99-9
13,109-99-9
14,109-99-9
15,1076-43-3
16
17
18,1076-43-3
19,109-99-9
20,109-99-9
21,109-99-9
22
23
24,68-12-2,109-99-9
25,1076-43-3
26
27,1076-43-3
28,1634-04-4
29,109-99-9
30,108-88-3,109-99-9
31,109-99-9
32,1076-43-3
33,71-43-2
34,1076-43-3
35,108-88-3,109-99-9
36,109-99-9
37,109-99-9
38,108-88-3
39,60-29-7,109-99-9
40,60-29-7,109-99-9
41,60-29-7,109-99-9
42,109-99-9
43,1634-04-4
44,75-09-2
45,108-88-3,109-99-9
46
47,109-99-9
48,109-99-9
49,109-66-0,109-99-9
50
51,5614-37-9
52
53
54
55
56,109-99-9
57,108-88-3,109-99-9
58,1076-43-3
59
60
61,108-88-3,109-99-9
62,109-99-9
63,109-99-9
64,109-99-9
65,109-99-9
66
67,60-29-7
68,1076-43-3
69,108-88-3
70,71-43-2
71,71-43-2
72,71-43-2
73,71-43-2
74,1076-43-3
75
76,109-99-9
77,109-99-9
78,109-99-9
79,109-99-9
80,109-99-9
81,109-99-9
82,109-99-9
83,109-99-9
84,109-99-9
85,108-88-3
86,108-88-3
87,109-99-9
88,108-88-3,109-99-9
89,109-99-9
90,109-99-9
91,109-99-9
92,108-88-3,109-99-9
93,109-99-9
94,109-99-9
95,109-99-9
96,108-88-3,109-99-9
97,109-99-9
98,109-66-0,109-99-9
99,109-66-0,109-99-9
100,1634-04-4
101,109-99-9
102,108-88-3,109-99-9
103,109-99-9
104,1076-43-3
105,1076-43-3
106,1076-43-3
107,109-99-9
108,108-88-3,109-99-9
109,109-99-9
110,1076-43-3
111,60-29-7,109-99-9
112,108-88-3
113,108-88-3
114,108-88-3
115,108-88-3
116,109-99-9,75-09-2
117,109-99-9,75-09-2
118,109-99-9
119,109-99-9
120,108-88-3,109-99-9
121,109-99-9
122,109-99-9
123,108-88-3,109-99-9
124,109-99-9
125,109-99-9
126,109-99-9
127,108-88-3,109-99-9
128,109-99-9
129,109-99-9
130,109-66-0,109-99-9
131,1076-43-3
132,109-99-9
133,5614-37-9
134,5614-37-9
135
136,1076-43-3
137,109-99-9
138
139
140,109-99-9
141,1076-43-3
142,1076-43-3
143,1076-43-3
144,109-99-9
145,109-99-9
146,60-29-7,109-99-9
147,109-99-9
148,109-99-9
149
150,109-99-9
151,109-99-9
152
153,109-99-9
154,109-99-9
155,75-05-8
156,1634-04-4
157,75-09-2
158,75-09-2
159,75-09-2
160,109-99-9
161,109-99-9,75-09-2
162,109-99-9
163,109-99-9
164,109-99-9
165,109-99-9
166
167,109-66-0,109-99-9
168
169,1076-43-3
170
171,1076-43-3
172,1076-43-3
173,108-88-3
174,1076-43-3
175,1076-43-3
176,1076-43-3
177,109-99-9
178
179,109-99-9
180,109-99-9
181,1076-43-3
182,108-88-3,109-99-9
183,109-99-9
184,462-95-3,1634-04-4
185,109-99-9
186,109-99-9,462-95-3
187,109-99-9,110-71-4
188,109-99-9
189,108-88-3,109-99-9
190,109-99-9
191,142-82-5
192,108-88-3
193,108-88-3
194,108-88-3
195,108-88-3,109-99-9
196,109-99-9
197,108-88-3,109-99-9
198,109-99-9
199,109-99-9
200,109-66-0,109-99-9
201,109-66-0,109-99-9
202,109-66-0,109-99-9
203,109-66-0,109-99-9
204,109-66-0,109-99-9
205,109-66-0,109-99-9
206,109-99-9
207,60-29-7,109-99-9
