"","Var1","Freq"
"11","[B-](CC)(CC)CC.[Na+].O=O",110
"5","[B-](CC)(CC)CC.[Na+]",105
"52","C1CCC(CC1)P(CCP(C2CCCCC2)C3CCCCC3)C4CCCCC4",43
