"","Var1","Freq"
"585","CCCCCCCCB1OC(C)(C)C(C)(C)O1",9
"276","CC1(C)OB(CCC2=CC=CC=C2)OC1(C)C",8
"59","C[C@@H](CB1OC(C)(C)C(C)(C)O1)C1=CC=CC=C1",7
