"","Var1","Freq"
"47","CC(=CC(=O)C)[O-].CC(=CC(=O)C)[O-].[Co+2]",264
"26","[Cl-][Co+2]12([Cl-])[N]=3C=CC=CC3C4=CC=CC(=[N]41)C[P]2(C(C)C)C(C)C",80
"25","[Cl-][Co+2]12([Cl-])[N]=3C=CC=CC3C4=CC=CC(=[N]41)C[P]2(C(C)(C)C)C(C)(C)C",63
