,MeanDecreaseGini,Features
RCTA_SlogP_VSA5,4.13924458732049,RCTA_SlogP_VSA5
PRO_SlogP_VSA2,3.9427294743102,PRO_SlogP_VSA2
PRO_VSA_EState8,3.90314681737289,PRO_VSA_EState8
RCTA_MolLogP,3.67824016400685,RCTA_MolLogP
RCTB_SlogP_VSA2,3.46611931764491,RCTB_SlogP_VSA2
PRO_BCUT2D_CHGLO,3.22874726847638,PRO_BCUT2D_CHGLO
RCTA_MinAbsPartialCharge,3.2202564035995,RCTA_MinAbsPartialCharge
CAT_MinEStateIndex,3.20065438404293,CAT_MinEStateIndex
RCTB_MinEStateIndex,3.0614746023667,RCTB_MinEStateIndex
RCTA_MinPartialCharge,3.05291435013957,RCTA_MinPartialCharge
RCTA_Chi1n,3.04489098115145,RCTA_Chi1n
RCTB_BCUT2D_CHGLO,2.98262801429567,RCTB_BCUT2D_CHGLO
PRO_MinEStateIndex,2.94394749369892,PRO_MinEStateIndex
RCTB_BCUT2D_LOGPLOW,2.9381387244589,RCTB_BCUT2D_LOGPLOW
PRO_FpDensityMorgan2,2.92003392744956,PRO_FpDensityMorgan2
PRO_VSA_EState1,2.87688773973422,PRO_VSA_EState1
RCTA_Chi0n,2.87365698967535,RCTA_Chi0n
PRO_MinAbsPartialCharge,2.87006910830539,PRO_MinAbsPartialCharge
RCTA_Chi0,2.84599611157402,RCTA_Chi0
RCTB_MaxAbsPartialCharge,2.84299905988797,RCTB_MaxAbsPartialCharge
RCTB_MinPartialCharge,2.82523368473251,RCTB_MinPartialCharge
PRO_SMR_VSA1,2.79934339931463,PRO_SMR_VSA1
RCTA_BCUT2D_MWLOW,2.79324046802319,RCTA_BCUT2D_MWLOW
PRO_MinPartialCharge,2.76594452778004,PRO_MinPartialCharge
PRO_MaxPartialCharge,2.73447631840441,PRO_MaxPartialCharge
PRO_VSA_EState9,2.6403418190399,PRO_VSA_EState9
RCTB_qed,2.5921144553359,RCTB_qed
RCTB_BCUT2D_MWLOW,2.53593141096746,RCTB_BCUT2D_MWLOW
PRO_MaxAbsPartialCharge,2.46411167170719,PRO_MaxAbsPartialCharge
RCTA_SMR_VSA5,2.42414793820334,RCTA_SMR_VSA5
RCTB_MinAbsPartialCharge,2.35260787132561,RCTB_MinAbsPartialCharge
RCTB_MolLogP,2.33237245777036,RCTB_MolLogP
RCTB_PEOE_VSA9,2.32238179566697,RCTB_PEOE_VSA9
PRO_FpDensityMorgan3,2.31671152564696,PRO_FpDensityMorgan3
RCTB_FpDensityMorgan1,2.29528611247514,RCTB_FpDensityMorgan1
RCTB_BalabanJ,2.28856551316566,RCTB_BalabanJ
RCTB_MaxEStateIndex,2.27674297121446,RCTB_MaxEStateIndex
PRO_BCUT2D_LOGPHI,2.26478406156053,PRO_BCUT2D_LOGPHI
RCTB_BCUT2D_CHGHI,2.25919782894773,RCTB_BCUT2D_CHGHI
PRO_qed,2.24968091299204,PRO_qed
RCTB_MaxAbsEStateIndex,2.24482695430132,RCTB_MaxAbsEStateIndex
RCTB_PEOE_VSA6,2.22293683930963,RCTB_PEOE_VSA6
PRO_MinAbsEStateIndex,2.20256168311751,PRO_MinAbsEStateIndex
PRO_FpDensityMorgan1,2.19050325826285,PRO_FpDensityMorgan1
RCTB_VSA_EState6,2.17985614224695,RCTB_VSA_EState6
CAT_MaxAbsEStateIndex,2.17744152775843,CAT_MaxAbsEStateIndex
PRO_BalabanJ,2.1652163796008,PRO_BalabanJ
PRO_Kappa3,2.15548602721538,PRO_Kappa3
PRO_Chi0n,2.15282980878539,PRO_Chi0n
RCTB_Kappa3,2.13261561298159,RCTB_Kappa3
PRO_VSA_EState6,2.12878872866532,PRO_VSA_EState6
RCTB_FpDensityMorgan3,2.09855983151217,RCTB_FpDensityMorgan3
RCTB_SMR_VSA1,2.08947254057721,RCTB_SMR_VSA1
RCTB_MaxPartialCharge,2.06633974319897,RCTB_MaxPartialCharge
