,MeanDecreaseGini,Features
PRO_VSA_EState8,4.25192598042738,PRO_VSA_EState8
CAT_MinEStateIndex,4.15596775074019,CAT_MinEStateIndex
PRO_MinEStateIndex,3.6219569173049,PRO_MinEStateIndex
RCTA_SlogP_VSA5,3.36092689153453,RCTA_SlogP_VSA5
PRO_BCUT2D_CHGLO,3.29890228441044,PRO_BCUT2D_CHGLO
PRO_MaxAbsPartialCharge,3.19535434221457,PRO_MaxAbsPartialCharge
RCTB_MaxAbsPartialCharge,3.1820623745227,RCTB_MaxAbsPartialCharge
RCTB_BCUT2D_LOGPLOW,3.13119422835455,RCTB_BCUT2D_LOGPLOW
RCTA_BCUT2D_MWLOW,3.10892876484599,RCTA_BCUT2D_MWLOW
PRO_SMR_VSA1,2.9205470823678,PRO_SMR_VSA1
RCTA_VSA_EState4,2.90440176236311,RCTA_VSA_EState4
RCTB_MolLogP,2.88387229916192,RCTB_MolLogP
RCTB_MinEStateIndex,2.86539163658205,RCTB_MinEStateIndex
PRO_EState_VSA9,2.805330920859,PRO_EState_VSA9
PRO_MaxPartialCharge,2.74909101090313,PRO_MaxPartialCharge
RCTA_VSA_EState8,2.74559743572244,RCTA_VSA_EState8
RCTB_BCUT2D_CHGLO,2.70177136885466,RCTB_BCUT2D_CHGLO
PRO_MinAbsPartialCharge,2.67654441807938,PRO_MinAbsPartialCharge
PRO_qed,2.65290694675525,PRO_qed
RCTB_MinPartialCharge,2.59772054572738,RCTB_MinPartialCharge
RCTA_MolLogP,2.56904256880065,RCTA_MolLogP
RCTB_BalabanJ,2.48381610871791,RCTB_BalabanJ
PRO_MinPartialCharge,2.45469491809659,PRO_MinPartialCharge
RCTB_FpDensityMorgan2,2.39156488465557,RCTB_FpDensityMorgan2
RCTB_VSA_EState6,2.38664676176026,RCTB_VSA_EState6
RCTB_qed,2.38587759286444,RCTB_qed
RCTA_SMR_VSA5,2.3677966260169,RCTA_SMR_VSA5
PRO_VSA_EState9,2.36619282752222,PRO_VSA_EState9
PRO_VSA_EState4,2.33333296205244,PRO_VSA_EState4
PRO_SlogP_VSA2,2.32109515785348,PRO_SlogP_VSA2
RCTB_MaxEStateIndex,2.31918255947397,RCTB_MaxEStateIndex
RCTB_Kappa2,2.31149195755896,RCTB_Kappa2
PRO_MinAbsEStateIndex,2.30297500395931,PRO_MinAbsEStateIndex
RCTA_MinAbsPartialCharge,2.29481559634713,RCTA_MinAbsPartialCharge
RCTB_MinAbsEStateIndex,2.25746427262535,RCTB_MinAbsEStateIndex
RCTB_MaxAbsEStateIndex,2.22120681956797,RCTB_MaxAbsEStateIndex
RCTB_SMR_VSA1,2.21812921950451,RCTB_SMR_VSA1
RCTA_VSA_EState9,2.20350524740626,RCTA_VSA_EState9
RCTB_BCUT2D_MRLOW,2.19643335932202,RCTB_BCUT2D_MRLOW
PRO_VSA_EState6,2.16788740275497,PRO_VSA_EState6
RCTB_PEOE_VSA6,2.16288212189885,RCTB_PEOE_VSA6
PRO_VSA_EState1,2.15121346404318,PRO_VSA_EState1
PRO_BCUT2D_CHGHI,2.14159863154375,PRO_BCUT2D_CHGHI
PRO_PEOE_VSA7,2.14091074783857,PRO_PEOE_VSA7
RCTB_SlogP_VSA2,2.11797266916698,RCTB_SlogP_VSA2
PRO_BalabanJ,2.11707684957958,PRO_BalabanJ
RCTB_BCUT2D_MWLOW,2.10935935799659,RCTB_BCUT2D_MWLOW
RCTB_EState_VSA9,2.10882422917258,RCTB_EState_VSA9
PRO_FpDensityMorgan3,2.09943872798202,PRO_FpDensityMorgan3
PRO_FpDensityMorgan2,2.09824107023328,PRO_FpDensityMorgan2
RCTB_Kappa3,2.09637881220356,RCTB_Kappa3
PRO_MaxEStateIndex,2.09274794946801,PRO_MaxEStateIndex
PRO_BCUT2D_LOGPHI,2.0871813035315,PRO_BCUT2D_LOGPHI
RCTB_MinAbsPartialCharge,2.08076859055677,RCTB_MinAbsPartialCharge
RCTB_BCUT2D_LOGPHI,2.07590619911133,RCTB_BCUT2D_LOGPHI
RCTB_FpDensityMorgan3,2.05894671370141,RCTB_FpDensityMorgan3
CAT_qed,2.02424733400683,CAT_qed
PRO_Chi0n,2.02403578847772,PRO_Chi0n
RCTB_SlogP_VSA5,2.00835962046116,RCTB_SlogP_VSA5
PRO_MaxAbsEStateIndex,1.99816688121712,PRO_MaxAbsEStateIndex
RCTB_FpDensityMorgan1,1.99350839009367,RCTB_FpDensityMorgan1
RCTB_BCUT2D_CHGHI,1.99252406203006,RCTB_BCUT2D_CHGHI
PRO_FractionCSP3,1.9866729268238,PRO_FractionCSP3
PRO_MolLogP,1.9789065777846,PRO_MolLogP
RCTB_MaxPartialCharge,1.97163770287906,RCTB_MaxPartialCharge
RCTA_MinPartialCharge,1.96956064980276,RCTA_MinPartialCharge
PRO_FpDensityMorgan1,1.95244869194724,PRO_FpDensityMorgan1
RCTB_Kappa1,1.94426749982491,RCTB_Kappa1
CAT_MaxAbsEStateIndex,1.94240999254271,CAT_MaxAbsEStateIndex
RCTB_PEOE_VSA8,1.93913741932053,RCTB_PEOE_VSA8
RCTA_VSA_EState1,1.93371702961061,RCTA_VSA_EState1
PRO_Kappa3,1.92999586168065,PRO_Kappa3
PRO_PEOE_VSA8,1.92983352552686,PRO_PEOE_VSA8
RCTB_Chi2v,1.92859500609889,RCTB_Chi2v
RCTB_BCUT2D_MWHI,1.91786703680691,RCTB_BCUT2D_MWHI
RCTB_VSA_EState1,1.89265400442703,RCTB_VSA_EState1
CAT_Chi3n,1.88193399009258,CAT_Chi3n
PRO_Chi3v,1.87679674035016,PRO_Chi3v
PRO_Chi1n,1.85858321087209,PRO_Chi1n
PRO_BCUT2D_MWLOW,1.85672117529251,PRO_BCUT2D_MWLOW
RCTB_Chi4n,1.85623661314223,RCTB_Chi4n
RCTB_Chi3v,1.83998891888174,RCTB_Chi3v
RCTA_Chi1n,1.8344014654465,RCTA_Chi1n
PRO_SlogP_VSA5,1.80979214557862,PRO_SlogP_VSA5
PRO_Chi4v,1.78352002582085,PRO_Chi4v
RCTB_HeavyAtomMolWt,1.77666048004296,RCTB_HeavyAtomMolWt
CAT_Chi4n,1.76563383227194,CAT_Chi4n
RCTB_Chi1n,1.76309597119647,RCTB_Chi1n
RCTB_VSA_EState5,1.75646000050504,RCTB_VSA_EState5
RCTB_BCUT2D_MRHI,1.74752803069163,RCTB_BCUT2D_MRHI
RCTB_SMR_VSA7,1.74612756561799,RCTB_SMR_VSA7
RCTB_PEOE_VSA7,1.74257129591056,RCTB_PEOE_VSA7
RCTB_VSA_EState4,1.73802224164467,RCTB_VSA_EState4
RCTA_NumRotatableBonds,1.73655152495676,RCTA_NumRotatableBonds
