,IncNodePurity,Features
PRO_VSA_EState8,4765.99750074218,PRO_VSA_EState8
RCTB_BCUT2D_CHGLO,3757.70021614985,RCTB_BCUT2D_CHGLO
CAT_MinEStateIndex,3622.94407527341,CAT_MinEStateIndex
RCTB_MinEStateIndex,3586.93384080853,RCTB_MinEStateIndex
RCTB_VSA_EState5,3483.66429735715,RCTB_VSA_EState5
PRO_VSA_EState6,3436.48682205089,PRO_VSA_EState6
RCTB_MinAbsEStateIndex,3314.13146706551,RCTB_MinAbsEStateIndex
PRO_FpDensityMorgan1,3238.47981755426,PRO_FpDensityMorgan1
RCTB_MaxEStateIndex,3139.94252492772,RCTB_MaxEStateIndex
PRO_BCUT2D_CHGLO,3117.80016004915,PRO_BCUT2D_CHGLO
PRO_FpDensityMorgan2,3115.20771310201,PRO_FpDensityMorgan2
PRO_FpDensityMorgan3,3115.17896079778,PRO_FpDensityMorgan3
RCTB_qed,3088.86744319681,RCTB_qed
RCTA_MolLogP,3075.37763805858,RCTA_MolLogP
RCTB_Kappa3,3032.95724196737,RCTB_Kappa3
PRO_MinEStateIndex,3032.23414032407,PRO_MinEStateIndex
RCTB_MinPartialCharge,3018.15508971981,RCTB_MinPartialCharge
RCTB_MaxAbsEStateIndex,2950.53695688142,RCTB_MaxAbsEStateIndex
PRO_MaxPartialCharge,2928.98243508525,PRO_MaxPartialCharge
PRO_MaxAbsPartialCharge,2779.93065941499,PRO_MaxAbsPartialCharge
PRO_EState_VSA9,2702.83775141858,PRO_EState_VSA9
PRO_VSA_EState9,2674.60453593296,PRO_VSA_EState9
RCTB_BalabanJ,2665.34917059613,RCTB_BalabanJ
PRO_BCUT2D_LOGPHI,2662.11725789164,PRO_BCUT2D_LOGPHI
RCTB_BCUT2D_LOGPLOW,2612.75137705667,RCTB_BCUT2D_LOGPLOW
RCTB_BCUT2D_MWLOW,2577.38164301,RCTB_BCUT2D_MWLOW
PRO_MinAbsPartialCharge,2576.49115975451,PRO_MinAbsPartialCharge
RCTB_SlogP_VSA5,2558.32729804263,RCTB_SlogP_VSA5
PRO_VSA_EState4,2553.85969896306,PRO_VSA_EState4
PRO_BCUT2D_CHGHI,2527.92106813687,PRO_BCUT2D_CHGHI
RCTB_VSA_EState1,2439.93359177053,RCTB_VSA_EState1
PRO_MinPartialCharge,2428.32234772884,PRO_MinPartialCharge
RCTB_FpDensityMorgan3,2414.85644205669,RCTB_FpDensityMorgan3
PRO_FractionCSP3,2391.33188259328,PRO_FractionCSP3
RCTB_MaxAbsPartialCharge,2382.89431162286,RCTB_MaxAbsPartialCharge
PRO_MinAbsEStateIndex,2356.79933782487,PRO_MinAbsEStateIndex
RCTB_BCUT2D_CHGHI,2343.41173090317,RCTB_BCUT2D_CHGHI
RCTB_MaxPartialCharge,2333.71090961079,RCTB_MaxPartialCharge
RCTB_PEOE_VSA7,2332.45386373935,RCTB_PEOE_VSA7
RCTB_PEOE_VSA6,2328.57707531652,RCTB_PEOE_VSA6
PRO_SlogP_VSA2,2322.38364936511,PRO_SlogP_VSA2
RCTB_SMR_VSA1,2305.03252129896,RCTB_SMR_VSA1
RCTB_BCUT2D_LOGPHI,2302.73181339062,RCTB_BCUT2D_LOGPHI
RCTB_BCUT2D_MRLOW,2292.0738223852,RCTB_BCUT2D_MRLOW
RCTB_FpDensityMorgan1,2272.69211765159,RCTB_FpDensityMorgan1
PRO_PEOE_VSA6,2270.63584401948,PRO_PEOE_VSA6
RCTB_MinAbsPartialCharge,2229.00651915939,RCTB_MinAbsPartialCharge
RCTB_MolLogP,2214.64541268719,RCTB_MolLogP
PRO_Chi1n,2194.27881033734,PRO_Chi1n
RCTB_Kappa2,2189.42980203825,RCTB_Kappa2
PRO_MaxAbsEStateIndex,2156.07170714088,PRO_MaxAbsEStateIndex
RCTB_VSA_EState6,2153.20127551462,RCTB_VSA_EState6
PRO_BalabanJ,2149.64163050794,PRO_BalabanJ
RCTB_FpDensityMorgan2,2138.26518144069,RCTB_FpDensityMorgan2
PRO_MaxEStateIndex,2118.66941224332,PRO_MaxEStateIndex
PRO_Chi3v,2083.78910596547,PRO_Chi3v
RCTB_Chi4v,2072.69118578812,RCTB_Chi4v
RCTB_Chi2v,2052.38748387502,RCTB_Chi2v
RCTB_MolWt,2030.2393741045,RCTB_MolWt
RCTA_Chi0,2024.10704574452,RCTA_Chi0
RCTB_SMR_VSA7,2011.09127253316,RCTB_SMR_VSA7
RCTA_Chi1n,1988.97989396656,RCTA_Chi1n
PRO_PEOE_VSA9,1987.67038308775,PRO_PEOE_VSA9
RCTB_ExactMolWt,1977.0816117908,RCTB_ExactMolWt
PRO_PEOE_VSA7,1975.19547841346,PRO_PEOE_VSA7
RCTA_MinAbsPartialCharge,1970.80245342008,RCTA_MinAbsPartialCharge
RCTB_Chi3v,1967.40141211774,RCTB_Chi3v
PRO_VSA_EState1,1960.33803167039,PRO_VSA_EState1
RCTB_Kappa1,1932.15183733199,RCTB_Kappa1
PRO_BCUT2D_MWHI,1929.99794676139,PRO_BCUT2D_MWHI
PRO_MolLogP,1929.77184138497,PRO_MolLogP
RCTB_MolMR,1889.63407395428,RCTB_MolMR
PRO_qed,1865.77942229781,PRO_qed
RCTB_HeavyAtomMolWt,1852.07068157111,RCTB_HeavyAtomMolWt
PRO_Chi4n,1843.12921018979,PRO_Chi4n
RCTB_VSA_EState4,1834.59050849728,RCTB_VSA_EState4
RCTB_PEOE_VSA8,1831.37871798102,RCTB_PEOE_VSA8
PRO_Chi0n,1817.85398123,PRO_Chi0n
PRO_Chi4v,1810.09424155692,PRO_Chi4v
PRO_SMR_VSA1,1794.97722813642,PRO_SMR_VSA1
PRO_Kappa1,1778.86773900892,PRO_Kappa1
RCTB_BCUT2D_MRHI,1771.47555820517,RCTB_BCUT2D_MRHI
PRO_SMR_VSA7,1763.36568120155,PRO_SMR_VSA7
RCTA_SlogP_VSA5,1735.21737408725,RCTA_SlogP_VSA5
RCTB_Chi1v,1730.318729263,RCTB_Chi1v
PRO_SlogP_VSA5,1723.75955702054,PRO_SlogP_VSA5
RCTB_Chi1,1710.01777714636,RCTB_Chi1
RCTB_EState_VSA9,1707.78118040891,RCTB_EState_VSA9
PRO_BCUT2D_MRHI,1696.54539314728,PRO_BCUT2D_MRHI
RCTB_Chi3n,1689.76319062601,RCTB_Chi3n
PRO_Kappa3,1687.85281016836,PRO_Kappa3
RCTB_VSA_EState3,1684.46125676699,RCTB_VSA_EState3
RCTB_SMR_VSA10,1660.51597465815,RCTB_SMR_VSA10
RCTB_HallKierAlpha,1659.51169199528,RCTB_HallKierAlpha
PRO_VSA_EState7,1655.41709204605,PRO_VSA_EState7
RCTB_Chi0n,1654.67831304475,RCTB_Chi0n
PRO_PEOE_VSA14,1637.37074821891,PRO_PEOE_VSA14
PRO_Kappa2,1632.80191646715,PRO_Kappa2
CAT_Kappa3,1604.73935659187,CAT_Kappa3
PRO_Chi3n,1586.35727364367,PRO_Chi3n
RCTB_BCUT2D_MWHI,1577.46572021737,RCTB_BCUT2D_MWHI
RCTA_MinPartialCharge,1575.8227844669,RCTA_MinPartialCharge
RCTA_Chi0n,1568.76864726609,RCTA_Chi0n
PRO_Chi2v,1568.47332353749,PRO_Chi2v
RCTB_SlogP_VSA2,1564.90752669325,RCTB_SlogP_VSA2
PRO_PEOE_VSA8,1564.45067558347,PRO_PEOE_VSA8
RCTB_PEOE_VSA9,1543.47741713406,RCTB_PEOE_VSA9
RCTB_VSA_EState2,1543.13042105801,RCTB_VSA_EState2
PRO_BertzCT,1510.35709089255,PRO_BertzCT
PRO_BCUT2D_MWLOW,1507.55384283432,PRO_BCUT2D_MWLOW
RCTB_EState_VSA1,1506.28487400143,RCTB_EState_VSA1
RCTB_Chi4n,1505.28749414197,RCTB_Chi4n
RCTB_LabuteASA,1502.09232340151,RCTB_LabuteASA
PRO_Chi0,1499.50628512943,PRO_Chi0
PRO_VSA_EState5,1476.31739750831,PRO_VSA_EState5
PRO_EState_VSA1,1475.67283108419,PRO_EState_VSA1
PRO_SMR_VSA5,1464.5530314939,PRO_SMR_VSA5
RCTB_SlogP_VSA4,1451.73044254496,RCTB_SlogP_VSA4
RCTB_BertzCT,1444.87636162946,RCTB_BertzCT
RCTB_Chi0,1430.19516373641,RCTB_Chi0
RCTB_Chi0v,1384.24883102343,RCTB_Chi0v
PRO_HallKierAlpha,1382.26406317517,PRO_HallKierAlpha
PRO_Chi1,1380.69197181623,PRO_Chi1
RCTB_Chi1n,1379.7548877952,RCTB_Chi1n
PRO_LabuteASA,1364.22591227472,PRO_LabuteASA
CAT_MaxEStateIndex,1354.13269301388,CAT_MaxEStateIndex
PRO_MolMR,1344.57575764332,PRO_MolMR
PRO_ExactMolWt,1340.37055457239,PRO_ExactMolWt
RCTB_FractionCSP3,1332.70671204681,RCTB_FractionCSP3
RCTB_VSA_EState8,1327.6511595662,RCTB_VSA_EState8
