,IncNodePurity,Features
PRO_VSA_EState8,3891.97355788033,PRO_VSA_EState8
RCTB_VSA_EState5,3249.76464148988,RCTB_VSA_EState5
RCTB_MinEStateIndex,3205.00962976421,RCTB_MinEStateIndex
PRO_MaxPartialCharge,3190.28373378492,PRO_MaxPartialCharge
PRO_VSA_EState4,3015.92024542205,PRO_VSA_EState4
RCTB_MinAbsEStateIndex,2994.34863771413,RCTB_MinAbsEStateIndex
PRO_MinEStateIndex,2965.36661517961,PRO_MinEStateIndex
RCTB_Kappa3,2936.279029234,RCTB_Kappa3
RCTB_BCUT2D_LOGPLOW,2888.05648709465,RCTB_BCUT2D_LOGPLOW
PRO_BCUT2D_CHGHI,2832.3363530384,PRO_BCUT2D_CHGHI
RCTB_BCUT2D_MWLOW,2813.20132211084,RCTB_BCUT2D_MWLOW
CAT_MinEStateIndex,2812.9994376927,CAT_MinEStateIndex
RCTB_BalabanJ,2800.93496805393,RCTB_BalabanJ
PRO_FpDensityMorgan3,2791.14015091184,PRO_FpDensityMorgan3
PRO_BCUT2D_CHGLO,2663.03581334202,PRO_BCUT2D_CHGLO
RCTB_BCUT2D_CHGLO,2646.34832055308,RCTB_BCUT2D_CHGLO
RCTB_MinPartialCharge,2631.88214167147,RCTB_MinPartialCharge
PRO_VSA_EState1,2602.13643344028,PRO_VSA_EState1
RCTA_MolLogP,2597.88381545611,RCTA_MolLogP
PRO_MaxAbsPartialCharge,2581.14146252958,PRO_MaxAbsPartialCharge
PRO_VSA_EState6,2562.23031024743,PRO_VSA_EState6
RCTB_FpDensityMorgan2,2552.59787716689,RCTB_FpDensityMorgan2
RCTB_qed,2535.12208028407,RCTB_qed
RCTA_SlogP_VSA5,2518.52395334063,RCTA_SlogP_VSA5
PRO_PEOE_VSA6,2518.39583632098,PRO_PEOE_VSA6
RCTB_MaxAbsPartialCharge,2512.09111169583,RCTB_MaxAbsPartialCharge
PRO_MinAbsEStateIndex,2504.30192452902,PRO_MinAbsEStateIndex
PRO_FpDensityMorgan1,2503.60895808214,PRO_FpDensityMorgan1
RCTB_MolLogP,2503.40020658734,RCTB_MolLogP
RCTB_MaxAbsEStateIndex,2489.02314360717,RCTB_MaxAbsEStateIndex
PRO_PEOE_VSA7,2487.8762905366,PRO_PEOE_VSA7
PRO_FpDensityMorgan2,2472.58257725924,PRO_FpDensityMorgan2
RCTB_BCUT2D_CHGHI,2410.1334668427,RCTB_BCUT2D_CHGHI
RCTB_FpDensityMorgan3,2407.00801156233,RCTB_FpDensityMorgan3
PRO_VSA_EState9,2386.39586298208,PRO_VSA_EState9
PRO_MinAbsPartialCharge,2372.85880270658,PRO_MinAbsPartialCharge
PRO_MinPartialCharge,2360.3541525076,PRO_MinPartialCharge
RCTB_MaxEStateIndex,2350.0622413056,RCTB_MaxEStateIndex
RCTB_PEOE_VSA6,2335.76574508144,RCTB_PEOE_VSA6
PRO_BCUT2D_LOGPHI,2298.04333102904,PRO_BCUT2D_LOGPHI
PRO_BalabanJ,2275.07755094017,PRO_BalabanJ
RCTB_BCUT2D_MRLOW,2260.34194274437,RCTB_BCUT2D_MRLOW
RCTB_MaxPartialCharge,2246.69896114662,RCTB_MaxPartialCharge
RCTB_Kappa2,2214.51512406294,RCTB_Kappa2
RCTB_VSA_EState1,2172.99329050277,RCTB_VSA_EState1
RCTB_PEOE_VSA7,2157.49162237886,RCTB_PEOE_VSA7
RCTB_Kappa1,2130.25659711882,RCTB_Kappa1
RCTB_FpDensityMorgan1,2087.69969268279,RCTB_FpDensityMorgan1
RCTB_BCUT2D_LOGPHI,2023.74754687922,RCTB_BCUT2D_LOGPHI
PRO_qed,2009.51001197001,PRO_qed
RCTB_SMR_VSA7,2004.67391424055,RCTB_SMR_VSA7
