,IncNodePurity,Features
RCTB_VSA_EState5,4464.69017714206,RCTB_VSA_EState5
PRO_VSA_EState8,4428.38385237272,PRO_VSA_EState8
RCTB_BCUT2D_CHGLO,4148.8982973041,RCTB_BCUT2D_CHGLO
RCTB_BCUT2D_LOGPLOW,3717.87811216099,RCTB_BCUT2D_LOGPLOW
PRO_FpDensityMorgan1,3555.49684774521,PRO_FpDensityMorgan1
PRO_BCUT2D_CHGLO,3389.33769376094,PRO_BCUT2D_CHGLO
RCTB_MinEStateIndex,3248.64293866713,RCTB_MinEStateIndex
RCTB_MinAbsEStateIndex,3228.34564056834,RCTB_MinAbsEStateIndex
PRO_MaxPartialCharge,3209.98730939418,PRO_MaxPartialCharge
PRO_FpDensityMorgan3,3190.03209172039,PRO_FpDensityMorgan3
PRO_MinEStateIndex,3125.32570741965,PRO_MinEStateIndex
PRO_FpDensityMorgan2,3067.73946381839,PRO_FpDensityMorgan2
RCTB_MaxEStateIndex,3060.71520069242,RCTB_MaxEStateIndex
RCTB_Kappa3,3008.87467149608,RCTB_Kappa3
RCTA_MolLogP,2979.60638736035,RCTA_MolLogP
PRO_VSA_EState6,2967.4130563542,PRO_VSA_EState6
CAT_MinEStateIndex,2963.56669963733,CAT_MinEStateIndex
RCTB_BalabanJ,2927.59039674786,RCTB_BalabanJ
PRO_VSA_EState9,2913.58409471357,PRO_VSA_EState9
RCTB_MaxAbsEStateIndex,2887.8561288701,RCTB_MaxAbsEStateIndex
RCTB_MinPartialCharge,2852.65167181881,RCTB_MinPartialCharge
PRO_MinAbsPartialCharge,2745.56580313562,PRO_MinAbsPartialCharge
PRO_MinPartialCharge,2705.99187414453,PRO_MinPartialCharge
RCTB_BCUT2D_MRLOW,2675.95368302013,RCTB_BCUT2D_MRLOW
RCTB_FpDensityMorgan2,2656.69931689707,RCTB_FpDensityMorgan2
RCTB_BCUT2D_MWLOW,2641.95346732651,RCTB_BCUT2D_MWLOW
RCTB_qed,2632.41091628827,RCTB_qed
RCTA_SlogP_VSA5,2624.27249295137,RCTA_SlogP_VSA5
RCTB_MaxAbsPartialCharge,2611.42682401722,RCTB_MaxAbsPartialCharge
PRO_BCUT2D_LOGPHI,2601.50822260163,PRO_BCUT2D_LOGPHI
RCTB_MolLogP,2586.45339335536,RCTB_MolLogP
RCTB_FpDensityMorgan3,2574.29383622351,RCTB_FpDensityMorgan3
RCTA_SMR_VSA5,2573.9826212301,RCTA_SMR_VSA5
RCTB_PEOE_VSA6,2542.34372964881,RCTB_PEOE_VSA6
PRO_MinAbsEStateIndex,2526.2889136362,PRO_MinAbsEStateIndex
RCTB_BCUT2D_LOGPHI,2502.09445839669,RCTB_BCUT2D_LOGPHI
RCTB_BCUT2D_CHGHI,2483.07920083438,RCTB_BCUT2D_CHGHI
PRO_VSA_EState4,2466.52688779843,PRO_VSA_EState4
PRO_MaxAbsPartialCharge,2452.86142129546,PRO_MaxAbsPartialCharge
RCTB_PEOE_VSA8,2437.99998645606,RCTB_PEOE_VSA8
PRO_BCUT2D_CHGHI,2437.8732932927,PRO_BCUT2D_CHGHI
PRO_VSA_EState3,2420.31017805638,PRO_VSA_EState3
RCTA_VSA_EState4,2412.29799390808,RCTA_VSA_EState4
RCTA_BCUT2D_MWLOW,2392.17003731269,RCTA_BCUT2D_MWLOW
PRO_PEOE_VSA6,2389.02949516752,PRO_PEOE_VSA6
RCTB_Kappa2,2341.05222070131,RCTB_Kappa2
PRO_BalabanJ,2321.97933807042,PRO_BalabanJ
PRO_EState_VSA9,2321.10296693411,PRO_EState_VSA9
RCTB_MaxPartialCharge,2288.14779335689,RCTB_MaxPartialCharge
RCTB_FpDensityMorgan1,2286.05224143971,RCTB_FpDensityMorgan1
RCTB_PEOE_VSA7,2256.20470432467,RCTB_PEOE_VSA7
RCTB_VSA_EState1,2256.12670158402,RCTB_VSA_EState1
PRO_PEOE_VSA7,2240.08643114218,PRO_PEOE_VSA7
RCTB_MinAbsPartialCharge,2184.26544012024,RCTB_MinAbsPartialCharge
RCTB_VSA_EState6,2172.0241063452,RCTB_VSA_EState6
RCTA_Chi0n,2171.16743428663,RCTA_Chi0n
PRO_MaxEStateIndex,2151.2498863121,PRO_MaxEStateIndex
CAT_Kappa3,2117.37909232549,CAT_Kappa3
RCTB_SlogP_VSA5,2115.11454123808,RCTB_SlogP_VSA5
RCTB_Kappa1,2114.9800080562,RCTB_Kappa1
PRO_MaxAbsEStateIndex,2100.63407618126,PRO_MaxAbsEStateIndex
PRO_SlogP_VSA5,2076.84422339432,PRO_SlogP_VSA5
PRO_qed,2029.3504825663,PRO_qed
PRO_FractionCSP3,2023.48042851566,PRO_FractionCSP3
PRO_Kappa3,2023.34737589001,PRO_Kappa3
RCTB_Chi3v,1991.48534128571,RCTB_Chi3v
RCTB_Chi2v,1980.51768098334,RCTB_Chi2v
PRO_BCUT2D_MWHI,1935.31545060034,PRO_BCUT2D_MWHI
RCTB_ExactMolWt,1911.19472402361,RCTB_ExactMolWt
PRO_VSA_EState7,1893.63483582857,PRO_VSA_EState7
RCTB_Chi3n,1880.76235431181,RCTB_Chi3n
RCTB_PEOE_VSA9,1867.17333829681,RCTB_PEOE_VSA9
RCTB_EState_VSA9,1866.05497055172,RCTB_EState_VSA9
RCTB_MolWt,1847.29896283903,RCTB_MolWt
PRO_VSA_EState1,1841.29507920088,PRO_VSA_EState1
PRO_VSA_EState5,1839.8802616585,PRO_VSA_EState5
PRO_Kappa1,1829.47887698936,PRO_Kappa1
RCTB_VSA_EState4,1825.12562728425,RCTB_VSA_EState4
RCTB_Chi4v,1816.88171692314,RCTB_Chi4v
PRO_SlogP_VSA2,1809.25498062282,PRO_SlogP_VSA2
RCTB_BCUT2D_MRHI,1808.91953945355,RCTB_BCUT2D_MRHI
RCTB_HallKierAlpha,1800.87632668935,RCTB_HallKierAlpha
PRO_Chi4v,1774.01774757852,PRO_Chi4v
PRO_MolLogP,1771.20658052031,PRO_MolLogP
PRO_Chi4n,1763.24746320053,PRO_Chi4n
PRO_Chi3v,1757.5706911205,PRO_Chi3v
RCTB_Chi2n,1755.03248809206,RCTB_Chi2n
RCTB_MolMR,1749.66792265706,RCTB_MolMR
RCTA_VSA_EState1,1746.22834077702,RCTA_VSA_EState1
PRO_PEOE_VSA8,1739.93813847898,PRO_PEOE_VSA8
RCTB_VSA_EState2,1726.02510700472,RCTB_VSA_EState2
PRO_SMR_VSA1,1725.97192874768,PRO_SMR_VSA1
RCTB_BCUT2D_MWHI,1722.86926857928,RCTB_BCUT2D_MWHI
RCTB_BertzCT,1699.41261152917,RCTB_BertzCT
RCTB_SMR_VSA7,1696.87429967645,RCTB_SMR_VSA7
PRO_PEOE_VSA9,1688.65860644913,PRO_PEOE_VSA9
RCTB_SMR_VSA10,1673.65108692599,RCTB_SMR_VSA10
PRO_PEOE_VSA14,1669.43807742043,PRO_PEOE_VSA14
RCTB_Chi4n,1658.57408687975,RCTB_Chi4n
PRO_BCUT2D_MRHI,1654.69444608653,PRO_BCUT2D_MRHI
RCTB_VSA_EState7,1649.22097939789,RCTB_VSA_EState7
RCTB_Chi1v,1643.13779438427,RCTB_Chi1v
RCTB_Chi0v,1642.1720960286,RCTB_Chi0v
PRO_Kappa2,1631.96066564866,PRO_Kappa2
PRO_BCUT2D_MWLOW,1630.42633414473,PRO_BCUT2D_MWLOW
RCTB_HeavyAtomMolWt,1614.93055948694,RCTB_HeavyAtomMolWt
RCTB_LabuteASA,1596.70269128874,RCTB_LabuteASA
RCTB_SMR_VSA1,1583.12567113341,RCTB_SMR_VSA1
RCTB_SlogP_VSA4,1571.8601228296,RCTB_SlogP_VSA4
PRO_Chi3n,1566.69342113186,PRO_Chi3n
PRO_SMR_VSA7,1560.92787040313,PRO_SMR_VSA7
PRO_Chi2v,1559.81398884648,PRO_Chi2v
RCTA_VSA_EState8,1549.72994750007,RCTA_VSA_EState8
PRO_SlogP_VSA7,1547.66731957958,PRO_SlogP_VSA7
RCTB_Chi0n,1534.44750807357,RCTB_Chi0n
PRO_SMR_VSA5,1530.94659118538,PRO_SMR_VSA5
RCTA_MinAbsPartialCharge,1520.80719221936,RCTA_MinAbsPartialCharge
RCTA_MinEStateIndex,1518.9387665767,RCTA_MinEStateIndex
RCTA_Chi0,1515.22225453054,RCTA_Chi0
RCTB_PEOE_VSA3,1503.957972455,RCTB_PEOE_VSA3
RCTB_EState_VSA1,1502.91453516899,RCTB_EState_VSA1
RCTB_VSA_EState10,1500.39457501069,RCTB_VSA_EState10
PRO_Chi0n,1487.01182517781,PRO_Chi0n
RCTB_VSA_EState8,1484.7393841784,RCTB_VSA_EState8
RCTB_Chi1n,1482.7605853165,RCTB_Chi1n
RCTB_Chi1,1461.78988966701,RCTB_Chi1
RCTB_VSA_EState3,1415.4155539407,RCTB_VSA_EState3
PRO_HallKierAlpha,1403.52643445981,PRO_HallKierAlpha
RCTB_SlogP_VSA2,1388.27224714101,RCTB_SlogP_VSA2
RCTA_MinPartialCharge,1344.85943258753,RCTA_MinPartialCharge
RCTA_HallKierAlpha,1344.83323675866,RCTA_HallKierAlpha
PRO_BertzCT,1340.99082015569,PRO_BertzCT
PRO_ExactMolWt,1329.68678644438,PRO_ExactMolWt
CAT_Kappa2,1320.59901243716,CAT_Kappa2
RCTB_Chi0,1309.98759641048,RCTB_Chi0
PRO_Chi2n,1302.26385025676,PRO_Chi2n
RCTB_FractionCSP3,1298.57738960396,RCTB_FractionCSP3
RCTB_EState_VSA8,1298.28807214772,RCTB_EState_VSA8
PRO_EState_VSA1,1275.07347760148,PRO_EState_VSA1
CAT_qed,1267.78109861286,CAT_qed
RCTB_SMR_VSA5,1263.35613819014,RCTB_SMR_VSA5
PRO_Chi1v,1233.76842667534,PRO_Chi1v
PRO_MolMR,1225.85226583645,PRO_MolMR
PRO_LabuteASA,1225.24819954199,PRO_LabuteASA
PRO_MolWt,1207.69998955346,PRO_MolWt
CAT_Chi4n,1194.6951788912,CAT_Chi4n
PRO_HeavyAtomMolWt,1187.54065737824,PRO_HeavyAtomMolWt
RCTA_MaxPartialCharge,1167.2624508144,RCTA_MaxPartialCharge
PRO_SlogP_VSA6,1155.49812292004,PRO_SlogP_VSA6
PRO_Chi1,1148.87764234734,PRO_Chi1
PRO_Chi1n,1132.011092208,PRO_Chi1n
CAT_MaxAbsEStateIndex,1130.1592128523,CAT_MaxAbsEStateIndex
RCTA_EState_VSA9,1120.4816412356,RCTA_EState_VSA9
PRO_SlogP_VSA3,1112.40764411475,PRO_SlogP_VSA3
PRO_SlogP_VSA1,1101.14236658864,PRO_SlogP_VSA1
CAT_MaxEStateIndex,1096.52310076784,CAT_MaxEStateIndex
PRO_Chi0,1088.70345192364,PRO_Chi0
RCTB_SlogP_VSA10,1084.78891865939,RCTB_SlogP_VSA10
RCTA_VSA_EState9,1084.67229561972,RCTA_VSA_EState9
RCTB_SlogP_VSA6,1076.91686953593,RCTB_SlogP_VSA6
PRO_BCUT2D_LOGPLOW,1050.15669357124,PRO_BCUT2D_LOGPLOW
PRO_NumRotatableBonds,1041.10268088809,PRO_NumRotatableBonds
PRO_BCUT2D_MRLOW,1040.37693914697,PRO_BCUT2D_MRLOW
RCTB_PEOE_VSA10,1034.9749261131,RCTB_PEOE_VSA10
PRO_TPSA,1030.704537542,PRO_TPSA
PRO_SMR_VSA10,1025.14199589808,PRO_SMR_VSA10
RCTA_MaxAbsPartialCharge,1012.98510969963,RCTA_MaxAbsPartialCharge
RCTA_Chi1n,1008.52670074248,RCTA_Chi1n
RCTB_TPSA,988.887707768475,RCTB_TPSA
