,IncNodePurity,Features
PRO_Chi4v,1659.16298163006,PRO_Chi4v
PRO_SlogP_VSA5,1655.73605965724,PRO_SlogP_VSA5
RCTB_ExactMolWt,1636.94455854075,RCTB_ExactMolWt
RCTB_BertzCT,1632.93384035103,RCTB_BertzCT
RCTB_VSA_EState10,1623.35514451886,RCTB_VSA_EState10
RCTA_VSA_EState8,1620.69331336444,RCTA_VSA_EState8
PRO_MolLogP,1617.23228281767,PRO_MolLogP
PRO_Kappa1,1585.99097438372,PRO_Kappa1
PRO_Kappa2,1580.63347791405,PRO_Kappa2
RCTB_MolMR,1574.00714109867,RCTB_MolMR
RCTB_VSA_EState8,1558.8043279921,RCTB_VSA_EState8
RCTA_VSA_EState4,1552.55673498661,RCTA_VSA_EState4
RCTA_VSA_EState9,1550.23619659552,RCTA_VSA_EState9
PRO_SMR_VSA1,1527.21899727934,PRO_SMR_VSA1
RCTB_Chi1n,1516.52383424912,RCTB_Chi1n
RCTA_Chi1n,1516.36300427263,RCTA_Chi1n
RCTA_HallKierAlpha,1512.191537309,RCTA_HallKierAlpha
RCTB_EState_VSA1,1511.14446875439,RCTB_EState_VSA1
RCTA_MinEStateIndex,1503.29866327921,RCTA_MinEStateIndex
PRO_BCUT2D_MWLOW,1499.47428705091,PRO_BCUT2D_MWLOW
PRO_Chi3v,1464.53190680339,PRO_Chi3v
RCTB_LabuteASA,1444.19985690662,RCTB_LabuteASA
PRO_BCUT2D_MWHI,1443.15241196055,PRO_BCUT2D_MWHI
RCTB_Chi0,1437.94072939736,RCTB_Chi0
PRO_VSA_EState5,1435.76937854858,PRO_VSA_EState5
RCTB_Chi1v,1434.40925237405,RCTB_Chi1v
RCTB_HallKierAlpha,1429.35154598816,RCTB_HallKierAlpha
RCTB_Chi0v,1416.00520032432,RCTB_Chi0v
PRO_Chi2v,1412.51014054658,PRO_Chi2v
PRO_HallKierAlpha,1410.87827743833,PRO_HallKierAlpha
PRO_BCUT2D_MRHI,1408.99193016704,PRO_BCUT2D_MRHI
PRO_SMR_VSA7,1402.96599035855,PRO_SMR_VSA7
PRO_Chi0n,1391.32290180099,PRO_Chi0n
RCTB_Chi1,1380.75830701142,RCTB_Chi1
PRO_Chi2n,1372.67142713752,PRO_Chi2n
PRO_SMR_VSA5,1363.57886287618,PRO_SMR_VSA5
PRO_EState_VSA1,1349.1045685204,PRO_EState_VSA1
RCTB_VSA_EState3,1312.20144945779,RCTB_VSA_EState3
PRO_Chi3n,1311.55756111708,PRO_Chi3n
PRO_Chi1n,1304.03923048707,PRO_Chi1n
PRO_VSA_EState7,1301.19234521952,PRO_VSA_EState7
RCTB_NumValenceElectrons,1297.15497603587,RCTB_NumValenceElectrons
PRO_PEOE_VSA14,1295.18121232966,PRO_PEOE_VSA14
RCTB_SlogP_VSA2,1291.42339872873,RCTB_SlogP_VSA2
PRO_SMR_VSA10,1283.72276104433,PRO_SMR_VSA10
RCTB_Chi0n,1264.73552420226,RCTB_Chi0n
RCTB_VSA_EState7,1258.30938577138,RCTB_VSA_EState7
PRO_VSA_EState3,1227.29202899792,PRO_VSA_EState3
PRO_SlogP_VSA7,1210.46633907023,PRO_SlogP_VSA7
RCTA_PEOE_VSA9,1198.04489213637,RCTA_PEOE_VSA9
PRO_ExactMolWt,1193.40355371793,PRO_ExactMolWt
